Player,Offense,Defense(*),Total
Chris Paul,5.7 (99),-2.4 (96),8.1 (99)
LeBron James,5.7 (99),-2.1 (94),7.8 (99)
Stephen Curry,6.1 (99),-1.1 (85),7.2 (99)
Kawhi Leonard,2.7 (96),-3.4 (99),6.1 (99)
Kevin Durant,5.1 (98),-0.8 (79),5.9 (98)
James Harden,5.2 (99),-0.4 (72),5.6 (98)
Draymond Green,1.4 (90),-4.1 (99),5.5 (98)
Anthony Davis,3.2 (97),-1.9 (93),5.1 (98)
Ricky Rubio,2.4 (95),-2.6 (98),5.0 (98)
Russell Westbrook,5.1 (98),0.2 (56),4.9 (97)
George Hill,3.4 (97),-0.9 (81),4.3 (97)
Manu Ginobili,1.7 (92),-2.4 (97),4.1 (97)
John Wall,2.4 (95),-1.6 (90),4.0 (97)
Jrue Holiday,2.5 (95),-1.4 (89),3.9 (97)
Jimmy Butler,2.5 (95),-1.4 (89),3.9 (96)
Kyle Lowry,2.6 (96),-1.2 (86),3.8 (96)
Paul George,2.1 (93),-1.7 (91),3.8 (96)
Dirk Nowitzki,3.6 (98),-0.1 (66),3.7 (96)
Danny Green,1.7 (92),-2.0 (94),3.7 (96)
Dwight Howard,1.3 (89),-2.4 (96),3.7 (95)
Kevin Love,2.7 (96),-1.0 (83),3.7 (95)
Kyle Korver,2.6 (96),-1.0 (84),3.6 (95)
Andre Iguodala,1.0 (85),-2.6 (97),3.6 (95)
Eric Bledsoe,0.9 (83),-2.5 (97),3.4 (95)
DeAndre Jordan,2.2 (94),-1.0 (83),3.2 (94)
Gordon Hayward,2.2 (94),-0.9 (81),3.1 (94)
Klay Thompson,2.6 (96),-0.4 (71),3.0 (94)
Tim Duncan,0.5 (78),-2.4 (97),2.9 (94)
Khris Middleton,1.7 (92),-1.2 (87),2.9 (94)
Deron Williams,2.3 (94),-0.6 (76),2.9 (93)
Iman Shumpert,0.4 (76),-2.5 (97),2.9 (93)
Tyson Chandler,1.0 (86),-1.8 (93),2.8 (93)
Mike Conley,2.5 (95),-0.3 (70),2.8 (93)
Paul Millsap,1.4 (90),-1.3 (88),2.7 (93)
Tony Allen,-0.4 (64),-3.1 (99),2.7 (92)
Damian Lillard,3.6 (98),0.9 (36),2.7 (92)
Wesley Matthews,1.6 (91),-1.1 (85),2.7 (92)
Ty Lawson,3.3 (97),0.7 (42),2.6 (92)
LaMarcus Aldridge,1.9 (93),-0.7 (78),2.6 (92)
Monta Ellis,2.1 (93),-0.3 (70),2.4 (91)
Michael Kidd-Gilchrist,0.1 (72),-2.3 (96),2.4 (91)
DeMarre Carroll,1.2 (89),-1.2 (87),2.4 (91)
Mike Dunleavy,0.7 (81),-1.7 (91),2.4 (91)
Rudy Gobert,-1.1 (47),-3.5 (99),2.4 (91)
DeMarcus Cousins,0.6 (79),-1.8 (92),2.4 (90)
Matt Barnes,1.2 (88),-1.2 (86),2.4 (90)
Carmelo Anthony,3.4 (98),1.1 (31),2.3 (90)
Patty Mills,1.0 (84),-1.3 (88),2.3 (90)
Jae Crowder,1.0 (86),-1.2 (88),2.2 (90)
CJ Miles,1.0 (86),-1.2 (87),2.2 (89)
Paul Pierce,0.9 (83),-1.3 (88),2.2 (89)
Zach Randolph,1.0 (85),-1.1 (85),2.1 (89)
Andrew Bogut,-1.0 (49),-3.1 (98),2.1 (89)
Serge Ibaka,-0.1 (68),-2.2 (95),2.1 (89)
Trevor Ariza,0.3 (75),-1.7 (92),2.0 (88)
Kyrie Irving,3.0 (97),1.0 (32),2.0 (88)
Greg Monroe,0.9 (82),-1.1 (84),2.0 (88)
Bradley Beal,1.6 (91),-0.4 (70),2.0 (88)
Robert Covington,1.1 (86),-0.8 (79),1.9 (88)
Pau Gasol,1.0 (85),-0.9 (82),1.9 (87)
Goran Dragic,2.8 (97),0.9 (37),1.9 (87)
Isaiah Thomas,2.4 (94),0.5 (48),1.9 (87)
Tiago Splitter,-0.4 (63),-2.3 (95),1.9 (87)
Al Horford,0.3 (74),-1.5 (89),1.8 (86)
Joakim Noah,-0.4 (64),-2.1 (94),1.7 (86)
JJ Redick,2.2 (94),0.5 (47),1.7 (86)
Marc Gasol,0.0 (70),-1.7 (92),1.7 (86)
Darren Collison,1.7 (92),-0.0 (63),1.7 (86)
Andre Roberson,-0.7 (55),-2.4 (96),1.7 (85)
Nick Calathes,-1.1 (46),-2.8 (98),1.7 (85)
Patrick Beverley,0.8 (82),-0.8 (80),1.6 (85)
Marcus Smart,0.3 (75),-1.3 (89),1.6 (85)
Nikola Pekovic,0.4 (77),-1.2 (86),1.6 (85)
Reggie Jackson,1.6 (91),0.0 (62),1.6 (84)
Luol Deng,1.4 (90),-0.2 (67),1.6 (84)
Amir Johnson,0.3 (74),-1.2 (86),1.5 (84)
JR Smith,1.3 (89),-0.2 (67),1.5 (84)
Nikola Mirotic,1.2 (89),-0.3 (69),1.5 (84)
Danilo Gallinari,1.1 (87),-0.4 (71),1.5 (83)
Markieff Morris,0.4 (75),-1.1 (85),1.5 (83)
Josh McRoberts,1.0 (84),-0.5 (73),1.5 (83)
Omer Asik,-1.2 (46),-2.6 (98),1.4 (83)
Timofey Mozgov,-0.2 (67),-1.6 (90),1.4 (83)
Chris Bosh,1.0 (85),-0.4 (72),1.4 (82)
Patrick Patterson,1.5 (91),0.1 (59),1.4 (82)
Vince Carter,0.2 (73),-1.2 (86),1.4 (82)
Anthony Morrow,1.4 (90),-0.0 (62),1.4 (82)
C.J. Watson,0.7 (80),-0.7 (77),1.4 (82)
Thabo Sefolosha,-0.9 (53),-2.2 (95),1.3 (81)
Jared Sullinger,0.9 (84),-0.4 (72),1.3 (81)
Marcin Gortat,-0.2 (67),-1.5 (90),1.3 (81)
Kentavious Caldwell-Pope,0.7 (81),-0.6 (76),1.3 (81)
Jared Dudley,-1.0 (50),-2.2 (95),1.2 (81)
Chris Andersen,-0.6 (58),-1.8 (92),1.2 (80)
Derrick Favors,0.4 (76),-0.8 (79),1.2 (80)
Avery Bradley,-0.0 (71),-1.2 (87),1.2 (80)
Devin Harris,1.1 (87),0.0 (64),1.1 (80)
Kemba Walker,0.9 (84),-0.2 (68),1.1 (80)
Kevin Garnett,-1.6 (36),-2.7 (98),1.1 (79)
DeMar DeRozan,0.7 (81),-0.4 (71),1.1 (79)
Anthony Tolliver,0.6 (79),-0.5 (74),1.1 (79)
Cody Zeller,-0.8 (55),-1.9 (93),1.1 (79)
Blake Griffin,1.4 (90),0.3 (53),1.1 (79)
Nick Collison,-1.2 (44),-2.2 (94),1.0 (78)
Giannis Antetokounmpo,0.1 (72),-0.9 (82),1.0 (78)
Jeff Teague,0.9 (83),-0.1 (65),1.0 (78)
Pero Antic,-0.9 (51),-1.9 (93),1.0 (78)
David West,-0.4 (62),-1.4 (89),1.0 (78)
Channing Frye,1.0 (85),0.1 (58),0.9 (77)
James Johnson,0.6 (80),-0.2 (67),0.8 (77)
Pablo Prigioni,-0.2 (67),-1.0 (84),0.8 (77)
Zaza Pachulia,-0.9 (53),-1.6 (91),0.7 (77)
Al-Farouq Aminu,-1.0 (50),-1.6 (91),0.6 (77)
Joe Johnson,1.6 (92),1.0 (33),0.6 (76)
CJ McCollum,-0.3 (65),-0.9 (81),0.6 (76)
Nicolas Batum,0.7 (81),0.1 (59),0.6 (76)
Chandler Parsons,1.1 (88),0.6 (47),0.5 (76)
Rudy Gay,1.2 (88),0.7 (42),0.5 (76)
Anderson Varejao,-0.3 (65),-0.8 (79),0.5 (75)
Elijah Millsap,-1.4 (39),-1.9 (93),0.5 (75)
Andre Drummond,1.1 (87),0.7 (43),0.4 (75)
Robin Lopez,-0.6 (57),-1.0 (83),0.4 (75)
P.J. Tucker,-0.1 (68),-0.5 (73),0.4 (75)
Mario Chalmers,-0.3 (66),-0.7 (78),0.4 (74)
Darrell Arthur,-2.0 (27),-2.4 (96),0.4 (74)
Kelly Olynyk,0.9 (83),0.6 (46),0.3 (74)
Thaddeus Young,0.5 (78),0.2 (57),0.3 (74)
Jeremy Lamb,0.6 (79),0.3 (52),0.3 (73)
Kyle O'Quinn,-0.7 (57),-0.9 (82),0.2 (73)
Courtney Lee,0.4 (76),0.2 (57),0.2 (73)
Kenneth Faried,1.2 (88),1.0 (33),0.2 (73)
Brandon Jennings,1.5 (91),1.4 (23),0.1 (73)
Brook Lopez,-0.2 (66),-0.3 (69),0.1 (72)
Nikola Vu?evi?,0.1 (73),0.1 (61),0.0 (72)
Jason Terry,-0.2 (68),-0.2 (68),0.0 (72)
Brandon Knight,0.9 (84),0.9 (37),0.0 (72)
Corey Brewer,0.0 (70),-0.0 (63),0.0 (72)
Jonas Jerebko,-0.5 (61),-0.5 (74),0.0 (71)
Wayne Ellington,-0.2 (67),-0.2 (66),0.0 (71)
Nene,-1.1 (47),-1.1 (84),0.0 (71)
Matthew Dellavedova,-0.7 (55),-0.7 (78),0.0 (71)
Jeremy Evans,-1.0 (49),-1.0 (83),0.0 (71)
Greivis Vasquez,0.6 (79),0.7 (43),-0.1 (70)
Wilson Chandler,0.5 (78),0.6 (45),-0.1 (70)
Kendall Marshall,0.9 (82),1.0 (32),-0.1 (70)
Boris Diaw,0.0 (72),0.1 (61),-0.1 (70)
Al Jefferson,0.0 (71),0.1 (60),-0.1 (70)
Ben McLemore,-0.2 (67),-0.1 (65),-0.1 (69)
Tyler Zeller,-0.4 (64),-0.3 (70),-0.1 (69)
Larry Sanders,-2.1 (26),-2.0 (94),-0.1 (69)
Ryan Anderson,2.1 (93),2.3 (4),-0.2 (69)
Kobe Bryant,1.2 (89),1.4 (24),-0.2 (69)
Xavier Henry,-0.6 (60),-0.4 (72),-0.2 (68)
Roy Hibbert,-1.9 (30),-1.7 (92),-0.2 (68)
Dwyane Wade,1.0 (86),1.2 (28),-0.2 (68)
Derrick Rose,0.4 (76),0.6 (45),-0.2 (68)
Rodney Hood,-0.6 (58),-0.4 (71),-0.2 (68)
Ryan Kelly,0.4 (75),0.6 (44),-0.2 (67)
Shaun Livingston,-0.3 (65),-0.1 (64),-0.2 (67)
Cory Joseph,-0.4 (65),-0.2 (68),-0.2 (67)
Taj Gibson,-1.2 (45),-0.9 (81),-0.3 (67)
Chuck Hayes,-1.2 (44),-0.9 (81),-0.3 (67)
Evan Fournier,-0.0 (72),0.3 (55),-0.3 (66)
Jonas Valan?i¨±nas,0.0 (71),0.3 (54),-0.3 (66)
J.J. Barea,0.2 (73),0.5 (47),-0.3 (66)
Brandan Wright,0.1 (73),0.4 (51),-0.3 (66)
Alan Anderson,-1.1 (48),-0.8 (80),-0.3 (66)
Tyler Hansbrough,-1.1 (48),-0.8 (80),-0.3 (65)
Donatas Motiejunas,-0.6 (60),-0.2 (68),-0.4 (65)
Harrison Barnes,-0.7 (56),-0.3 (69),-0.4 (65)
Terrence Jones,0.4 (77),0.8 (41),-0.4 (65)
Dant¨¦ Exum,-1.0 (50),-0.6 (76),-0.4 (65)
