Player,Offense,Defense(*),Total
Nikola Joki?,6.3 (99),-2.2 (96),8.5 (99)
Joel Embiid,3.5 (97),-3.1 (98),6.6 (99)
Kawhi Leonard,4.0 (98),-2.0 (95),6.0 (99)
Kevin Durant,3.9 (98),-1.8 (93),5.7 (99)
Jimmy Butler,4.0 (98),-1.7 (92),5.7 (99)
Stephen Curry,4.8 (99),-0.7 (82),5.5 (98)
Jrue Holiday,3.3 (96),-1.9 (94),5.2 (98)
Jayson Tatum,4.0 (98),-1.1 (87),5.1 (98)
Giannis Antetokounmpo,2.6 (96),-2.2 (96),4.8 (98)
Derrick White,1.5 (91),-3.2 (98),4.7 (98)
Immanuel Quickley,1.2 (87),-3.5 (99),4.7 (97)
Damian Lillard,5.8 (99),1.2 (27),4.6 (97)
Kyrie Irving,4.5 (99),0.0 (65),4.5 (97)
Paul George,2.3 (94),-2.2 (96),4.5 (97)
Anthony Davis,1.1 (87),-3.3 (98),4.4 (97)
LeBron James,3.4 (97),-0.9 (84),4.3 (97)
Devin Booker,4.3 (98),0.1 (60),4.2 (96)
Aaron Gordon,2.3 (95),-1.7 (92),4.0 (96)
Luka Don?i?,4.5 (99),0.6 (46),3.9 (96)
Shai Gilgeous-Alexander,3.7 (97),-0.1 (67),3.8 (96)
Austin Reaves,1.7 (92),-1.9 (94),3.6 (96)
Donovan Mitchell,3.7 (97),0.3 (56),3.4 (95)
Herbert Jones,0.7 (84),-2.6 (97),3.3 (95)
Draymond Green,-0.3 (71),-3.5 (99),3.2 (95)
Alex Caruso,-0.7 (61),-3.9 (99),3.2 (95)
Darius Garland,2.7 (96),-0.5 (76),3.2 (95)
Franz Wagner,1.2 (88),-1.9 (94),3.1 (94)
Bam Adebayo,0.3 (80),-2.7 (97),3.0 (94)
Fred VanVleet,1.5 (90),-1.5 (90),3.0 (94)
Desmond Bane,2.3 (95),-0.7 (81),3.0 (94)
Chris Paul,1.2 (87),-1.8 (92),3.0 (94)
Robert Williams III,0.6 (82),-2.3 (96),2.9 (94)
Steven Adams,2.0 (93),-0.8 (83),2.8 (93)
Al Horford,0.6 (83),-2.1 (96),2.7 (93)
Mitchell Robinson,1.2 (87),-1.5 (90),2.7 (93)
Mike Conley,2.0 (93),-0.6 (79),2.6 (93)
Jaren Jackson Jr.,0.6 (82),-2.0 (95),2.6 (93)
James Harden,3.4 (97),0.9 (38),2.5 (92)
Mikal Bridges,1.5 (90),-1.0 (85),2.5 (92)
Kristaps Porzi??is,1.7 (92),-0.7 (82),2.4 (92)
Pascal Siakam,2.3 (95),-0.1 (68),2.4 (92)
Ja Morant,2.4 (95),-0.0 (64),2.4 (92)
Lauri Markkanen,2.3 (94),-0.1 (67),2.4 (92)
Domantas Sabonis,1.8 (92),-0.6 (78),2.4 (91)
Trae Young,3.8 (97),1.5 (16),2.3 (91)
Jarrett Allen,0.4 (80),-1.9 (94),2.3 (91)
Rudy Gobert,-1.2 (47),-3.5 (99),2.3 (91)
Kevon Looney,1.3 (89),-0.9 (84),2.2 (91)
Delon Wright,0.6 (83),-1.6 (91),2.2 (90)
Jose Alvarado,-0.5 (65),-2.7 (97),2.2 (90)
Evan Mobley,-0.3 (70),-2.5 (97),2.2 (90)
Jalen Brunson,3.0 (96),0.8 (41),2.2 (90)
Karl-Anthony Towns,2.2 (94),-0.0 (64),2.2 (90)
Jamal Murray,2.1 (94),-0.1 (67),2.2 (89)
Josh Hart,1.5 (90),-0.7 (80),2.2 (89)
Kenrich Williams,0.3 (79),-1.9 (94),2.2 (89)
Clint Capela,0.5 (82),-1.6 (91),2.1 (89)
Cameron Johnson,1.0 (86),-1.1 (87),2.1 (89)
Dejounte Murray,1.4 (89),-0.6 (79),2.0 (89)
Bradley Beal,2.1 (94),0.2 (59),1.9 (88)
Michael Porter Jr.,1.9 (93),-0.0 (64),1.9 (88)
Walker Kessler,0.9 (85),-1.0 (85),1.9 (88)
Jakob Poeltl,1.1 (87),-0.7 (81),1.8 (88)
Kevin Huerter,1.6 (91),-0.2 (69),1.8 (88)
Brook Lopez,-0.3 (70),-2.1 (95),1.8 (87)
Myles Turner,0.1 (77),-1.7 (92),1.8 (87)
George Hill,-1.0 (50),-2.8 (98),1.8 (87)
Tyrese Haliburton,2.9 (96),1.2 (28),1.7 (87)
Nic Claxton,-0.1 (74),-1.8 (93),1.7 (87)
Javonte Green,0.3 (79),-1.4 (89),1.7 (87)
Anthony Edwards,1.5 (90),-0.2 (70),1.7 (86)
Bogdan Bogdanovi?,2.0 (93),0.3 (54),1.7 (86)
Zion Williamson,1.3 (88),-0.3 (73),1.6 (86)
DeMar DeRozan,1.5 (90),-0.1 (68),1.6 (86)
OG Anunoby,0.3 (79),-1.3 (89),1.6 (86)
D'Angelo Russell,1.8 (92),0.2 (59),1.6 (85)
Julius Randle,1.4 (89),-0.2 (70),1.6 (85)
Dillon Brooks,-0.7 (59),-2.3 (97),1.6 (85)
Brandon Ingram,1.4 (89),-0.1 (69),1.5 (85)
Kyle Lowry,0.4 (81),-1.1 (87),1.5 (85)
Zach LaVine,2.0 (93),0.5 (48),1.5 (84)
Mike Muscala,0.1 (77),-1.3 (88),1.4 (84)
Luke Kennard,1.3 (88),-0.1 (66),1.4 (84)
Malcolm Brogdon,0.7 (84),-0.7 (82),1.4 (84)
Wendell Carter Jr.,-0.4 (68),-1.8 (93),1.4 (84)
Larry Nance Jr.,-0.5 (65),-1.9 (94),1.4 (84)
Terance Mann,0.8 (85),-0.6 (77),1.4 (83)
Gary Payton II,0.6 (82),-0.8 (83),1.4 (83)
De'Anthony Melton,0.1 (77),-1.2 (88),1.3 (83)
Sam Hauser,0.2 (78),-1.1 (87),1.3 (83)
Isaiah Hartenstein,0.5 (81),-0.8 (83),1.3 (83)
Jaylen Brown,0.7 (84),-0.6 (79),1.3 (82)
Isaiah Joe,1.6 (91),0.4 (52),1.2 (82)
Scottie Barnes,0.7 (84),-0.5 (76),1.2 (82)
Dorian Finney-Smith,0.1 (77),-1.0 (85),1.1 (82)
Jock Landale,-0.1 (74),-1.2 (88),1.1 (82)
Marcus Smart,0.5 (82),-0.5 (77),1.0 (82)
Andrew Wiggins,-0.5 (66),-1.5 (91),1.0 (81)
T.J. McConnell,0.4 (81),-0.6 (79),1.0 (81)
John Konchar,-0.5 (65),-1.5 (90),1.0 (81)
Jusuf Nurki?,-1.5 (43),-2.5 (97),1.0 (81)
De'Aaron Fox,2.5 (95),1.5 (15),1.0 (81)
Joe Ingles,0.5 (81),-0.5 (75),1.0 (80)
Jae Crowder,-0.5 (63),-1.5 (89),1.0 (80)
