Player,Offense,Defense(*),Total
Buddy Hield,1.4 (89),0.4 (53),1.0 (80)
Matisse Thybulle,-1.8 (37),-2.8 (98),1.0 (80)
Gordon Hayward,-0.9 (54),-1.8 (92),0.9 (80)
Alec Burks,0.6 (82),-0.3 (71),0.9 (79)
LaMelo Ball,2.3 (94),1.4 (18),0.9 (79)
Robert Covington,-0.8 (57),-1.6 (91),0.8 (79)
Jordan Clarkson,1.7 (91),0.9 (35),0.8 (79)
Tyrese Maxey,1.6 (91),0.9 (37),0.7 (79)
Gabe Vincent,-0.3 (70),-1.0 (86),0.7 (79)
Luguentz Dort,-0.3 (70),-1.0 (85),0.7 (78)
Jaden McDaniels,0.0 (76),-0.7 (81),0.7 (78)
Anfernee Simons,1.9 (92),1.2 (27),0.7 (78)
Cameron Payne,-0.1 (74),-0.7 (80),0.6 (78)
Nicolas Batum,0.0 (75),-0.6 (78),0.6 (78)
Chris Boucher,-0.1 (73),-0.7 (80),0.6 (77)
Ish Wainright,-0.9 (53),-1.5 (90),0.6 (77)
Kevin Porter Jr.,0.8 (85),0.3 (57),0.5 (77)
CJ McCollum,1.8 (92),1.3 (23),0.5 (77)
Dennis Smith Jr.,-2.9 (17),-3.4 (99),0.5 (77)
Quentin Grimes,0.6 (83),0.1 (59),0.5 (76)
Otto Porter Jr.,-0.5 (64),-1.0 (85),0.5 (76)
Dennis Schr?der,-0.3 (69),-0.8 (83),0.5 (76)
Josh Okogie,-1.2 (46),-1.6 (91),0.4 (76)
Tobias Harris,0.1 (78),-0.3 (73),0.4 (76)
Deni Avdija,-0.4 (68),-0.8 (84),0.4 (76)
Onyeka Okongwu,-0.1 (75),-0.5 (76),0.4 (75)
Harrison Barnes,0.5 (81),0.1 (60),0.4 (75)
Josh Green,-0.2 (72),-0.6 (78),0.4 (75)
Ben Simmons,-0.6 (63),-0.9 (84),0.3 (75)
Jordan McLaughlin,-1.0 (51),-1.3 (89),0.3 (75)
Rudy Gay,-1.7 (38),-2.0 (95),0.3 (74)
Dwight Powell,0.3 (78),-0.0 (62),0.3 (74)
Mont¨¦ Morris,1.2 (88),0.9 (37),0.3 (74)
Cade Cunningham,-0.3 (71),-0.5 (77),0.2 (74)
Goga Bitadze,-0.0 (76),-0.2 (71),0.2 (74)
P.J. Tucker,-0.5 (66),-0.7 (82),0.2 (74)
Caleb Martin,-0.4 (68),-0.6 (79),0.2 (73)
Andre Drummond,-0.8 (58),-1.0 (86),0.2 (73)
Dean Wade,-1.8 (36),-2.0 (95),0.2 (73)
Christian Koloko,-1.6 (40),-1.8 (93),0.2 (73)
Bobby Portis,0.6 (83),0.4 (51),0.2 (73)
Landry Shamet,-0.5 (64),-0.7 (80),0.2 (72)
Jae'Sean Tate,-1.0 (49),-1.2 (88),0.2 (72)
Klay Thompson,0.8 (85),0.7 (45),0.1 (72)
Kevin Love,-0.0 (76),-0.1 (68),0.1 (72)
Spencer Dinwiddie,0.3 (79),0.2 (58),0.1 (72)
Tim Hardaway Jr.,-0.2 (72),-0.3 (72),0.1 (71)
Jerami Grant,-0.4 (67),-0.5 (75),0.1 (71)
Patrick Beverley,-1.6 (41),-1.6 (92),0.0 (71)
Tyler Herro,1.0 (86),1.0 (33),0.0 (71)
Kelly Olynyk,0.8 (85),0.8 (40),0.0 (71)
Malik Monk,0.4 (80),0.4 (51),0.0 (71)
Jevon Carter,-1.1 (48),-1.1 (86),0.0 (70)
Khris Middleton,0.7 (83),0.7 (42),0.0 (70)
Ricky Rubio,-1.9 (32),-1.9 (93),0.0 (70)
Hamidou Diallo,-1.2 (48),-1.1 (87),-0.1 (70)
Blake Griffin,-1.0 (52),-0.9 (84),-0.1 (70)
Brandon Clarke,-0.6 (62),-0.5 (76),-0.1 (69)
Tyus Jones,0.4 (80),0.5 (49),-0.1 (69)
Tre Jones,0.9 (86),1.0 (33),-0.1 (69)
Montrezl Harrell,-0.2 (73),-0.1 (69),-0.1 (69)
Jordan Poole,-0.0 (76),0.1 (61),-0.1 (69)
Bruce Brown,-0.2 (72),-0.1 (66),-0.1 (69)
Royce O'Neale,-1.3 (45),-1.2 (88),-0.1 (68)
Reggie Bullock Jr.,-0.8 (57),-0.7 (81),-0.1 (68)
Derrick Jones Jr.,-1.0 (50),-0.8 (83),-0.2 (68)
Nikola Vu?evi?,-0.3 (71),-0.1 (68),-0.2 (68)
Grayson Allen,-0.2 (71),-0.0 (63),-0.2 (68)
Lindy Waters III,-0.5 (64),-0.3 (72),-0.2 (67)
Keegan Murray,1.1 (87),1.4 (19),-0.3 (67)
Coby White,0.4 (80),0.7 (44),-0.3 (67)
Mason Plumlee,0.2 (78),0.5 (49),-0.3 (67)
Tari Eason,-0.9 (55),-0.6 (79),-0.3 (67)
Caris LeVert,-0.1 (74),0.2 (59),-0.3 (66)
Kentavious Caldwell-Pope,-0.2 (72),0.1 (61),-0.3 (66)
Markelle Fultz,-0.4 (66),-0.1 (66),-0.3 (66)
Miles McBride,-1.5 (42),-1.1 (86),-0.4 (66)
Frank Ntilikina,-1.9 (33),-1.5 (90),-0.4 (66)
Kyle Anderson,-0.7 (60),-0.3 (72),-0.4 (66)
P.J. Washington,-0.6 (62),-0.2 (70),-0.4 (65)
Terence Davis,-0.3 (70),0.1 (60),-0.4 (65)
Trey Murphy III,0.7 (84),1.1 (30),-0.4 (65)
Wenyen Gabriel,-0.1 (75),0.4 (53),-0.5 (65)
Bojan Bogdanovi?,1.3 (89),1.8 (7),-0.5 (65)
Garrison Mathews,-0.1 (75),0.4 (53),-0.5 (64)
Terry Rozier,0.3 (79),0.8 (40),-0.5 (64)
Ochai Agbaji,-0.2 (72),0.3 (56),-0.5 (64)
Justise Winslow,-1.9 (33),-1.4 (89),-0.5 (64)
Cole Anthony,0.3 (79),0.8 (39),-0.5 (64)
Moritz Wagner,-0.3 (69),0.2 (57),-0.5 (64)
Rui Hachimura,-1.0 (52),-0.4 (75),-0.6 (63)
Eric Gordon,-0.3 (71),0.3 (56),-0.6 (63)
Reggie Jackson,-1.2 (46),-0.6 (78),-0.6 (63)
Keita Bates-Diop,-0.8 (57),-0.2 (69),-0.6 (63)
Anthony Lamb,-0.9 (53),-0.3 (71),-0.6 (63)
Jalen Suggs,-1.8 (37),-1.1 (87),-0.7 (62)
Alperen Sengun,1.0 (86),1.7 (10),-0.7 (62)
Raul Neto,-0.6 (63),0.1 (61),-0.7 (62)
Santi Aldama,-0.6 (62),0.1 (61),-0.7 (62)
Cody Martin,-0.1 (74),0.6 (46),-0.7 (62)
Zach Collins,-0.4 (67),0.3 (56),-0.7 (61)
Payton Pritchard,-0.2 (71),0.5 (48),-0.7 (61)
Ivica Zubac,-0.8 (57),-0.1 (66),-0.7 (61)
John Collins,-1.2 (48),-0.4 (74),-0.8 (61)
Rodney McGruder,-0.7 (60),0.1 (60),-0.8 (61)
Daniel Gafford,0.2 (78),1.0 (33),-0.8 (61)
Joe Harris,-0.6 (61),0.2 (58),-0.8 (60)
Shake Milton,-0.3 (69),0.5 (48),-0.8 (60)
Davis Bertans,-0.3 (69),0.5 (47),-0.8 (60)
Kyle Kuzma,-1.4 (44),-0.5 (76),-0.9 (60)
Jalen Williams,-0.6 (62),0.3 (56),-0.9 (60)
Jalen McDaniels,-0.8 (58),0.1 (61),-0.9 (59)
Aaron Holiday,-1.1 (49),-0.2 (70),-0.9 (59)
Bones Hyland,1.3 (88),2.3 (2),-1.0 (59)
Georges Niang,-0.7 (61),0.3 (57),-1.0 (59)
Isaiah Stewart,-1.3 (46),-0.3 (73),-1.0 (59)
Gary Trent Jr.,0.0 (76),1.0 (33),-1.0 (58)
Damion Lee,-1.0 (50),0.0 (64),-1.0 (58)
Tony Bradley,-0.8 (56),0.2 (58),-1.0 (58)
Pat Connaughton,-0.7 (59),0.3 (54),-1.0 (58)
T.J. Warren,-1.6 (39),-0.6 (77),-1.0 (58)
Dyson Daniels,-2.4 (26),-1.3 (89),-1.1 (58)
Xavier Tillman,-1.2 (47),-0.1 (67),-1.1 (57)
Furkan Korkmaz,-1.4 (43),-0.3 (71),-1.1 (57)
Russell Westbrook,-0.5 (66),0.6 (46),-1.1 (57)
Donte DiVincenzo,-0.7 (61),0.4 (53),-1.1 (57)
Paolo Banchero,-0.2 (73),0.9 (37),-1.1 (57)
Saddiq Bey,0.7 (84),1.8 (7),-1.1 (56)
Dewayne Dedmon,-1.8 (36),-0.7 (82),-1.1 (56)
Wesley Matthews,-1.5 (42),-0.4 (74),-1.1 (56)
Svi Mykhailiuk,-0.5 (64),0.6 (45),-1.1 (56)
Luke Kornet,-1.5 (41),-0.4 (74),-1.1 (56)
Jaxson Hayes,-1.3 (44),-0.2 (69),-1.1 (56)
Gary Harris,-0.3 (69),0.8 (38),-1.1 (55)
Jalen Smith,-0.9 (55),0.3 (57),-1.2 (55)
Anthony Gill,-0.9 (55),0.3 (57),-1.2 (55)
Isaac Okoro,-0.5 (65),0.7 (44),-1.2 (55)
AJ Griffin,-0.6 (61),0.6 (45),-1.2 (55)
Khem Birch,-1.2 (46),-0.0 (62),-1.2 (54)
Devonte' Graham,-0.8 (58),0.4 (52),-1.2 (54)
Naji Marshall,-1.1 (48),0.1 (61),-1.2 (54)
Jarred Vanderbilt,-0.4 (67),0.8 (40),-1.2 (54)
Talen Horton-Tucker,-1.4 (44),-0.1 (66),-1.3 (54)
Zeke Nnaji,-1.9 (33),-0.6 (78),-1.3 (53)
Ty Jerome,-0.6 (61),0.7 (43),-1.3 (53)
Corey Kispert,1.0 (86),2.3 (2),-1.3 (53)
Grant Williams,-0.4 (68),0.9 (37),-1.3 (53)
De'Andre Hunter,-0.8 (59),0.5 (49),-1.3 (53)
Paul Reed,-0.8 (57),0.5 (48),-1.3 (53)
Andrew Nembhard,-0.5 (64),0.8 (39),-1.3 (52)
Isaiah Livers,-0.8 (56),0.5 (48),-1.3 (52)
Frank Jackson,-1.0 (49),0.3 (54),-1.3 (52)
Mo Bamba,-0.9 (55),0.5 (49),-1.4 (52)
Duncan Robinson,-0.5 (65),0.9 (36),-1.4 (52)
Cedi Osman,-0.7 (60),0.7 (44),-1.4 (51)
Thaddeus Young,-1.0 (51),0.4 (52),-1.4 (51)
Mark Williams,-1.9 (34),-0.5 (76),-1.4 (51)
Christian Wood,0.1 (77),1.5 (15),-1.4 (51)
Maxi Kleber,-2.5 (25),-1.1 (86),-1.4 (51)
Trent Forrest,-1.0 (50),0.4 (51),-1.4 (51)
Danny Green,-1.5 (41),-0.1 (65),-1.4 (50)
Derrick Rose,-2.1 (30),-0.7 (81),-1.4 (50)
Dario ?ari?,-1.1 (48),0.3 (55),-1.4 (50)
Moses Moody,-1.0 (52),0.5 (50),-1.5 (50)
Cory Joseph,-1.0 (52),0.5 (50),-1.5 (50)
Yuta Watanabe,-1.0 (51),0.5 (49),-1.5 (49)
Josh Richardson,-0.9 (54),0.6 (46),-1.5 (49)
Nickeil Alexander-Walker,-1.2 (47),0.3 (55),-1.5 (49)
Davion Mitchell,-1.9 (33),-0.4 (74),-1.5 (49)
Jordan Goodwin,-1.5 (41),-0.0 (62),-1.5 (49)
Seth Curry,-0.0 (75),1.5 (14),-1.5 (48)
Daniel Theis,-2.2 (28),-0.7 (80),-1.5 (48)
Tre Mann,-1.9 (34),-0.3 (72),-1.6 (48)
Victor Oladipo,-1.7 (37),-0.1 (65),-1.6 (48)
Jalen Duren,-0.9 (56),0.7 (44),-1.6 (48)
Devin Vassell,-0.8 (58),0.8 (40),-1.6 (48)
Joshua Primo,-1.0 (51),0.6 (46),-1.6 (47)
Trey Lyles,-0.4 (67),1.2 (26),-1.6 (47)
Aaron Wiggins,-0.5 (64),1.1 (29),-1.6 (47)
Marvin Bagley III,-0.8 (56),0.8 (38),-1.6 (47)
Sterling Brown,-2.0 (30),-0.4 (73),-1.6 (47)
Jalen Johnson,-1.9 (35),-0.2 (70),-1.7 (46)
Taj Gibson,-2.0 (31),-0.3 (71),-1.7 (46)
Edmond Sumner,-1.3 (45),0.4 (52),-1.7 (46)
Max Strus,-0.4 (67),1.3 (23),-1.7 (46)
RJ Barrett,-0.6 (63),1.1 (30),-1.7 (46)
Obi Toppin,-0.6 (62),1.1 (29),-1.7 (46)
PJ Dozier,-2.7 (20),-1.0 (84),-1.7 (45)
Omer Yurtseven,-0.9 (52),0.8 (38),-1.7 (45)
Jonas Valan?i¨±nas,-0.4 (68),1.4 (20),-1.8 (45)
Ayo Dosunmu,-1.9 (35),-0.1 (68),-1.8 (45)
KJ Martin,0.0 (76),1.8 (6),-1.8 (45)
Josh Giddey,-0.9 (54),0.9 (36),-1.8 (44)
Keldon Johnson,-0.1 (74),1.7 (9),-1.8 (44)
Chimezie Metu,-1.6 (39),0.2 (58),-1.8 (44)
Saben Lee,-1.5 (41),0.3 (54),-1.8 (44)
Andre Iguodala,-2.6 (22),-0.8 (82),-1.8 (44)
Kris Dunn,-0.8 (56),1.0 (30),-1.8 (43)
Romeo Langford,-2.2 (28),-0.4 (74),-1.8 (43)
Chris Duarte,-1.9 (35),-0.0 (65),-1.9 (43)
Dalano Banton,-1.9 (34),-0.0 (64),-1.9 (43)
Jaylen Nowell,-0.2 (73),1.7 (10),-1.9 (43)
Taurean Prince,-0.9 (54),1.0 (33),-1.9 (43)
Jeremy Sochan,-1.0 (51),0.9 (36),-1.9 (42)
Evan Fournier,-0.8 (58),1.1 (29),-1.9 (42)
Jonathan Kuminga,-1.1 (49),0.9 (37),-2.0 (42)
Chuma Okeke,-2.1 (30),-0.1 (69),-2.0 (42)
Goran Dragic,-1.2 (47),0.8 (41),-2.0 (42)
Precious Achiuwa,-1.6 (40),0.4 (52),-2.0 (41)
Ousmane Dieng,-2.1 (30),-0.1 (67),-2.0 (41)
Troy Brown Jr.,-0.7 (60),1.3 (22),-2.0 (41)
Alex Len,-2.6 (22),-0.6 (77),-2.0 (41)
Kira Lewis Jr.,-1.7 (37),0.3 (54),-2.0 (41)
Stanley Johnson,-0.3 (69),1.7 (8),-2.0 (41)
Bennedict Mathurin,-0.5 (66),1.6 (12),-2.1 (40)
Kelly Oubre Jr.,-0.9 (54),1.2 (27),-2.1 (40)
Christian Braun,-2.6 (24),-0.5 (75),-2.1 (40)
Deandre Ayton,-1.2 (46),0.9 (35),-2.1 (40)
KZ Okpala,-2.5 (25),-0.4 (74),-2.1 (40)
Willy Hernangomez,-0.4 (66),1.7 (9),-2.1 (39)
Facundo Campazzo,-2.6 (23),-0.5 (75),-2.1 (39)
Olivier Sarr,-2.1 (29),-0.0 (62),-2.1 (39)
Kessler Edwards,-0.8 (58),1.4 (20),-2.2 (39)
Haywood Highsmith,-2.2 (28),-0.0 (65),-2.2 (39)
Malik Beasley,-0.9 (53),1.3 (23),-2.2 (38)
Naz Reid,-1.8 (36),0.4 (51),-2.2 (38)
Nathan Knight,-2.0 (31),0.2 (58),-2.2 (38)
Moses Brown,-1.4 (43),0.8 (38),-2.2 (38)
Markieff Morris,-2.0 (32),0.3 (56),-2.3 (38)
Jeremiah Robinson-Earl,-1.0 (51),1.3 (23),-2.3 (38)
Brandon Boston Jr.,-1.9 (33),0.4 (51),-2.3 (37)
Duane Washington Jr.,-1.3 (44),1.0 (31),-2.3 (37)
Thomas Bryant,-0.7 (59),1.6 (11),-2.3 (37)
Oshae Brissett,-0.2 (73),2.1 (4),-2.3 (37)
Boban Marjanovi?,-2.6 (23),-0.3 (72),-2.3 (37)
Danuel House Jr.,-1.7 (38),0.7 (45),-2.4 (36)
Terry Taylor,-0.6 (63),1.8 (7),-2.4 (36)
Patty Mills,-1.2 (47),1.2 (27),-2.4 (36)
Kai Jones,-2.4 (26),0.0 (64),-2.4 (36)
Jericho Sims,-1.5 (42),0.9 (35),-2.4 (36)
Lamar Stevens,-1.8 (35),0.6 (45),-2.4 (35)
Charles Bassey,-2.1 (29),0.3 (55),-2.4 (35)
Kemba Walker,-1.5 (41),0.9 (34),-2.4 (35)
Juan Toscano-Anderson,-2.7 (21),-0.3 (73),-2.4 (35)
Isaiah Jackson,-1.3 (45),1.1 (30),-2.4 (35)
Amir Coffey,-1.6 (39),0.8 (39),-2.4 (35)
JaMychal Green,-1.3 (46),1.2 (28),-2.5 (34)
Aaron Nesmith,-0.8 (59),1.7 (10),-2.5 (34)
Eugene Omoruyi,-1.7 (38),0.8 (41),-2.5 (34)
Richaun Holmes,-2.5 (25),-0.0 (63),-2.5 (34)
Robin Lopez,-2.5 (24),-0.0 (63),-2.5 (34)
Mamadi Diakite,-2.8 (18),-0.3 (71),-2.5 (33)
Kevon Harris,-2.3 (27),0.3 (55),-2.6 (33)
Patrick Williams,-1.8 (36),0.8 (41),-2.6 (33)
Jeff Green,-1.8 (36),0.8 (39),-2.6 (33)
Marcus Morris Sr.,-0.9 (53),1.7 (9),-2.6 (33)
Luka Garza,-0.8 (56),1.8 (6),-2.6 (33)
Orlando Robinson,-2.3 (27),0.4 (50),-2.7 (32)
Bryn Forbes,-1.5 (43),1.2 (27),-2.7 (32)
Kendrick Nunn,-1.8 (37),1.0 (34),-2.8 (32)
Aleksej Pokusevski,-1.9 (34),0.9 (36),-2.8 (32)
Vlatko ?an?ar,-2.1 (29),0.7 (43),-2.8 (32)
Bismack Biyombo,-2.8 (19),0.0 (63),-2.8 (31)
Nassir Little,-1.1 (48),1.7 (9),-2.8 (31)
John Wall,-2.9 (17),-0.1 (66),-2.8 (31)
Daishen Nix,-2.3 (27),0.5 (48),-2.8 (31)
V¨ªt Krej?¨ª,-1.3 (45),1.5 (15),-2.8 (31)
Jabari Walker,-2.3 (27),0.5 (47),-2.8 (30)
Ziaire Williams,-2.0 (31),0.8 (38),-2.8 (30)
Caleb Houstan,-1.9 (35),1.0 (34),-2.9 (30)
Day'Ron Sharpe,-0.9 (55),2.0 (4),-2.9 (30)
David Roddy,-2.0 (32),0.9 (36),-2.9 (30)
James Bouknight,-2.3 (27),0.6 (46),-2.9 (30)
Damian Jones,-2.0 (31),0.9 (35),-2.9 (29)
James Johnson,-2.9 (16),-0.0 (63),-2.9 (29)
Malachi Flynn,-1.7 (38),1.2 (26),-2.9 (29)
Serge Ibaka,-2.2 (28),0.7 (43),-2.9 (29)
Jalen Green,-1.1 (49),1.9 (5),-3.0 (29)
Nick Richards,-1.5 (43),1.5 (16),-3.0 (28)
Collin Sexton,-0.9 (53),2.1 (3),-3.0 (28)
Drew Eubanks,-2.0 (32),1.0 (32),-3.0 (28)
Jaylin Williams,-1.8 (35),1.2 (26),-3.0 (28)
Killian Hayes,-2.4 (26),0.7 (44),-3.1 (28)
Justin Champagnie,-1.7 (38),1.4 (19),-3.1 (28)
Dylan Windler,-2.4 (25),0.7 (42),-3.1 (27)
Luka Samanic,-2.8 (18),0.3 (53),-3.1 (27)
Bol Bol,-2.6 (24),0.5 (50),-3.1 (27)
JT Thor,-2.9 (17),0.2 (58),-3.1 (27)
Garrett Temple,-2.6 (22),0.5 (47),-3.1 (27)
Nerlens Noel,-2.6 (22),0.5 (47),-3.1 (26)
Leandro Bolmaro,-2.9 (17),0.3 (55),-3.2 (26)
Torrey Craig,-0.9 (53),2.3 (2),-3.2 (26)
Davon Reed,-2.4 (26),0.8 (40),-3.2 (26)
Max Christie,-2.9 (17),0.4 (53),-3.3 (26)
Ish Smith,-2.9 (17),0.4 (51),-3.3 (25)
Usman Garuba,-1.9 (33),1.4 (20),-3.3 (25)
Jamal Cain,-2.9 (16),0.4 (50),-3.3 (25)
Jared Butler,-2.0 (30),1.3 (21),-3.3 (25)
Terrence Ross,-1.4 (44),2.0 (5),-3.4 (25)
Cam Thomas,-1.5 (43),1.9 (5),-3.4 (25)
David Duke Jr.,-2.4 (25),1.0 (31),-3.4 (24)
Bruno Fernando,-2.6 (24),0.8 (41),-3.4 (24)
Jabari Smith Jr.,-1.6 (40),1.8 (7),-3.4 (24)
Braxton Key,-2.7 (21),0.7 (43),-3.4 (24)
Frank Kaminsky,-2.7 (20),0.7 (42),-3.4 (24)
Cody Zeller,-2.2 (28),1.2 (24),-3.4 (23)
Matt Ryan,-2.5 (25),1.0 (34),-3.5 (23)
Juancho Hernangomez,-1.3 (45),2.2 (2),-3.5 (23)
Doug McDermott,-0.7 (60),2.8 (0),-3.5 (23)
Theo Maledon,-1.9 (34),1.6 (12),-3.5 (23)
JaVale McGee,-2.6 (23),0.9 (35),-3.5 (23)
Greg Brown III,-2.8 (18),0.7 (43),-3.5 (22)
Johnny Davis,-3.5 (7),-0.0 (62),-3.5 (22)
TyTy Washington Jr.,-3.0 (15),0.5 (47),-3.5 (22)
Michael Carter-Williams,-3.4 (9),0.1 (59),-3.5 (22)
Udoka Azubuike,-2.9 (16),0.7 (42),-3.6 (22)
Norman Powell,-1.5 (42),2.1 (3),-3.6 (21)
Nikola Jovi?,-2.6 (23),1.0 (31),-3.6 (21)
Admiral Schofield,-2.0 (31),1.6 (11),-3.6 (21)
Austin Rivers,-2.1 (29),1.6 (12),-3.7 (21)
Bryce McGowens,-2.7 (21),1.0 (32),-3.7 (21)
Ryan Arcidiacono,-3.6 (6),0.1 (60),-3.7 (20)
Jaden Hardy,-1.6 (40),2.1 (3),-3.7 (20)
Joe Wieskamp,-3.0 (15),0.7 (42),-3.7 (20)
