Player,Offense,Defense(*),Total
LeBron James,5.7 (99),-2.6 (98),8.3 (99)
Stephen Curry,6.8 (99),-1.4 (89),8.2 (99)
Chris Paul,5.3 (98),-2.7 (98),8.0 (99)
Kawhi Leonard,3.6 (98),-3.7 (99),7.3 (99)
Draymond Green,2.6 (96),-4.6 (99),7.2 (98)
Kevin Durant,5.3 (99),-1.0 (84),6.3 (98)
Russell Westbrook,5.9 (99),-0.0 (61),5.9 (98)
Kyle Lowry,3.9 (98),-1.8 (93),5.7 (98)
Ricky Rubio,3.1 (97),-2.5 (97),5.6 (98)
James Harden,5.1 (98),-0.2 (67),5.3 (97)
Paul George,2.2 (95),-2.3 (96),4.5 (97)
Manu Ginobili,1.4 (89),-2.7 (98),4.1 (97)
Jimmy Butler,2.3 (95),-1.7 (93),4.0 (97)
Khris Middleton,2.3 (95),-1.6 (91),3.9 (97)
Kevin Love,2.6 (97),-1.0 (85),3.6 (96)
Anthony Davis,1.8 (93),-1.8 (94),3.6 (96)
Jae Crowder,1.7 (92),-1.9 (94),3.6 (96)
Rudy Gobert,-0.1 (72),-3.6 (99),3.5 (96)
Danny Green,0.8 (83),-2.7 (98),3.5 (96)
DeMarcus Cousins,1.0 (85),-2.5 (97),3.5 (95)
Mike Conley,2.7 (97),-0.7 (78),3.4 (95)
Paul Millsap,1.4 (90),-2.0 (94),3.4 (95)
Nikola Joki?,1.1 (86),-2.2 (96),3.3 (95)
Eric Bledsoe,1.5 (90),-1.8 (93),3.3 (94)
DeAndre Jordan,1.9 (93),-1.4 (89),3.3 (94)
LaMarcus Aldridge,1.1 (86),-2.1 (95),3.2 (94)
Dirk Nowitzki,3.1 (97),-0.1 (63),3.2 (94)
John Wall,2.0 (94),-1.1 (86),3.1 (94)
Goran Dragic,2.1 (94),-0.8 (81),2.9 (93)
Danilo Gallinari,2.6 (96),-0.2 (67),2.8 (93)
CJ McCollum,2.1 (94),-0.7 (78),2.8 (93)
Kentavious Caldwell-Pope,1.1 (87),-1.6 (92),2.7 (93)
Kyle Korver,1.3 (89),-1.4 (90),2.7 (93)
Kristaps Porzi??is,0.7 (81),-2.0 (94),2.7 (92)
Damian Lillard,3.9 (98),1.2 (27),2.7 (92)
Michael Kidd-Gilchrist,0.4 (77),-2.3 (96),2.7 (92)
Kemba Walker,2.0 (94),-0.6 (77),2.6 (92)
Patty Mills,1.3 (89),-1.3 (88),2.6 (92)
Carmelo Anthony,3.3 (97),0.7 (41),2.6 (91)
Gordon Hayward,1.7 (92),-0.8 (81),2.5 (91)
Rodney Hood,2.3 (95),-0.0 (63),2.3 (91)
Klay Thompson,2.6 (96),0.4 (51),2.2 (91)
George Hill,1.3 (89),-0.9 (82),2.2 (90)
Tim Duncan,-0.3 (67),-2.5 (97),2.2 (90)
Nikola Mirotic,1.9 (93),-0.2 (68),2.1 (90)
Marcin Gortat,-0.0 (74),-2.1 (95),2.1 (90)
JJ Redick,1.7 (92),-0.4 (72),2.1 (90)
Pau Gasol,0.7 (82),-1.4 (89),2.1 (89)
Monta Ellis,0.8 (84),-1.1 (85),1.9 (89)
Al Horford,0.2 (75),-1.7 (93),1.9 (89)
Andre Iguodala,0.4 (78),-1.5 (91),1.9 (89)
Isaiah Thomas,2.5 (96),0.6 (46),1.9 (89)
Cody Zeller,0.5 (80),-1.4 (89),1.9 (88)
Jrue Holiday,1.9 (93),-0.0 (61),1.9 (88)
Robert Covington,0.7 (81),-1.2 (86),1.9 (88)
Chris Bosh,0.9 (85),-0.9 (83),1.8 (88)
Patrick Patterson,1.5 (91),-0.3 (69),1.8 (88)
Al-Farouq Aminu,0.3 (75),-1.5 (90),1.8 (87)
Iman Shumpert,-0.3 (66),-2.1 (95),1.8 (87)
Andre Drummond,1.2 (88),-0.5 (75),1.7 (87)
Tony Allen,-0.6 (61),-2.3 (96),1.7 (87)
Giannis Antetokounmpo,1.3 (88),-0.3 (69),1.6 (86)
Avery Bradley,1.4 (90),-0.2 (68),1.6 (86)
Tyreke Evans,1.9 (93),0.3 (52),1.6 (86)
Derrick Favors,0.7 (82),-0.8 (81),1.5 (86)
Serge Ibaka,-0.0 (73),-1.5 (90),1.5 (86)
Andre Roberson,-0.8 (56),-2.2 (95),1.4 (85)
Tristan Thompson,0.8 (84),-0.6 (77),1.4 (85)
Victor Oladipo,1.0 (86),-0.4 (73),1.4 (85)
Luol Deng,0.5 (80),-0.9 (83),1.4 (85)
Hassan Whiteside,0.2 (75),-1.2 (86),1.4 (85)
David West,-0.4 (65),-1.8 (93),1.4 (84)
Chandler Parsons,1.4 (89),0.0 (60),1.4 (84)
Marcus Morris Sr.,1.2 (88),-0.1 (65),1.3 (84)
Reggie Jackson,1.5 (91),0.2 (57),1.3 (84)
Kelly Olynyk,0.5 (78),-0.8 (80),1.3 (84)
Joe Johnson,1.4 (90),0.1 (59),1.3 (83)
Patrick Beverley,0.7 (82),-0.6 (76),1.3 (83)
Otto Porter Jr.,1.1 (86),-0.1 (65),1.2 (83)
Channing Frye,0.8 (83),-0.4 (71),1.2 (83)
JR Smith,1.7 (92),0.5 (48),1.2 (82)
Darrell Arthur,-1.2 (47),-2.4 (97),1.2 (82)
Deron Williams,0.6 (81),-0.6 (76),1.2 (82)
Kevin Garnett,-1.3 (43),-2.5 (97),1.2 (82)
Jeremy Lamb,-0.2 (69),-1.4 (88),1.2 (82)
Dwight Howard,-0.1 (71),-1.3 (87),1.2 (81)
Jared Sullinger,0.3 (76),-0.8 (81),1.1 (81)
Mario Chalmers,0.1 (74),-0.9 (82),1.0 (81)
Kenneth Faried,2.1 (94),1.1 (31),1.0 (81)
Zach Randolph,1.0 (85),0.0 (62),1.0 (81)
Wesley Matthews,0.8 (83),-0.2 (67),1.0 (80)
Nicolas Batum,0.9 (85),0.0 (62),0.9 (80)
Marvin Williams,0.8 (84),-0.1 (64),0.9 (80)
Darren Collison,1.3 (88),0.4 (50),0.9 (80)
Jared Dudley,-0.6 (59),-1.5 (90),0.9 (80)
Thabo Sefolosha,-1.6 (36),-2.5 (98),0.9 (79)
Marcus Smart,-0.3 (68),-1.2 (86),0.9 (79)
Trevor Ariza,0.5 (79),-0.3 (69),0.8 (79)
Mike Dunleavy,0.6 (80),-0.2 (65),0.8 (79)
Andrew Bogut,-2.4 (18),-3.1 (99),0.7 (78)
Shaun Livingston,0.6 (81),-0.1 (65),0.7 (78)
DeMar DeRozan,1.4 (90),0.7 (42),0.7 (78)
DeMarre Carroll,0.5 (80),-0.2 (67),0.7 (78)
Courtney Lee,0.4 (77),-0.3 (69),0.7 (78)
Blake Griffin,0.3 (75),-0.4 (72),0.7 (77)
Anthony Tolliver,0.4 (78),-0.2 (67),0.6 (77)
CJ Miles,0.5 (80),-0.1 (64),0.6 (77)
Zaza Pachulia,-1.1 (50),-1.7 (92),0.6 (77)
Marc Gasol,-0.6 (61),-1.1 (85),0.5 (77)
Alan Anderson,-0.6 (59),-1.1 (85),0.5 (76)
Joakim Noah,-1.1 (50),-1.6 (92),0.5 (76)
Omri Casspi,0.5 (79),0.0 (61),0.5 (76)
Ian Mahinmi,-1.8 (30),-2.2 (96),0.4 (76)
Brandon Jennings,1.1 (86),0.7 (39),0.4 (76)
Matthew Dellavedova,-0.1 (72),-0.5 (74),0.4 (75)
Amir Johnson,-0.9 (53),-1.3 (88),0.4 (75)
Brook Lopez,-0.5 (64),-0.9 (83),0.4 (75)
Steven Adams,-0.6 (61),-1.0 (84),0.4 (75)
Gorgui Dieng,-0.5 (62),-0.9 (82),0.4 (75)
Thaddeus Young,0.7 (82),0.3 (54),0.4 (74)
Tiago Splitter,-0.8 (57),-1.2 (87),0.4 (74)
Elijah Millsap,-1.1 (50),-1.5 (91),0.4 (74)
Kyrie Irving,2.6 (96),2.2 (4),0.4 (74)
Ronnie Price,-1.4 (40),-1.7 (92),0.3 (73)
Karl-Anthony Towns,1.3 (88),1.0 (32),0.3 (73)
Nene,-0.9 (53),-1.2 (87),0.3 (73)
Tony Snell,-1.4 (42),-1.6 (92),0.2 (73)
Rudy Gay,0.8 (83),0.6 (44),0.2 (73)
Tobias Harris,0.4 (78),0.2 (56),0.2 (72)
Nikola Vu?evi?,0.1 (74),-0.1 (64),0.2 (72)
Lavoy Allen,-1.2 (47),-1.4 (89),0.2 (72)
Cory Joseph,-0.5 (64),-0.7 (79),0.2 (72)
Clint Capela,-0.8 (56),-1.0 (84),0.2 (72)
Kyle Anderson,-0.7 (58),-0.8 (80),0.1 (71)
Markieff Morris,-0.7 (58),-0.8 (80),0.1 (71)
Wesley Johnson,-0.7 (57),-0.8 (80),0.1 (71)
Evan Fournier,1.0 (85),0.9 (36),0.1 (71)
James Johnson,-0.6 (61),-0.7 (79),0.1 (71)
Langston Galloway,-0.5 (63),-0.6 (76),0.1 (70)
Ryan Anderson,1.6 (92),1.6 (18),0.0 (70)
Bradley Beal,1.2 (87),1.2 (29),0.0 (70)
Greg Monroe,1.2 (87),1.2 (28),0.0 (70)
Michael Carter-Williams,-0.5 (63),-0.5 (73),0.0 (69)
Vince Carter,-0.5 (62),-0.5 (73),0.0 (69)
Andre Miller,0.8 (82),0.8 (36),0.0 (69)
Jeremy Lin,-0.6 (62),-0.5 (74),-0.1 (69)
Anthony Morrow,0.4 (77),0.5 (48),-0.1 (69)
Devin Harris,-0.1 (72),0.1 (58),-0.2 (68)
Solomon Hill,0.3 (75),0.5 (47),-0.2 (68)
Al Jefferson,-0.9 (52),-0.7 (79),-0.2 (68)
Tarik Black,-0.9 (52),-0.7 (78),-0.2 (68)
Justise Winslow,-2.1 (24),-1.8 (94),-0.3 (68)
Josh McRoberts,-0.2 (70),0.1 (58),-0.3 (67)
Jeff Teague,0.3 (77),0.7 (42),-0.4 (67)
Alec Burks,0.3 (76),0.7 (42),-0.4 (67)
Jonas Valan?i¨±nas,0.3 (76),0.7 (42),-0.4 (67)
Mason Plumlee,0.1 (74),0.5 (47),-0.4 (67)
Ed Davis,-0.1 (72),0.3 (53),-0.4 (66)
Paul Pierce,-0.8 (55),-0.4 (71),-0.4 (66)
Chris Andersen,-1.0 (50),-0.6 (75),-0.4 (66)
Mirza Teletovic,1.2 (87),1.6 (17),-0.4 (66)
Cole Aldrich,-1.8 (30),-1.4 (88),-0.4 (65)
Festus Ezeli,-1.4 (41),-0.9 (83),-0.5 (65)
Larry Nance Jr.,-1.4 (39),-0.9 (82),-0.5 (65)
Elfrid Payton,-0.2 (70),0.3 (55),-0.5 (65)
C.J. Watson,-0.3 (68),0.2 (56),-0.5 (65)
Tyson Chandler,-1.2 (47),-0.7 (78),-0.5 (64)
Donatas Motiejunas,-1.2 (45),-0.7 (77),-0.5 (64)
Jusuf Nurki?,-1.7 (31),-1.2 (86),-0.5 (64)
Jose Calderon,0.8 (84),1.4 (22),-0.6 (64)
Aaron Gordon,-0.3 (68),0.3 (55),-0.6 (64)
Ben McLemore,-0.6 (60),-0.0 (61),-0.6 (63)
Andrew Wiggins,0.6 (81),1.2 (27),-0.6 (63)
Eric Gordon,0.3 (76),0.9 (36),-0.6 (63)
Jonas Jerebko,-1.3 (44),-0.7 (79),-0.6 (63)
Garrett Temple,-1.6 (34),-1.0 (84),-0.6 (63)
Dennis Schr?der,-0.2 (71),0.5 (49),-0.7 (62)
Taj Gibson,-1.2 (48),-0.5 (74),-0.7 (62)
Dwyane Wade,0.8 (84),1.5 (20),-0.7 (62)
Boris Diaw,-0.6 (60),0.1 (58),-0.7 (62)
Dion Waiters,-0.6 (60),0.1 (58),-0.7 (61)
Rajon Rondo,-0.2 (69),0.5 (47),-0.7 (61)
Jeff Withey,-1.4 (39),-0.7 (77),-0.7 (61)
Norris Cole,-0.0 (73),0.7 (40),-0.7 (61)
Raul Neto,-1.3 (44),-0.6 (77),-0.7 (61)
P.J. Tucker,-0.8 (56),-0.1 (63),-0.7 (60)
Jason Thompson,-0.8 (55),-0.1 (63),-0.7 (60)
Timofey Mozgov,-1.7 (34),-0.9 (84),-0.8 (60)
Jon Leuer,-0.7 (57),0.1 (57),-0.8 (60)
Shelvin Mack,-0.1 (71),0.7 (40),-0.8 (60)
O.J. Mayo,-1.2 (46),-0.4 (70),-0.8 (59)
Rodney Stuckey,-0.4 (66),0.4 (51),-0.8 (59)
Brandon Knight,0.5 (79),1.3 (24),-0.8 (59)
Marcus Thornton,-0.2 (69),0.6 (43),-0.8 (59)
Ryan Kelly,-0.6 (59),0.3 (53),-0.9 (59)
Omer Asik,-2.0 (25),-1.1 (85),-0.9 (58)
Nikola Pekovic,-1.2 (45),-0.3 (68),-0.9 (58)
Spencer Hawes,-1.3 (44),-0.4 (72),-0.9 (58)
Brandon Bass,-0.9 (52),-0.0 (61),-0.9 (58)
Pablo Prigioni,-1.5 (37),-0.6 (75),-0.9 (57)
Chris Johnson,-1.5 (37),-0.6 (75),-0.9 (57)
Nick Collison,-2.2 (22),-1.3 (87),-0.9 (57)
Nerlens Noel,-2.3 (20),-1.3 (88),-1.0 (57)
Tyler Johnson,-1.4 (40),-0.4 (71),-1.0 (57)
Donald Sloan,-0.1 (72),0.9 (35),-1.0 (56)
Bismack Biyombo,-2.5 (15),-1.5 (91),-1.0 (56)
Robin Lopez,-1.7 (32),-0.7 (78),-1.0 (56)
Greivis Vasquez,-0.4 (65),0.6 (45),-1.0 (56)
Sergey Karasev,-0.8 (55),0.2 (55),-1.0 (56)
Dewayne Dedmon,-1.9 (28),-0.8 (81),-1.1 (55)
KJ McDaniels,-1.9 (28),-0.8 (80),-1.1 (55)
Will Barton,-0.5 (63),0.6 (45),-1.1 (55)
Jason Terry,-0.4 (65),0.7 (41),-1.1 (55)
Enes Freedom,1.5 (91),2.6 (2),-1.1 (55)
Meyers Leonard,-0.3 (67),0.8 (37),-1.1 (54)
Arron Afflalo,-0.1 (71),1.0 (31),-1.1 (54)
Cory Jefferson,-1.6 (34),-0.5 (73),-1.1 (54)
Mike Scott,-1.3 (45),-0.1 (65),-1.2 (54)
Harrison Barnes,-0.7 (59),0.5 (48),-1.2 (53)
Ty Lawson,-0.2 (70),1.0 (34),-1.2 (53)
Trevor Booker,-1.2 (46),0.0 (60),-1.2 (53)
Gerald Henderson,-1.2 (46),0.0 (59),-1.2 (53)
