Player,Offense,Defense(*),Total
LeBron James,3.8 (97),-2.8 (98),6.6 (99)
Stephen Curry,5.9 (99),-0.4 (75),6.3 (99)
Paul George,3.5 (97),-2.7 (98),6.2 (99)
Giannis Antetokounmpo,2.2 (94),-3.9 (99),6.1 (99)
Kawhi Leonard,4.3 (98),-1.4 (91),5.7 (99)
Rudy Gobert,0.1 (73),-5.5 (99),5.6 (98)
Damian Lillard,5.8 (99),0.2 (55),5.6 (98)
James Harden,5.5 (99),-0.0 (61),5.5 (98)
Nikola Joki?,5.1 (99),-0.2 (68),5.3 (98)
Joel Embiid,2.8 (95),-2.5 (97),5.3 (98)
Jrue Holiday,3.3 (97),-1.9 (95),5.2 (97)
Jimmy Butler,2.8 (96),-2.3 (97),5.1 (97)
Chris Paul,2.8 (96),-2.1 (96),4.9 (97)
Kevin Durant,3.2 (97),-1.4 (91),4.6 (97)
Mike Conley,2.5 (95),-1.9 (94),4.4 (97)
Jayson Tatum,2.7 (95),-1.2 (89),3.9 (97)
Alex Caruso,-0.1 (69),-4.0 (99),3.9 (96)
Karl-Anthony Towns,4.5 (98),0.7 (41),3.8 (96)
Kyrie Irving,3.7 (97),0.0 (62),3.7 (96)
Anthony Davis,1.6 (91),-2.1 (96),3.7 (96)
Luka Don?i?,4.3 (98),0.8 (38),3.5 (96)
Jamal Murray,2.1 (94),-1.4 (90),3.5 (95)
Clint Capela,-0.1 (68),-3.2 (99),3.1 (95)
Joe Harris,2.6 (95),-0.4 (75),3.0 (95)
Derrick White,1.5 (91),-1.5 (91),3.0 (95)
Kemba Walker,2.8 (95),-0.2 (66),3.0 (95)
Khris Middleton,2.6 (95),-0.3 (71),2.9 (95)
Devin Booker,3.9 (98),1.0 (35),2.9 (94)
Ben Simmons,1.0 (86),-1.9 (95),2.9 (94)
Bogdan Bogdanovi?,1.9 (92),-1.0 (85),2.9 (94)
George Hill,0.9 (85),-2.0 (95),2.9 (94)
Draymond Green,-0.1 (68),-2.9 (98),2.8 (94)
Dorian Finney-Smith,1.6 (91),-1.1 (87),2.7 (93)
Zion Williamson,3.2 (96),0.5 (48),2.7 (93)
Fred VanVleet,1.0 (86),-1.6 (93),2.6 (93)
Nicolas Batum,1.4 (90),-1.1 (87),2.5 (93)
Bam Adebayo,1.1 (87),-1.4 (91),2.5 (93)
Jakob Poeltl,0.6 (82),-1.9 (95),2.5 (92)
Mikal Bridges,1.4 (90),-1.0 (85),2.4 (92)
Nikola Vu?evi?,0.9 (85),-1.5 (92),2.4 (92)
Michael Porter Jr.,3.8 (97),1.5 (19),2.3 (92)
Jonas Valan?i¨±nas,1.4 (89),-0.9 (83),2.3 (92)
CJ McCollum,3.1 (96),0.8 (37),2.3 (92)
Marcus Smart,0.7 (84),-1.5 (92),2.2 (91)
Duncan Robinson,1.6 (91),-0.6 (78),2.2 (91)
Joe Ingles,1.2 (87),-1.0 (85),2.2 (91)
Patrick Beverley,-0.1 (69),-2.3 (97),2.2 (91)
Ivica Zubac,-0.0 (72),-2.1 (96),2.1 (91)
Reggie Jackson,1.9 (93),-0.2 (69),2.1 (90)
Christian Wood,1.0 (85),-1.1 (87),2.1 (90)
