Player,Offense,Defense(*),Total
Brook Lopez,0.4 (79),-1.6 (93),2.0 (90)
Gordon Hayward,0.9 (85),-1.1 (87),2.0 (90)
Danny Green,1.3 (89),-0.7 (80),2.0 (90)
Seth Curry,1.7 (92),-0.3 (70),2.0 (90)
Davis Bertans,2.4 (94),0.4 (50),2.0 (89)
Pascal Siakam,0.9 (85),-1.1 (87),2.0 (89)
De'Anthony Melton,0.5 (80),-1.5 (92),2.0 (89)
Bojan Bogdanovi?,2.0 (93),-0.0 (61),2.0 (89)
Dejounte Murray,1.1 (86),-0.8 (82),1.9 (89)
Devonte' Graham,1.4 (90),-0.5 (76),1.9 (88)
Mitchell Robinson,0.7 (84),-1.2 (89),1.9 (88)
OG Anunoby,0.5 (81),-1.3 (90),1.8 (88)
Robert Covington,0.2 (75),-1.6 (93),1.8 (88)
Julius Randle,0.6 (83),-1.2 (89),1.8 (88)
Cameron Payne,1.1 (87),-0.6 (78),1.7 (87)
Donte DiVincenzo,1.2 (88),-0.4 (74),1.6 (87)
Dillon Brooks,1.2 (88),-0.4 (72),1.6 (87)
John Collins,1.4 (90),-0.2 (67),1.6 (87)
Bradley Beal,4.3 (98),2.7 (1),1.6 (87)
Trae Young,4.8 (99),3.2 (0),1.6 (87)
Kyle Lowry,1.2 (88),-0.3 (70),1.5 (86)
Chris Boucher,1.8 (92),0.3 (53),1.5 (86)
Blake Griffin,0.2 (75),-1.3 (89),1.5 (86)
Domantas Sabonis,0.3 (77),-1.1 (87),1.4 (86)
Matisse Thybulle,-1.3 (47),-2.7 (97),1.4 (86)
Richaun Holmes,0.5 (80),-0.8 (81),1.3 (85)
Myles Turner,-1.1 (50),-2.4 (97),1.3 (85)
Spencer Dinwiddie,1.1 (87),-0.1 (65),1.2 (85)
PJ Dozier,-0.9 (56),-2.1 (96),1.2 (85)
Malcolm Brogdon,1.1 (87),-0.1 (64),1.2 (85)
Thaddeus Young,1.1 (86),-0.1 (62),1.2 (85)
Aaron Gordon,0.3 (77),-0.9 (83),1.2 (84)
Isaac Bonga,-1.8 (35),-3.0 (98),1.2 (84)
Zach LaVine,2.9 (96),1.7 (12),1.2 (84)
Royce O'Neale,0.5 (80),-0.7 (80),1.2 (84)
Willie Cauley-Stein,-2.0 (32),-3.1 (99),1.1 (84)
Steven Adams,0.5 (81),-0.6 (78),1.1 (83)
Goran Dragic,0.7 (84),-0.4 (73),1.1 (83)
Tobias Harris,1.0 (86),-0.1 (64),1.1 (83)
Danilo Gallinari,1.3 (89),0.2 (56),1.1 (83)
Kyle Anderson,-0.7 (60),-1.8 (94),1.1 (83)
Enes Freedom,2.1 (93),1.0 (33),1.1 (82)
Dario ?ari?,0.4 (78),-0.7 (79),1.1 (82)
Kristaps Porzi??is,1.8 (92),0.7 (39),1.1 (82)
Kelly Olynyk,1.4 (90),0.3 (54),1.1 (82)
Jusuf Nurki?,-0.8 (58),-1.9 (94),1.1 (82)
Montrezl Harrell,0.3 (78),-0.7 (81),1.0 (82)
Deandre Ayton,0.6 (83),-0.4 (74),1.0 (81)
Jae Crowder,0.1 (74),-0.9 (84),1.0 (81)
Jalen Brunson,0.6 (83),-0.4 (73),1.0 (81)
Lonzo Ball,0.4 (79),-0.6 (78),1.0 (81)
Larry Nance Jr.,-1.0 (53),-2.0 (95),1.0 (81)
Furkan Korkmaz,0.6 (82),-0.4 (73),1.0 (80)
De'Andre Hunter,-0.8 (58),-1.8 (94),1.0 (80)
Rudy Gay,-1.1 (50),-2.1 (96),1.0 (80)
Derrick Rose,0.7 (83),-0.3 (69),1.0 (80)
Buddy Hield,1.7 (92),0.7 (40),1.0 (80)
Shai Gilgeous-Alexander,2.2 (94),1.3 (25),0.9 (80)
Brandon Ingram,1.4 (90),0.5 (48),0.9 (79)
Marc Gasol,-1.4 (45),-2.2 (97),0.8 (79)
Terance Mann,0.4 (79),-0.4 (74),0.8 (79)
Paul Millsap,0.2 (76),-0.6 (77),0.8 (79)
Alec Burks,0.0 (71),-0.8 (82),0.8 (79)
Isaiah Stewart,-1.0 (52),-1.8 (93),0.8 (78)
Maxi Kleber,-0.9 (57),-1.7 (93),0.8 (78)
Tim Hardaway Jr.,1.3 (89),0.6 (45),0.7 (78)
Jarrett Allen,0.1 (74),-0.6 (79),0.7 (78)
Jaylen Brown,0.7 (84),0.0 (62),0.7 (78)
Reggie Bullock Jr.,-0.3 (66),-1.0 (85),0.7 (77)
Russell Westbrook,0.2 (75),-0.5 (76),0.7 (77)
Kevin Huerter,0.2 (75),-0.5 (76),0.7 (77)
Patty Mills,0.5 (80),-0.2 (67),0.7 (77)
Delon Wright,0.2 (75),-0.5 (75),0.7 (77)
Facundo Campazzo,-0.7 (62),-1.3 (90),0.6 (77)
Ja Morant,1.2 (88),0.6 (44),0.6 (76)
Rondae Hollis-Jefferson,-0.6 (62),-1.1 (86),0.5 (76)
Damion Lee,0.2 (77),-0.3 (72),0.5 (76)
Caris LeVert,0.9 (85),0.4 (52),0.5 (76)
Bruce Brown,0.4 (80),-0.1 (65),0.5 (76)
Dennis Schr?der,0.0 (72),-0.5 (77),0.5 (75)
Wesley Matthews,-1.4 (45),-1.9 (95),0.5 (75)
Mont¨¦ Morris,0.3 (78),-0.2 (68),0.5 (75)
De'Aaron Fox,2.0 (93),1.5 (18),0.5 (75)
Georges Niang,0.3 (77),-0.2 (66),0.5 (75)
Tomas Satoransky,-0.3 (66),-0.8 (81),0.5 (75)
Daniel Theis,-0.9 (57),-1.3 (90),0.4 (74)
Cody Martin,-0.9 (56),-1.3 (90),0.4 (74)
Lauri Markkanen,0.1 (73),-0.3 (70),0.4 (74)
Ricky Rubio,-0.0 (70),-0.4 (72),0.4 (74)
Dwight Powell,-0.2 (67),-0.6 (78),0.4 (74)
Norman Powell,0.7 (83),0.3 (53),0.4 (73)
DeMar DeRozan,2.0 (93),1.6 (14),0.4 (73)
Immanuel Quickley,0.1 (73),-0.2 (68),0.3 (73)
Luguentz Dort,-0.6 (63),-0.9 (83),0.3 (73)
LaMarcus Aldridge,-1.2 (49),-1.5 (92),0.3 (73)
Kevon Looney,0.0 (72),-0.3 (72),0.3 (72)
Cameron Johnson,0.0 (72),-0.3 (71),0.3 (72)
Jordan Clarkson,1.9 (92),1.6 (14),0.3 (72)
Justise Winslow,-1.6 (37),-1.9 (94),0.3 (72)
Pat Connaughton,-0.2 (68),-0.4 (74),0.2 (72)
Harrison Barnes,-0.0 (70),-0.2 (67),0.2 (72)
Victor Oladipo,-1.0 (53),-1.2 (88),0.2 (71)
Raul Neto,-0.5 (63),-0.7 (80),0.2 (71)
Garrett Temple,-0.8 (57),-1.0 (85),0.2 (71)
Kelan Martin,-1.1 (50),-1.3 (89),0.2 (71)
Kent Bazemore,-2.6 (20),-2.8 (98),0.2 (71)
Andre Iguodala,-1.4 (45),-1.5 (92),0.1 (70)
Evan Fournier,1.6 (91),1.5 (19),0.1 (70)
Mike Muscala,-1.0 (52),-1.1 (86),0.1 (70)
Nic Claxton,-1.4 (42),-1.5 (91),0.1 (70)
T.J. Warren,0.4 (79),0.3 (54),0.1 (70)
Kevin Love,0.5 (80),0.4 (49),0.1 (70)
David Nwaba,-0.9 (55),-1.0 (85),0.1 (69)
Daniel Gafford,-0.9 (56),-0.9 (83),0.0 (69)
Jae'Sean Tate,0.0 (71),-0.0 (61),0.0 (69)
Kentavious Caldwell-Pope,0.5 (82),0.6 (46),-0.1 (69)
Jaxson Hayes,-0.9 (57),-0.8 (82),-0.1 (69)
T.J. McConnell,0.6 (82),0.7 (41),-0.1 (68)
Ersan Ilyasova,-0.7 (59),-0.6 (77),-0.1 (68)
Michael Carter-Williams,-1.3 (47),-1.2 (88),-0.1 (68)
Derrick Favors,-0.8 (58),-0.7 (79),-0.1 (68)
Jarred Vanderbilt,-1.3 (46),-1.2 (88),-0.1 (68)
Donovan Mitchell,2.1 (94),2.3 (2),-0.2 (67)
Doug McDermott,1.1 (87),1.3 (25),-0.2 (67)
Thomas Bryant,0.5 (81),0.7 (41),-0.2 (67)
Eric Bledsoe,0.0 (71),0.2 (57),-0.2 (67)
Josh Hart,-0.5 (64),-0.3 (71),-0.2 (67)
Kenrich Williams,0.0 (70),0.2 (56),-0.2 (67)
Jeremy Lamb,0.2 (74),0.4 (48),-0.2 (66)
Ish Smith,-0.9 (56),-0.7 (80),-0.2 (66)
Xavier Tillman,-0.9 (54),-0.7 (79),-0.2 (66)
Robert Williams III,0.3 (78),0.6 (45),-0.3 (66)
Terence Davis,-0.3 (66),0.0 (62),-0.3 (66)
Otto Porter Jr.,-0.5 (63),-0.2 (67),-0.3 (65)
Jordan Poole,-0.4 (65),-0.1 (65),-0.3 (65)
Bobby Portis,0.5 (81),0.8 (38),-0.3 (65)
Langston Galloway,0.5 (81),0.8 (38),-0.3 (65)
D'Angelo Russell,1.2 (88),1.5 (19),-0.3 (65)
Saddiq Bey,-0.4 (65),-0.1 (63),-0.3 (65)
Austin Rivers,0.1 (72),0.4 (48),-0.3 (64)
Juan Toscano-Anderson,-1.2 (49),-0.8 (82),-0.4 (64)
Hassan Whiteside,-1.5 (41),-1.1 (86),-0.4 (64)
Al Horford,-1.2 (49),-0.8 (81),-0.4 (64)
Taj Gibson,-1.4 (43),-1.0 (84),-0.4 (64)
Josh Richardson,0.2 (76),0.6 (45),-0.4 (63)
Jeff Green,-0.3 (67),0.1 (60),-0.4 (63)
Serge Ibaka,-0.8 (59),-0.4 (75),-0.4 (63)
JaMychal Green,-0.3 (65),0.1 (58),-0.4 (63)
Trevor Ariza,-1.6 (38),-1.2 (88),-0.4 (63)
D.J. Augustin,0.2 (76),0.7 (42),-0.5 (62)
Justin Holiday,-0.7 (61),-0.2 (68),-0.5 (62)
Tony Bradley,0.2 (75),0.7 (40),-0.5 (62)
Andrew Wiggins,-0.1 (69),0.4 (52),-0.5 (62)
Cody Zeller,0.1 (74),0.6 (45),-0.5 (62)
LaMelo Ball,0.1 (73),0.6 (44),-0.5 (62)
Chris Chiozza,-1.7 (36),-1.1 (86),-0.6 (61)
Miles Bridges,0.1 (73),0.7 (41),-0.6 (61)
Khem Birch,-1.0 (53),-0.4 (73),-0.6 (61)
Deni Avdija,-1.5 (41),-0.9 (83),-0.6 (61)
Brandon Clarke,-0.7 (60),-0.1 (63),-0.6 (61)
Luke Kornet,-1.5 (40),-0.9 (82),-0.6 (60)
Jabari Parker,-0.3 (65),0.3 (52),-0.6 (60)
Gary Harris,-2.1 (30),-1.5 (92),-0.6 (60)
Darius Garland,-0.2 (67),0.4 (50),-0.6 (60)
RJ Barrett,-0.4 (65),0.2 (56),-0.6 (60)
Isaiah Hartenstein,-0.9 (56),-0.2 (68),-0.7 (60)
P.J. Washington,-1.2 (49),-0.5 (76),-0.7 (59)
Frank Kaminsky,-0.7 (60),0.0 (60),-0.7 (59)
Eric Gordon,-0.0 (70),0.7 (40),-0.7 (59)
Grant Williams,-1.6 (40),-0.9 (84),-0.7 (59)
Andre Drummond,-1.1 (51),-0.4 (73),-0.7 (59)
Josh Okogie,-1.1 (50),-0.4 (72),-0.7 (58)
Jevon Carter,-0.7 (62),0.1 (60),-0.8 (58)
Jerami Grant,-0.7 (60),0.1 (59),-0.8 (58)
Jordan McLaughlin,-1.4 (43),-0.6 (77),-0.8 (58)
Trey Burke,0.2 (76),1.0 (34),-0.8 (58)
Javonte Green,-0.9 (57),-0.1 (65),-0.8 (57)
Frank Ntilikina,-1.0 (53),-0.2 (67),-0.8 (57)
Ryan Arcidiacono,-1.3 (46),-0.5 (76),-0.8 (57)
Nemanja Bjelica,0.0 (70),0.8 (37),-0.8 (57)
Frank Jackson,0.2 (74),1.0 (32),-0.8 (57)
Oshae Brissett,-0.4 (64),0.4 (48),-0.8 (57)
Wendell Carter Jr.,-2.2 (27),-1.4 (90),-0.8 (56)
Landry Shamet,0.3 (78),1.2 (30),-0.9 (56)
Mychal Mulder,-0.3 (67),0.6 (46),-0.9 (56)
Wayne Ellington,0.3 (77),1.2 (28),-0.9 (56)
Kira Lewis Jr.,-1.2 (48),-0.3 (69),-0.9 (56)
Kris Dunn,-2.0 (30),-1.1 (86),-0.9 (55)
Aaron Holiday,-0.5 (64),0.4 (50),-0.9 (55)
Matthew Dellavedova,-1.4 (43),-0.4 (72),-1.0 (55)
Terrence Ross,-0.8 (59),0.2 (56),-1.0 (55)
John Konchar,-0.6 (63),0.4 (49),-1.0 (55)
Rodney McGruder,-0.9 (54),0.1 (58),-1.0 (55)
Rodions Kurucs,-1.4 (45),-0.3 (71),-1.1 (54)
Nerlens Noel,-2.3 (25),-1.2 (88),-1.1 (54)
Malik Beasley,0.3 (77),1.4 (22),-1.1 (54)
Lou Williams,0.4 (79),1.5 (20),-1.1 (54)
Semi Ojeleye,-1.7 (37),-0.6 (79),-1.1 (54)
Will Barton,-0.7 (62),0.4 (50),-1.1 (53)
Danuel House Jr.,-0.9 (55),0.2 (56),-1.1 (53)
Tyus Jones,-0.8 (58),0.3 (53),-1.1 (53)
Cory Joseph,-1.0 (52),0.1 (59),-1.1 (53)
Hamidou Diallo,-1.3 (46),-0.2 (66),-1.1 (53)
Denzel Valentine,-1.6 (39),-0.5 (75),-1.1 (52)
Kendrick Nunn,0.0 (71),1.2 (29),-1.2 (52)
DeAndre' Bembry,-1.9 (34),-0.7 (80),-1.2 (52)
Gorgui Dieng,-1.0 (52),0.2 (55),-1.2 (52)
James Ennis III,-0.0 (70),1.2 (27),-1.2 (52)
Noah Vonleh,-1.2 (48),-0.0 (60),-1.2 (52)
Meyers Leonard,-0.8 (59),0.4 (51),-1.2 (51)
Chuma Okeke,-1.8 (35),-0.6 (77),-1.2 (51)
Derrick Jones Jr.,-1.1 (50),0.1 (59),-1.2 (51)
Shake Milton,0.0 (71),1.3 (25),-1.3 (51)
Desmond Bane,-0.1 (69),1.2 (28),-1.3 (51)
Mason Plumlee,-0.9 (55),0.4 (49),-1.3 (50)
Jaden McDaniels,-1.2 (48),0.1 (58),-1.3 (50)
Goga Bitadze,-1.5 (40),-0.2 (66),-1.3 (50)
Patrick Patterson,-1.0 (54),0.4 (51),-1.4 (50)
Talen Horton-Tucker,-1.9 (34),-0.5 (77),-1.4 (50)
Terry Rozier,-0.2 (67),1.2 (30),-1.4 (50)
Markelle Fultz,-0.5 (64),0.9 (35),-1.4 (49)
Gary Trent Jr.,0.6 (82),2.0 (5),-1.4 (49)
Payton Pritchard,0.2 (76),1.6 (15),-1.4 (49)
Thanasis Antetokounmpo,-2.2 (28),-0.8 (82),-1.4 (49)
John Wall,-1.6 (39),-0.2 (67),-1.4 (49)
Luke Kennard,0.8 (84),2.3 (3),-1.5 (48)
Brad Wanamaker,-2.4 (24),-0.9 (84),-1.5 (48)
Robin Lopez,-1.5 (41),0.0 (62),-1.5 (48)
Svi Mykhailiuk,-0.9 (55),0.6 (44),-1.5 (48)
Trey Lyles,-1.4 (44),0.1 (59),-1.5 (48)
P.J. Tucker,-1.8 (35),-0.3 (69),-1.5 (47)
Alex Len,-2.0 (31),-0.5 (75),-1.5 (47)
Marcus Morris Sr.,0.0 (69),1.5 (17),-1.5 (47)
Avery Bradley,-1.7 (37),-0.1 (65),-1.6 (47)
Wes Iwundu,-2.3 (25),-0.7 (80),-1.6 (47)
Collin Sexton,1.3 (89),2.9 (1),-1.6 (47)
Mike Scott,-1.9 (34),-0.3 (70),-1.6 (46)
Miye Oni,-1.7 (36),-0.1 (63),-1.6 (46)
JaKarr Sampson,-1.4 (44),0.2 (55),-1.6 (46)
Tyrese Haliburton,0.6 (82),2.2 (3),-1.6 (46)
Dennis Smith Jr.,-1.5 (41),0.1 (59),-1.6 (46)
DeAndre Jordan,-1.8 (36),-0.1 (66),-1.7 (45)
Justin Jackson,-0.7 (61),1.0 (34),-1.7 (45)
Garrison Mathews,-0.7 (60),1.0 (33),-1.7 (45)
Yuta Watanabe,-1.4 (43),0.3 (52),-1.7 (45)
Ben McLemore,-0.3 (65),1.4 (21),-1.7 (45)
Kyle Kuzma,-1.6 (40),0.1 (60),-1.7 (45)
Boban Marjanovi?,-1.1 (51),0.6 (45),-1.7 (44)
Moritz Wagner,-1.3 (47),0.4 (49),-1.7 (44)
Al-Farouq Aminu,-2.8 (15),-1.0 (84),-1.8 (44)
Maurice Harkless,-1.6 (39),0.2 (57),-1.8 (44)
Alfonzo McKinnie,-1.1 (51),0.7 (41),-1.8 (44)
Solomon Hill,-1.0 (53),0.8 (38),-1.8 (43)
Grayson Allen,-0.3 (66),1.5 (19),-1.8 (43)
Ed Davis,-2.6 (19),-0.8 (81),-1.8 (43)
Kelly Oubre Jr.,-1.7 (37),0.2 (57),-1.9 (43)
Dean Wade,-1.5 (42),0.4 (50),-1.9 (43)
Coby White,-0.7 (61),1.2 (29),-1.9 (42)
Troy Brown Jr.,-0.3 (66),1.6 (15),-1.9 (42)
Willy Hernangomez,-0.1 (68),1.8 (9),-1.9 (42)
Tony Snell,-0.8 (57),1.1 (31),-1.9 (42)
Naji Marshall,-1.8 (35),0.1 (58),-1.9 (42)
Naz Reid,-1.3 (46),0.7 (40),-2.0 (42)
Juancho Hernangomez,-0.8 (58),1.2 (28),-2.0 (41)
Marvin Bagley III,-0.5 (63),1.5 (18),-2.0 (41)
Shaquille Harrison,-2.1 (29),-0.1 (63),-2.0 (41)
Caleb Martin,-1.8 (35),0.2 (55),-2.0 (41)
Rajon Rondo,-0.7 (60),1.3 (24),-2.0 (41)
E'Twaun Moore,-1.3 (46),0.7 (40),-2.0 (40)
Dewayne Dedmon,-1.3 (45),0.7 (40),-2.0 (40)
Romeo Langford,-2.0 (31),-0.0 (60),-2.0 (40)
Taurean Prince,-1.4 (45),0.7 (42),-2.1 (40)
Tyler Johnson,-1.3 (48),0.8 (39),-2.1 (40)
Damyean Dotson,-2.1 (29),0.0 (62),-2.1 (40)
Dwight Howard,-2.2 (27),-0.1 (64),-2.1 (39)
Sterling Brown,-1.6 (39),0.5 (47),-2.1 (39)
Thon Maker,-1.5 (41),0.6 (43),-2.1 (39)
Rui Hachimura,-1.6 (38),0.5 (47),-2.1 (39)
Anthony Tolliver,-2.0 (30),0.1 (57),-2.1 (39)
Malachi Flynn,-1.9 (33),0.3 (53),-2.2 (38)
Markieff Morris,-2.0 (32),0.2 (57),-2.2 (38)
Keldon Johnson,-1.0 (52),1.2 (28),-2.2 (38)
Jarrett Culver,-2.5 (21),-0.3 (69),-2.2 (38)
Dant¨¦ Exum,-2.2 (27),0.0 (61),-2.2 (38)
DeMarcus Cousins,-2.1 (28),0.1 (58),-2.2 (37)
Mo Bamba,-1.4 (43),0.8 (36),-2.2 (37)
Yogi Ferrell,-1.6 (38),0.6 (42),-2.2 (37)
Patrick McCaw,-1.6 (37),0.6 (42),-2.2 (37)
Elfrid Payton,-0.7 (61),1.6 (15),-2.3 (37)
Nickeil Alexander-Walker,-0.7 (61),1.6 (14),-2.3 (37)
Jake Layman,-2.4 (23),-0.1 (63),-2.3 (36)
Jaren Jackson Jr.,-0.6 (62),1.7 (10),-2.3 (36)
Theo Pinson,-2.6 (20),-0.3 (70),-2.3 (36)
Stanley Johnson,-2.6 (19),-0.3 (70),-2.3 (36)
Rodney Hood,-2.1 (29),0.2 (55),-2.3 (36)
Amir Coffey,-2.8 (16),-0.4 (74),-2.4 (35)
Tristan Thompson,-1.5 (42),0.9 (36),-2.4 (35)
Jeff Teague,-0.5 (64),1.9 (7),-2.4 (35)
Nicolo Melli,-2.1 (30),0.3 (54),-2.4 (35)
JaVale McGee,-2.5 (21),-0.1 (65),-2.4 (35)
Matt Thomas,-1.8 (35),0.6 (44),-2.4 (35)
Bruno Caboclo,-1.9 (33),0.5 (47),-2.4 (34)
Drew Eubanks,-2.1 (28),0.3 (53),-2.4 (34)
Edmond Sumner,-0.9 (55),1.5 (17),-2.4 (34)
Nassir Little,-0.7 (59),1.7 (11),-2.4 (34)
Terrance Ferguson,-1.1 (49),1.3 (25),-2.4 (34)
Timothe Luwawu-Cabarrot,-1.0 (54),1.5 (20),-2.5 (33)
JJ Redick,-1.1 (51),1.4 (22),-2.5 (33)
Jared Dudley,-2.8 (16),-0.3 (71),-2.5 (33)
Aron Baynes,-2.6 (19),-0.1 (64),-2.5 (33)
Bruno Fernando,-2.6 (19),-0.1 (64),-2.5 (33)
Ty Jerome,-1.4 (44),1.1 (31),-2.5 (32)
Mike James,-2.4 (22),0.1 (57),-2.5 (32)
T.J. Leaf,-2.3 (24),0.2 (54),-2.5 (32)
Quinn Cook,-1.3 (48),1.3 (26),-2.6 (32)
Cedi Osman,-1.3 (47),1.3 (26),-2.6 (32)
Anthony Edwards,-0.1 (68),2.5 (1),-2.6 (32)
Darius Miller,-2.1 (28),0.5 (46),-2.6 (31)
Abdel Nader,-2.4 (22),0.2 (55),-2.6 (31)
Josh Jackson,-2.3 (25),0.4 (49),-2.7 (31)
Torrey Craig,-1.1 (51),1.6 (15),-2.7 (31)
Obi Toppin,-1.5 (42),1.2 (29),-2.7 (31)
Jahlil Okafor,-1.6 (39),1.1 (31),-2.7 (30)
Gary Clark,-1.4 (44),1.3 (25),-2.7 (30)
Malik Monk,-0.6 (62),2.1 (4),-2.7 (30)
Jaylen Nowell,-2.1 (28),0.6 (43),-2.7 (30)
Wenyen Gabriel,-2.0 (31),0.7 (39),-2.7 (30)
Marquese Chriss,-1.0 (54),1.8 (9),-2.8 (30)
James Johnson,-2.1 (30),0.7 (42),-2.8 (29)
Josh Green,-2.5 (21),0.3 (54),-2.8 (29)
Carsen Edwards,-2.4 (23),0.4 (51),-2.8 (29)
Harry Giles III,-2.0 (31),0.8 (37),-2.8 (29)
Saben Lee,-1.5 (40),1.3 (24),-2.8 (29)
Aaron Nesmith,-2.2 (27),0.6 (45),-2.8 (28)
Devin Vassell,-2.2 (27),0.6 (44),-2.8 (28)
D.J. Wilson,-2.3 (26),0.6 (46),-2.9 (28)
Dylan Windler,-2.0 (32),0.9 (35),-2.9 (28)
Brandon Goodwin,-2.4 (23),0.5 (47),-2.9 (28)
Anfernee Simons,0.1 (72),3.0 (0),-2.9 (27)
Gabe Vincent,-2.3 (25),0.6 (43),-2.9 (27)
Jalen McDaniels,-1.3 (47),1.6 (15),-2.9 (27)
Keita Bates-Diop,-1.6 (38),1.3 (24),-2.9 (27)
DaQuan Jeffries,-1.8 (34),1.1 (30),-2.9 (27)
Alize Johnson,-2.2 (26),0.7 (39),-2.9 (27)
Bryn Forbes,-0.3 (67),2.7 (1),-3.0 (26)
Tyrese Maxey,-1.9 (34),1.1 (32),-3.0 (26)
Jerome Robinson,-2.1 (29),0.9 (35),-3.0 (26)
Paul Reed,-2.8 (15),0.3 (52),-3.1 (26)
Carmelo Anthony,-0.9 (55),2.3 (2),-3.2 (26)
Tyler Herro,-1.3 (47),1.9 (7),-3.2 (25)
Sindarius Thornwell,-2.7 (18),0.5 (47),-3.2 (25)
Luka Samanic,-2.7 (17),0.5 (47),-3.2 (25)
An?ejs Pase??iks,-1.7 (36),1.5 (17),-3.2 (25)
Isaiah Thomas,-1.6 (37),1.6 (12),-3.2 (25)
Jordan Nwora,-2.9 (14),0.4 (51),-3.3 (25)
Tremont Waters,-2.3 (26),1.0 (34),-3.3 (24)
Isaac Okoro,-2.1 (30),1.2 (30),-3.3 (24)
Cam Reddish,-1.9 (33),1.4 (22),-3.3 (24)
Adam Mokoka,-2.5 (21),0.8 (38),-3.3 (24)
Killian Hayes,-2.4 (23),0.9 (35),-3.3 (24)
Killian Tillie,-2.8 (15),0.5 (46),-3.3 (23)
Donta Hall,-2.3 (24),1.0 (32),-3.3 (23)
Iman Shumpert,-2.7 (17),0.6 (42),-3.3 (23)
Precious Achiuwa,-3.0 (13),0.4 (51),-3.4 (23)
Isaiah Joe,-2.4 (23),1.0 (33),-3.4 (23)
Justin James,-2.8 (16),0.6 (43),-3.4 (22)
Tacko Fall,-2.4 (22),1.0 (33),-3.4 (22)
Paul Watson,-1.9 (33),1.5 (17),-3.4 (22)
Mamadi Diakite,-3.1 (9),0.3 (52),-3.4 (22)
Gary Payton II,-2.3 (24),1.1 (30),-3.4 (22)
Brodric Thomas,-2.6 (18),0.8 (37),-3.4 (22)
Henry Ellenson,-2.7 (17),0.7 (39),-3.4 (21)
Chandler Hutchison,-2.5 (21),1.0 (34),-3.5 (21)
Jaylen Hoard,-2.3 (25),1.2 (27),-3.5 (21)
Jordan Bell,-1.9 (32),1.6 (13),-3.5 (21)
Skylar Mays,-2.8 (16),0.8 (37),-3.6 (21)
Kevin Knox II,-2.0 (32),1.6 (15),-3.6 (20)
Darius Bazley,-3.6 (2),0.0 (61),-3.6 (20)
