Player,Offense,Defense(*),Total
Stephen Curry,6.4 (99),-1.3 (88),7.7 (99)
Joel Embiid,3.0 (97),-4.3 (99),7.3 (99)
Paul George,3.3 (97),-3.0 (98),6.3 (99)
James Harden,6.1 (99),-0.2 (70),6.3 (99)
Nikola Joki?,4.5 (99),-1.8 (92),6.3 (99)
Kyle Lowry,3.9 (98),-2.3 (96),6.2 (98)
Giannis Antetokounmpo,2.8 (96),-3.1 (98),5.9 (98)
Anthony Davis,2.1 (95),-3.6 (99),5.7 (98)
Jimmy Butler,2.6 (96),-3.0 (98),5.6 (98)
LeBron James,4.4 (99),-0.9 (83),5.3 (98)
Chris Paul,2.5 (96),-2.7 (97),5.2 (97)
Damian Lillard,4.6 (99),-0.6 (78),5.2 (97)
Kawhi Leonard,4.3 (98),-0.8 (81),5.1 (97)
Rudy Gobert,1.0 (86),-3.6 (99),4.6 (97)
Jrue Holiday,2.1 (95),-2.1 (95),4.2 (97)
Karl-Anthony Towns,4.3 (98),0.1 (62),4.2 (96)
Kemba Walker,4.2 (98),0.1 (64),4.1 (96)
Kevin Durant,3.9 (98),-0.2 (70),4.1 (96)
Mike Conley,2.8 (96),-1.3 (88),4.1 (96)
Al Horford,2.1 (95),-1.9 (93),4.0 (96)
Otto Porter Jr.,2.3 (95),-1.4 (89),3.7 (96)
Kyrie Irving,3.4 (97),-0.2 (71),3.6 (95)
Brook Lopez,1.4 (91),-2.1 (96),3.5 (95)
Derrick White,0.8 (84),-2.6 (97),3.4 (95)
Robert Covington,-0.2 (72),-3.6 (99),3.4 (95)
Steven Adams,1.5 (92),-1.9 (93),3.4 (95)
Paul Millsap,1.1 (88),-2.2 (96),3.3 (94)
Draymond Green,-0.1 (73),-3.4 (99),3.3 (94)
Nemanja Bjelica,1.4 (91),-1.8 (92),3.2 (94)
Jusuf Nurki?,-0.1 (72),-3.2 (98),3.1 (94)
Ersan Ilyasova,0.9 (86),-2.0 (95),2.9 (94)
Nikola Vu?evi?,0.9 (86),-2.0 (94),2.9 (93)
Bradley Beal,3.2 (97),0.4 (54),2.8 (93)
Jayson Tatum,0.8 (85),-2.0 (95),2.8 (93)
Kevon Looney,1.3 (90),-1.5 (90),2.8 (93)
Danilo Gallinari,2.5 (96),-0.3 (72),2.8 (93)
Eric Bledsoe,1.9 (94),-0.8 (82),2.7 (93)
Marc Gasol,0.6 (83),-2.1 (95),2.7 (92)
Kevin Love,1.6 (92),-1.1 (86),2.7 (92)
Blake Griffin,2.0 (94),-0.6 (79),2.6 (92)
Victor Oladipo,0.2 (77),-2.4 (97),2.6 (92)
Danny Green,1.3 (90),-1.3 (88),2.6 (92)
Pascal Siakam,1.3 (90),-1.3 (87),2.6 (91)
Fred VanVleet,1.2 (89),-1.4 (89),2.6 (91)
Malcolm Brogdon,1.8 (93),-0.7 (80),2.5 (91)
Rudy Gay,0.9 (85),-1.6 (91),2.5 (91)
Nikola Mirotic,1.9 (94),-0.4 (76),2.3 (91)
Khris Middleton,2.0 (94),-0.2 (70),2.2 (90)
Aron Baynes,-0.9 (56),-3.0 (98),2.1 (90)
Andre Drummond,1.0 (87),-1.1 (86),2.1 (90)
Joe Ingles,1.2 (89),-0.9 (83),2.1 (90)
George Hill,0.6 (83),-1.4 (89),2.0 (90)
Davis Bertans,1.5 (91),-0.5 (77),2.0 (90)
Ricky Rubio,0.5 (81),-1.5 (90),2.0 (89)
Seth Curry,0.4 (79),-1.6 (91),2.0 (89)
Danuel House Jr.,1.3 (89),-0.7 (79),2.0 (89)
Thaddeus Young,1.1 (88),-0.8 (82),1.9 (89)
Clint Capela,0.8 (84),-1.1 (86),1.9 (89)
Raul Neto,0.2 (76),-1.7 (91),1.9 (88)
Ben Simmons,1.3 (90),-0.5 (77),1.8 (88)
Donovan Mitchell,0.7 (83),-1.1 (85),1.8 (88)
John Collins,2.1 (95),0.3 (56),1.8 (88)
Justise Winslow,-0.5 (64),-2.3 (96),1.8 (88)
Marcus Smart,0.2 (77),-1.5 (90),1.7 (87)
Al-Farouq Aminu,0.3 (77),-1.4 (89),1.7 (87)
Andre Iguodala,-0.6 (63),-2.3 (96),1.7 (87)
Nene,-1.1 (50),-2.8 (97),1.7 (87)
Hassan Whiteside,-0.4 (68),-2.0 (94),1.6 (87)
Russell Westbrook,2.0 (94),0.4 (53),1.6 (86)
LaMarcus Aldridge,0.7 (84),-0.8 (81),1.5 (86)
Patrick Beverley,0.4 (80),-1.1 (85),1.5 (86)
Mont¨¦ Morris,0.4 (79),-1.1 (85),1.5 (86)
Darren Collison,1.6 (93),0.2 (61),1.4 (86)
Josh Richardson,0.6 (83),-0.8 (82),1.4 (86)
Aaron Gordon,0.4 (80),-1.0 (84),1.4 (85)
Derrick Favors,0.2 (76),-1.2 (87),1.4 (85)
Jeremy Lamb,1.0 (87),-0.3 (73),1.3 (85)
Eric Gordon,1.2 (89),-0.1 (67),1.3 (85)
Gary Harris,0.4 (80),-0.9 (83),1.3 (85)
Larry Nance Jr.,-0.0 (73),-1.3 (87),1.3 (84)
Maxi Kleber,-0.6 (63),-1.9 (93),1.3 (84)
Tomas Satoransky,0.7 (83),-0.6 (78),1.3 (84)
Kyle Anderson,-0.9 (56),-2.1 (95),1.2 (84)
P.J. Tucker,-0.3 (70),-1.5 (90),1.2 (84)
Montrezl Harrell,1.3 (89),0.1 (62),1.2 (83)
Alex Caruso,-0.8 (56),-2.0 (94),1.2 (83)
Bam Adebayo,-0.9 (56),-2.0 (94),1.1 (83)
DeMarcus Cousins,0.4 (78),-0.7 (79),1.1 (83)
Patty Mills,1.4 (91),0.3 (57),1.1 (83)
Jamal Murray,1.9 (93),0.8 (42),1.1 (83)
Lonzo Ball,-1.2 (48),-2.3 (96),1.1 (82)
Gordon Hayward,0.9 (86),-0.1 (68),1.0 (82)
Daniel Theis,0.0 (74),-1.0 (84),1.0 (82)
Derrick Jones Jr.,-0.7 (61),-1.6 (91),0.9 (82)
Kelly Olynyk,1.0 (86),0.1 (63),0.9 (82)
Tyus Jones,0.4 (80),-0.5 (77),0.9 (81)
Tobias Harris,1.2 (88),0.3 (56),0.9 (81)
Lou Williams,3.0 (97),2.1 (5),0.9 (81)
Domantas Sabonis,0.3 (78),-0.5 (77),0.8 (81)
Royce O'Neale,-1.7 (36),-2.5 (97),0.8 (81)
DeAndre Jordan,-0.2 (70),-1.0 (84),0.8 (80)
Josh Hart,-1.0 (52),-1.8 (92),0.8 (80)
Luka Don?i?,1.4 (91),0.6 (47),0.8 (80)
Devin Booker,2.3 (96),1.5 (21),0.8 (80)
Cody Zeller,-0.6 (63),-1.3 (88),0.7 (80)
Delon Wright,-0.1 (72),-0.8 (81),0.7 (80)
Klay Thompson,1.0 (87),0.3 (59),0.7 (79)
Spencer Dinwiddie,1.5 (92),0.8 (43),0.7 (79)
Jakob Poeltl,0.6 (82),-0.1 (67),0.7 (79)
Harrison Barnes,0.1 (74),-0.6 (78),0.7 (79)
Amir Johnson,-0.5 (67),-1.1 (86),0.6 (79)
Ed Davis,-1.2 (49),-1.8 (92),0.6 (78)
Thabo Sefolosha,-1.0 (51),-1.6 (90),0.6 (78)
D'Angelo Russell,1.7 (93),1.1 (36),0.6 (78)
Goran Dragic,1.1 (88),0.6 (48),0.5 (78)
Jared Dudley,-0.8 (59),-1.3 (88),0.5 (78)
Jonas Valan?i¨±nas,0.8 (85),0.3 (58),0.5 (77)
Michael Kidd-Gilchrist,-1.4 (45),-1.8 (93),0.4 (77)
Luke Kornet,-0.7 (59),-1.1 (85),0.4 (77)
JJ Redick,1.0 (87),0.6 (48),0.4 (77)
Buddy Hield,0.9 (85),0.5 (51),0.4 (77)
Myles Turner,-1.5 (43),-1.9 (93),0.4 (76)
Dwight Powell,1.4 (90),1.0 (38),0.4 (76)
Mitchell Robinson,-0.1 (73),-0.4 (76),0.3 (76)
Boban Marjanovi?,-0.1 (72),-0.4 (75),0.3 (76)
Yogi Ferrell,-0.3 (69),-0.6 (78),0.3 (76)
Ivica Zubac,-1.4 (43),-1.6 (91),0.2 (76)
Ante Zizic,-0.6 (63),-0.8 (81),0.2 (75)
Nicolas Batum,0.1 (76),-0.1 (68),0.2 (75)
Richaun Holmes,-0.2 (70),-0.4 (75),0.2 (75)
CJ McCollum,1.7 (93),1.5 (21),0.2 (75)
Joe Harris,0.8 (85),0.7 (45),0.1 (75)
Rodions Kurucs,-0.7 (61),-0.8 (82),0.1 (74)
Tyreke Evans,-0.7 (61),-0.8 (82),0.1 (74)
De'Aaron Fox,0.4 (80),0.3 (57),0.1 (74)
Pat Connaughton,-0.3 (69),-0.4 (75),0.1 (74)
Ish Smith,-0.1 (73),-0.2 (70),0.1 (74)
Shai Gilgeous-Alexander,0.0 (74),-0.1 (67),0.1 (73)
Langston Galloway,-0.2 (71),-0.3 (73),0.1 (73)
Evan Fournier,0.7 (84),0.6 (47),0.1 (73)
Tim Hardaway Jr.,0.6 (83),0.5 (51),0.1 (73)
Khem Birch,-0.5 (64),-0.6 (78),0.1 (73)
Jonathan Isaac,-1.1 (51),-1.1 (86),0.0 (73)
Kyle Korver,0.1 (75),0.1 (63),0.0 (72)
Willie Cauley-Stein,-0.7 (60),-0.7 (80),0.0 (72)
John Wall,0.4 (79),0.4 (54),0.0 (72)
Luc Mbah a Moute,-1.4 (44),-1.3 (87),-0.1 (72)
Quincy Acy,-1.2 (47),-1.1 (85),-0.1 (72)
Dario ?ari?,1.0 (87),1.1 (36),-0.1 (71)
Enes Freedom,1.7 (93),1.8 (11),-0.1 (71)
Nerlens Noel,-2.0 (30),-1.8 (93),-0.2 (71)
Trey Burke,1.1 (88),1.3 (30),-0.2 (71)
DeMar DeRozan,0.8 (84),1.0 (38),-0.2 (71)
Derrick Rose,1.5 (92),1.7 (14),-0.2 (70)
Justin Holiday,-1.2 (48),-1.0 (84),-0.2 (70)
DeMarre Carroll,-0.6 (62),-0.4 (74),-0.2 (70)
Ryan Arcidiacono,-0.3 (69),-0.1 (66),-0.2 (70)
Bojan Bogdanovi?,0.3 (78),0.5 (51),-0.2 (70)
Terrence Ross,0.2 (76),0.4 (55),-0.2 (70)
Kevin Huerter,0.3 (78),0.5 (51),-0.2 (69)
Serge Ibaka,-0.5 (66),-0.3 (72),-0.2 (69)
Kyle Kuzma,0.3 (77),0.5 (49),-0.2 (69)
Wes Iwundu,-2.2 (25),-2.0 (94),-0.2 (69)
Dewayne Dedmon,-0.7 (60),-0.4 (74),-0.3 (69)
Luke Kennard,0.1 (75),0.4 (55),-0.3 (68)
Cory Joseph,-0.8 (59),-0.5 (77),-0.3 (68)
Shabazz Napier,-0.4 (67),-0.1 (66),-0.3 (68)
Julius Randle,1.3 (90),1.7 (15),-0.4 (68)
Austin Rivers,0.2 (76),0.6 (46),-0.4 (68)
Dennis Schr?der,0.4 (81),0.8 (44),-0.4 (67)
Caris LeVert,0.1 (75),0.5 (52),-0.4 (67)
Jae Crowder,0.1 (75),0.5 (50),-0.4 (67)
Dorian Finney-Smith,-0.8 (58),-0.4 (75),-0.4 (67)
T.J. Warren,0.5 (81),0.9 (41),-0.4 (67)
Landry Shamet,0.9 (86),1.4 (26),-0.5 (66)
Mike Muscala,-0.7 (60),-0.2 (69),-0.5 (66)
D.J. Augustin,0.4 (81),0.9 (41),-0.5 (66)
Anthony Tolliver,-0.5 (66),0.0 (65),-0.5 (66)
Deandre Ayton,-0.0 (74),0.5 (50),-0.5 (66)
Omri Casspi,-1.0 (52),-0.5 (76),-0.5 (66)
Jerami Grant,-1.0 (54),-0.4 (76),-0.6 (65)
Malik Beasley,0.6 (82),1.2 (32),-0.6 (65)
Lauri Markkanen,0.4 (79),1.0 (37),-0.6 (65)
Bruce Brown,-2.0 (30),-1.4 (90),-0.6 (65)
Reggie Jackson,0.5 (82),1.1 (36),-0.6 (65)
Vince Carter,-0.9 (56),-0.3 (72),-0.6 (64)
Darius Miller,0.5 (82),1.1 (35),-0.6 (64)
Mason Plumlee,-0.8 (58),-0.2 (69),-0.6 (64)
Tyson Chandler,-2.0 (29),-1.4 (89),-0.6 (64)
Brandon Ingram,-0.8 (57),-0.2 (69),-0.6 (64)
David Nwaba,-0.4 (68),0.3 (57),-0.7 (63)
