Player,Offense,Defense(*),Total
Caleb Martin,-0.5 (66),-1.7 (93),1.2 (83)
Myles Turner,-0.7 (63),-1.8 (94),1.1 (83)
Christian Wood,0.6 (84),-0.5 (77),1.1 (82)
Donovan Mitchell,3.1 (97),2.0 (8),1.1 (82)
Jusuf Nurki?,-1.3 (51),-2.4 (97),1.1 (82)
Brook Lopez,-0.5 (67),-1.5 (91),1.0 (82)
Zach LaVine,2.5 (96),1.5 (28),1.0 (82)
Spencer Dinwiddie,0.5 (82),-0.5 (77),1.0 (82)
Lauri Markkanen,1.1 (90),0.1 (65),1.0 (81)
Ricky Rubio,-1.2 (53),-2.1 (95),0.9 (81)
Miles Bridges,0.9 (88),0.0 (67),0.9 (81)
Danny Green,0.0 (74),-0.9 (83),0.9 (81)
Hassan Whiteside,-0.6 (64),-1.5 (91),0.9 (81)
Michael Porter Jr.,1.3 (91),0.4 (56),0.9 (81)
Tyus Jones,0.3 (79),-0.6 (79),0.9 (80)
Royce O'Neale,0.3 (79),-0.6 (79),0.9 (80)
Shai Gilgeous-Alexander,2.0 (95),1.2 (35),0.8 (80)
Richaun Holmes,-0.5 (66),-1.3 (88),0.8 (80)
Enes Freedom,1.1 (89),0.3 (60),0.8 (80)
Austin Reaves,-0.2 (70),-1.0 (84),0.8 (80)
Rudy Gay,-0.8 (59),-1.6 (92),0.8 (80)
Gordon Hayward,0.1 (77),-0.6 (79),0.7 (79)
Davis Bertans,0.9 (88),0.2 (62),0.7 (79)
Cameron Johnson,0.4 (81),-0.3 (73),0.7 (79)
Nicolas Batum,0.3 (78),-0.4 (74),0.7 (79)
Devonte' Graham,0.2 (77),-0.4 (75),0.6 (79)
Kevin Huerter,0.4 (81),-0.2 (71),0.6 (79)
Chris Duarte,-0.9 (59),-1.5 (91),0.6 (78)
Delon Wright,0.0 (73),-0.6 (78),0.6 (78)
Gabe Vincent,-0.6 (64),-1.2 (87),0.6 (78)
Tony Bradley,-0.0 (73),-0.6 (78),0.6 (78)
DeMar DeRozan,1.9 (94),1.3 (32),0.6 (78)
Deni Avdija,-0.7 (62),-1.2 (87),0.5 (78)
Deandre Ayton,0.8 (86),0.3 (60),0.5 (77)
Duncan Robinson,0.9 (87),0.4 (56),0.5 (77)
Isaac Bonga,-1.3 (50),-1.8 (93),0.5 (77)
Jaxson Hayes,-0.0 (74),-0.4 (75),0.4 (77)
John Collins,-0.1 (72),-0.5 (77),0.4 (77)
