team,year,RAPM
Atlanta Hawks,2015,0.9463444108597697
Atlanta Hawks,2016,0.5355805958612125
Atlanta Hawks,2017,-0.20758581134652593
Atlanta Hawks,2018,-1.8541457695356016
Atlanta Hawks,2019,-1.4031206160017393
Atlanta Hawks,2020,-1.3450782141733282
Atlanta Hawks,2021,0.016734661083474454
Atlanta Hawks,2022,0.45720412962951407
Atlanta Hawks,2023,0.07774611651836356
Brooklyn Nets,2015,-0.456036909715425
Brooklyn Nets,2016,-1.792976097636812
Brooklyn Nets,2017,-1.417137084180272
Brooklyn Nets,2018,-1.4098485997213703
Brooklyn Nets,2019,-0.19075656713996422
Brooklyn Nets,2020,-0.3867263071285737
Brooklyn Nets,2021,1.0990944718089868
Brooklyn Nets,2022,0.26696046566719916
Brooklyn Nets,2023,0.10107118932313656
Boston Celtics,2015,0.23142726815538642
Boston Celtics,2016,0.7284268404624025
Boston Celtics,2017,0.5658477938074749
Boston Celtics,2018,-0.39126608633080046
Boston Celtics,2019,0.9925530652476044
Boston Celtics,2020,1.3450523618282657
Boston Celtics,2021,-0.1321606597743375
Boston Celtics,2022,2.244140547257284
Boston Celtics,2023,1.7858760057908651
Charlotte Hornets,2015,-0.6974145673398885
Charlotte Hornets,2016,0.5410881386598272
Charlotte Hornets,2017,0.35237590124489576
Charlotte Hornets,2018,0.24808965049046777
Charlotte Hornets,2019,-0.5225025446520472
Charlotte Hornets,2020,-1.7562128839261928
Charlotte Hornets,2021,-0.8310536050701868
Charlotte Hornets,2022,0.2277058039863018
Charlotte Hornets,2023,-1.1674533140130416
Chicago Bulls,2015,0.2791732486135207
Chicago Bulls,2016,-0.854400532852794
Chicago Bulls,2017,-1.0760724127257082
Chicago Bulls,2018,-1.6952479208828735
Chicago Bulls,2019,-1.555852707097522
Chicago Bulls,2020,-0.8595193088782561
Chicago Bulls,2021,-0.6866563448782536
Chicago Bulls,2022,-0.35810620551080513
Chicago Bulls,2023,0.11609386828868877
Cleveland Cavaliers,2015,1.286488350885152
Cleveland Cavaliers,2016,1.5970184054313246
Cleveland Cavaliers,2017,0.9346826055955694
Cleveland Cavaliers,2018,1.4139150182270381
Cleveland Cavaliers,2019,-2.4717563804816973
Cleveland Cavaliers,2020,-1.7094007912171145
Cleveland Cavaliers,2021,-1.5875522706401282
Cleveland Cavaliers,2022,0.0675414958965248
Cleveland Cavaliers,2023,0.9143040862261725
Dallas Mavericks,2015,0.5224247678789521
Dallas Mavericks,2016,-0.09631167667465637
Dallas Mavericks,2017,-0.6103202271969288
Dallas Mavericks,2018,-0.9284704079213759
Dallas Mavericks,2019,-0.6076953992226591
Dallas Mavericks,2020,0.5497539243368935
Dallas Mavericks,2021,0.2772542875195776
Dallas Mavericks,2022,0.8196069876698335
Dallas Mavericks,2023,-0.30316427154893816
Denver Nuggets,2015,-0.491736311432299
Denver Nuggets,2016,-1.255836615093833
Denver Nuggets,2017,-0.5630509531822828
Denver Nuggets,2018,-0.5114332189934879
Denver Nuggets,2019,-0.032296935356248016
Denver Nuggets,2020,-0.31754651038220677
Denver Nuggets,2021,0.47036343362421895
Denver Nuggets,2022,-0.8001285001901756
Denver Nuggets,2023,-0.026643327920943753
Detroit Pistons,2015,-0.05458557523781607
Detroit Pistons,2016,0.40070763556959393
Detroit Pistons,2017,-0.011659072089797641
Detroit Pistons,2018,-0.44973559528348633
Detroit Pistons,2019,-0.12165438798446142
Detroit Pistons,2020,-1.1190477911545813
Detroit Pistons,2021,-1.441168883104125
Detroit Pistons,2022,-1.507965999642903
Detroit Pistons,2023,-2.333447553866913
Golden State Warriors,2015,1.9164110238215915
Golden State Warriors,2016,1.7978776026386336
Golden State Warriors,2017,2.0983763309444172
Golden State Warriors,2018,2.141337341838722
Golden State Warriors,2019,1.5198736346040562
Golden State Warriors,2020,-1.5088595408024446
Golden State Warriors,2021,0.3180711420392593
Golden State Warriors,2022,1.1783488870992844
Golden State Warriors,2023,0.6249141049056449
Houston Rockets,2015,0.6156647105454672
Houston Rockets,2016,0.6959837261299452
Houston Rockets,2017,1.2213269628949042
Houston Rockets,2018,1.5941284071357422
