team,year,RAPM,win_pct
Atlanta Hawks,2015,0.9463444108597697,0.7317073170731707
Golden State Warriors,2015,1.9164110238215915,0.8170731707317073
Cleveland Cavaliers,2015,1.286488350885152,0.6463414634146342
Houston Rockets,2015,0.6156647105454672,0.6829268292682927
Chicago Bulls,2015,0.2791732486135207,0.6097560975609756
Los Angeles Clippers,2015,1.549147127913494,0.6829268292682927
Portland Trail Blazers,2015,0.40840252448334896,0.6219512195121951
Toronto Raptors,2015,0.6864920742574746,0.5975609756097561
Memphis Grizzlies,2015,0.5664746651391136,0.6707317073170732
Washington Wizards,2015,0.3006344790365181,0.5609756097560976
Milwaukee Bucks,2015,-0.34863698795387177,0.5
San Antonio Spurs,2015,1.4390776326632881,0.6707317073170732
Boston Celtics,2015,0.23142726815538642,0.4878048780487805
Dallas Mavericks,2015,0.5224247678789521,0.6097560975609756
New Orleans Pelicans,2015,0.20241192809856678,0.5487804878048781
Brooklyn Nets,2015,-0.456036909715425,0.4634146341463415
Indiana Pacers,2015,-0.22828688291623023,0.4634146341463415
Oklahoma City Thunder,2015,0.3230597419462976,0.5487804878048781
Miami Heat,2015,-0.04425404331689707,0.4512195121951219
Phoenix Suns,2015,-0.008140004736104172,0.4756097560975609
Utah Jazz,2015,0.2679360753679428,0.4634146341463415
Charlotte Hornets,2015,-0.6974145673398885,0.4024390243902439
Denver Nuggets,2015,-0.491736311432299,0.3658536585365853
Detroit Pistons,2015,-0.05458557523781607,0.3902439024390244
Orlando Magic,2015,-1.026068117403952,0.3048780487804878
Sacramento Kings,2015,-0.7781759837754239,0.3536585365853658
Los Angeles Lakers,2015,-1.5815674040217893,0.2560975609756097
Philadelphia 76ers,2015,-1.9655461823047282,0.2195121951219512
Minnesota Timberwolves,2015,-2.260013950190703,0.1951219512195122
New York Knicks,2015,-2.3874743246286405,0.2073170731707317
Cleveland Cavaliers,2016,1.5970184054313246,0.6951219512195121
Golden State Warriors,2016,1.7978776026386336,0.8902439024390244
San Antonio Spurs,2016,1.7267186188675276,0.8170731707317073
Toronto Raptors,2016,0.6473926693888865,0.6829268292682927
Oklahoma City Thunder,2016,1.3419273045454372,0.6707317073170732
Miami Heat,2016,0.4666389997185485,0.5853658536585366
Los Angeles Clippers,2016,0.9030586700513321,0.6463414634146342
Atlanta Hawks,2016,0.5355805958612125,0.5853658536585366
Boston Celtics,2016,0.7284268404624025,0.5853658536585366
Portland Trail Blazers,2016,0.10710311254244402,0.5365853658536586
Dallas Mavericks,2016,-0.09631167667465637,0.5121951219512195
Charlotte Hornets,2016,0.5410881386598272,0.5853658536585366
Indiana Pacers,2016,0.631151984385721,0.5487804878048781
Memphis Grizzlies,2016,-0.677561684868445,0.5121951219512195
Houston Rockets,2016,0.6959837261299452,0.5
Detroit Pistons,2016,0.40070763556959393,0.5365853658536586
Chicago Bulls,2016,-0.854400532852794,0.5121951219512195
Utah Jazz,2016,0.4421047233051111,0.4878048780487805
Washington Wizards,2016,0.25916762419488387,0.5
Sacramento Kings,2016,-0.46539202221661197,0.4024390243902439
Denver Nuggets,2016,-1.255836615093833,0.4024390243902439
Orlando Magic,2016,-0.8019950297368719,0.4268292682926829
Milwaukee Bucks,2016,-0.579199096676461,0.4024390243902439
New Orleans Pelicans,2016,-0.5885896648815416,0.3658536585365853
Minnesota Timberwolves,2016,-0.6220432712355626,0.3536585365853658
New York Knicks,2016,-0.914508548208379,0.3902439024390244
Brooklyn Nets,2016,-1.792976097636812,0.2560975609756097
Phoenix Suns,2016,-1.4095601215798361,0.2804878048780488
Los Angeles Lakers,2016,-2.250777918567326,0.2073170731707317
Philadelphia 76ers,2016,-2.061863154312345,0.1219512195121951
Golden State Warriors,2017,2.0983763309444172,0.8170731707317073
Boston Celtics,2017,0.5658477938074749,0.6463414634146342
San Antonio Spurs,2017,1.3486445342085331,0.7439024390243902
Cleveland Cavaliers,2017,0.9346826055955694,0.6219512195121951
Toronto Raptors,2017,0.6891111129028111,0.6219512195121951
Houston Rockets,2017,1.2213269628949042,0.6707317073170732
Los Angeles Clippers,2017,0.6154336539272757,0.6219512195121951
Washington Wizards,2017,0.4705768637009394,0.5975609756097561
Atlanta Hawks,2017,-0.20758581134652593,0.524390243902439
Utah Jazz,2017,1.1489550565325304,0.6219512195121951
Oklahoma City Thunder,2017,0.0023707152252973665,0.573170731707317
Milwaukee Bucks,2017,-0.09209658284695617,0.5121951219512195
Indiana Pacers,2017,-0.08372931096962043,0.5121951219512195
Memphis Grizzlies,2017,0.0030673021382319147,0.524390243902439
Portland Trail Blazers,2017,0.05161348335611726,0.5
Chicago Bulls,2017,-1.0760724127257082,0.5
Denver Nuggets,2017,-0.5630509531822828,0.4878048780487805
Miami Heat,2017,0.2622534519730198,0.5
New Orleans Pelicans,2017,0.3471410929593349,0.4146341463414634
Detroit Pistons,2017,-0.011659072089797641,0.4512195121951219
Charlotte Hornets,2017,0.35237590124489576,0.4390243902439024
Dallas Mavericks,2017,-0.6103202271969288,0.4024390243902439
Sacramento Kings,2017,-1.1061976489844376,0.3902439024390244
New York Knicks,2017,-1.1864606936330089,0.3780487804878049
Orlando Magic,2017,-1.5272168727172286,0.3536585365853658
Minnesota Timberwolves,2017,-0.14596289001151974,0.3780487804878049
Philadelphia 76ers,2017,-1.3570137268492777,0.3414634146341463
Los Angeles Lakers,2017,-1.6927234897710328,0.3170731707317073
Phoenix Suns,2017,-1.2447924984267804,0.2926829268292683
Brooklyn Nets,2017,-1.417137084180272,0.2439024390243902
Houston Rockets,2018,1.5941284071357422,0.7926829268292683
