Team,Value(B$),Revenue(M$),Operating Income(M$),Player Expenses(M$),Win-to-Player Cost Ratio,year
DEN,1.7,185,15,109,130,2021
DEN,1.9,273,67,138,99,2022
DEN,3.4,348,71,171,171,2023
DEN,3.9,356,57,186,139,2024
DEN,4.6,364,67,181,130,2025
SAC,1.1,164,18.4,84,78,2016
SAC,1.4,240,50,109,71,2017
SAC,1.6,263,72,103,69,2018
SAC,1.8,286,81,107,103,2019
SAC,1.8,245,45,100,88,2020
SAC,2,192,25,79,101,2021
SAC,2,279,29,141,58,2022
SAC,3.3,289,36,145,128,2023
SAC,3.7,320,54,158,111,2024
SAC,4.5,354,75,171,86,2025
SAS,1.2,187,18.4,98,159,2016
SAS,1.6,259,59,123,153,2017
SAS,1.6,262,63,126,102,2018
SAS,1.8,285,66,142,108,2019
SAS,1.9,255,63,115,80,2020
SAS,2,205,39,81,104,2021
SAS,2,306,99,118,78,2022
SAS,3.3,319,113,110,68,2023
SAS,3.9,363,118,146,55,2024
SAS,4.4,401,151,155,81,2025
OKC,1,187,-8.4,122,125,2016
OKC,1.3,222,64,102,117,2017
OKC,1.5,241,10,146,94,2018
OKC,1.6,258,-23,162,89,2019
OKC,1.6,236,51,123,116,2020
OKC,1.6,183,48,91,62,2021
OKC,1.9,274,129,77,84,2022
OKC,3.1,267,49,154,94,2023
OKC,3.7,320,90,163,155,2024
OKC,4.4,357,114,163,226,2025
MIL,785,146,24,80,81,2016
MIL,1.1,179,20,109,102,2017
MIL,1.48,204,25,127,103,2018
MIL,1.6,283,69,126,180,2019
MIL,1.6,239,27,125,151,2020
MIL,1.9,212,11,121,165,2021
MIL,2.3,352,51,151,117,2022
MIL,3.2,329,-36,188,110,2023
MIL,4,333,-16,194,100,2024
MIL,4.3,355,26,188,98,2025
POR,1.1,178,41.2,72,148,2016
POR,1.3,223,25,128,78,2017
POR,1.6,246,40,136,95,2018
POR,1.9,287,51,143,136,2019
POR,1.9,240,27,133,79,2020
POR,2.1,201,19,110,108,2021
POR,2.1,291,81,134,55,2022
POR,3.1,300,65,156,73,2023
POR,3.5,335,81,172,45,2024
POR,4.3,361,111,165,80,2025
IND,0.9,157,23.9,83,121,2016
IND,1.2,205,29,106,96,2017
IND,1.4,222,50,104,137,2018
IND,1.5,243,55,119,114,2019
IND,1.6,217,39,106,121,2020
IND,1.7,179,4.1,113,77,2021
IND,1.8,264,65,127,54,2022
IND,2.9,263,68,127,95,2023
IND,3.6,320,94,149,155,2024
IND,4.2,342,89,169,174,2025
UTA,0.9,164,36,74,107,2016
UTA,1.2,221,61,95,152,2017
UTA,1.4,243,59,120,128,2018
UTA,1.6,258,63,129,132,2019
UTA,1.7,226,42,116,122,2020
UTA,1.8,262,96,91,180,2021
UTA,2,308,58,151,95,2022
UTA,3.1,274,46,154,83,2023
UTA,3.6,318,89,143,79,2024
UTA,4.1,340,103,148,42,2025
ORL,0.9,166,44.7,73,94,2016
ORL,1.2,211,39,119,59,2017
ORL,1.3,223,64,108,61,2018
ORL,1.4,244,70,120,104,2019
ORL,1.5,218,37,122,82,2020
ORL,1.6,188,29,110,49,2021
ORL,1.9,272,98,111,54,2022
ORL,3,261,66,132,89,2023
ORL,3.2,285,82,139,139,2024
ORL,3.9,318,94,152,109,2025
CHA,780,158,9.4,88,121,2016
CHA,1.1,202,21,115,76,2017
CHA,1.3,213,22,127,74,2018
CHA,1.5,240,39,127,87,2019
CHA,1.5,215,36,114,58,2020
CHA,1.6,183,34,93,91,2021
CHA,1.7,269,94,105,111,2022
CHA,3,269,35,165,56,2023
CHA,3.3,308,84,148,52,2024
CHA,3.8,328,81,165,42,2025
DET,900,172,21.8,81,107,2016
DET,1.1,221,22,123,73,2017
DET,1.3,235,52,127,81,2018
DET,1.5,255,52,138,84,2019
DET,1.5,227,45,123,46,2020
DET,1.6,192,43,100,51,2021
DET,1.9,278,92,127,49,2022
DET,3.1,274,83,132,44,2023
DET,3.4,305,88,146,35,2024
DET,3.7,321,106,134,132,2025
MIN,0.8,154,25.9,83,69,2016
MIN,1.1,204,53,96,78,2017
MIN,1.3,223,47,120,108,2018
MIN,1.4,234,46,132,77,2019
MIN,1.4,214,32,126,43,2020
MIN,1.6,199,29,107,55,2021
MIN,1.7,271,87,134,106,2022
MIN,22.5,259,47,155,102,2023
MIN,3.1,305,71,171,157,2024
MIN,3.6,320,-41,193,128,2025
NOP,0.8,156,16.7,93,64,2016
NOP,1,204,37,117,71,2017
NOP,1.2,214,29,133,115,2018
NOP,1.4,224,49,127,73,2019
NOP,1.4,209,44,111,77,2020
NOP,1.5,181,24,109,73,2021
NOP,1.6,268,94,121,99,2022
NOP,2.6,262,57,154,93,2023
NOP,3.1,272,41,176,106,2024
NOP,3.6,302,77,167,46,2025
MEM,0.8,156,16.7,93,64,2016
MEM,1,206,15,125,91,2017
MEM,1.2,213,27,121,48,2018
MEM,1.3,224,24,136,69,2019
MEM,1.3,210,22,118,82,2020
MEM,1.5,186,12,106,97,2021
MEM,1.7,272,107,93,199,2022
MEM,2.4,258,51,132,143,2023
MEM,3,291,44,169,58,2024
MEM,3.5,306,28,195,94,2025
