Player,Offense,Defense(*),Total
Nikola Joki?,6.1 (99),-2.5 (97),8.6 (99)
Joel Embiid,3.4 (97),-3.7 (99),7.1 (99)
Shai Gilgeous-Alexander,4.7 (99),-1.9 (94),6.6 (99)
Luka Don?i?,5.4 (99),-0.8 (82),6.2 (99)
Kyrie Irving,5.0 (99),-1.0 (85),6.0 (99)
Kawhi Leonard,2.9 (96),-2.8 (98),5.7 (98)
Paul George,3.3 (97),-2.2 (95),5.5 (98)
LeBron James,3.7 (98),-1.4 (90),5.1 (98)
Anthony Davis,1.3 (89),-3.8 (99),5.1 (98)
Donovan Mitchell,3.4 (97),-1.6 (93),5.0 (98)
Damian Lillard,4.4 (98),-0.5 (78),4.9 (98)
Giannis Antetokounmpo,3.2 (97),-1.7 (93),4.9 (97)
Stephen Curry,4.2 (98),-0.4 (76),4.6 (97)
Jayson Tatum,3.5 (98),-1.0 (84),4.5 (97)
Anthony Edwards,2.4 (95),-2.0 (94),4.4 (97)
Jimmy Butler,3.2 (97),-1.0 (86),4.2 (97)
Draymond Green,-0.5 (67),-4.7 (99),4.2 (97)
Kristaps Porzi??is,1.8 (94),-2.4 (96),4.2 (96)
Jalen Brunson,4.4 (98),0.3 (60),4.1 (96)
Devin Booker,4.4 (98),0.3 (58),4.1 (96)
Derrick White,1.4 (91),-2.7 (98),4.1 (96)
Chet Holmgren,1.6 (92),-2.4 (97),4.0 (96)
Jrue Holiday,2.2 (94),-1.8 (93),4.0 (95)
Fred VanVleet,1.8 (93),-2.0 (95),3.8 (95)
Franz Wagner,1.4 (90),-2.4 (96),3.8 (95)
Tyrese Haliburton,4.4 (99),0.7 (48),3.7 (95)
Kevin Durant,2.8 (96),-0.9 (83),3.7 (95)
Herbert Jones,0.9 (86),-2.6 (97),3.5 (95)
OG Anunoby,0.6 (83),-2.8 (98),3.4 (94)
Sam Hauser,1.2 (89),-2.1 (95),3.3 (94)
Dean Wade,-1.0 (58),-4.0 (99),3.0 (94)
Lauri Markkanen,2.9 (96),-0.1 (69),3.0 (94)
Desmond Bane,2.2 (94),-0.7 (80),2.9 (94)
Victor Wembanyama,-1.3 (50),-4.2 (99),2.9 (94)
Alex Caruso,-0.5 (67),-3.2 (98),2.7 (93)
Bogdan Bogdanovi?,2.4 (95),-0.3 (74),2.7 (93)
Jusuf Nurki?,-0.0 (77),-2.6 (97),2.6 (93)
Domantas Sabonis,1.8 (93),-0.8 (81),2.6 (93)
Brandin Podziemski,1.0 (87),-1.6 (92),2.6 (93)
Ja Morant,2.4 (95),-0.2 (71),2.6 (93)
Immanuel Quickley,0.3 (81),-2.2 (96),2.5 (92)
Mike Conley,1.7 (93),-0.8 (81),2.5 (92)
De'Aaron Fox,2.5 (95),-0.0 (65),2.5 (92)
Myles Turner,1.4 (91),-1.0 (86),2.4 (92)
Isaiah Hartenstein,1.4 (91),-1.0 (86),2.4 (92)
Aaron Gordon,0.9 (87),-1.5 (92),2.4 (91)
Tyrese Maxey,2.9 (97),0.5 (54),2.4 (91)
Tari Eason,0.2 (79),-2.1 (95),2.3 (91)
Rudy Gobert,-0.4 (69),-2.7 (97),2.3 (91)
Jonathan Isaac,-1.0 (57),-3.3 (98),2.3 (91)
Zion Williamson,1.4 (90),-0.8 (81),2.2 (91)
Al Horford,0.7 (84),-1.5 (91),2.2 (90)
Jose Alvarado,0.0 (76),-2.2 (95),2.2 (90)
Josh Hart,0.5 (83),-1.5 (92),2.0 (90)
Delon Wright,0.1 (78),-1.9 (94),2.0 (90)
Mikal Bridges,1.0 (88),-1.0 (85),2.0 (90)
DeMar DeRozan,1.8 (94),-0.2 (73),2.0 (90)
Jarrett Allen,0.8 (86),-1.1 (88),1.9 (89)
Tre Jones,1.5 (91),-0.4 (76),1.9 (89)
Jalen Williams,1.0 (88),-0.8 (82),1.8 (89)
Brook Lopez,-0.5 (67),-2.3 (96),1.8 (89)
Pascal Siakam,2.3 (94),0.5 (53),1.8 (89)
De'Anthony Melton,1.0 (88),-0.7 (80),1.7 (88)
Jordan McLaughlin,-0.3 (70),-2.0 (94),1.7 (88)
Dillon Brooks,-0.2 (73),-1.8 (93),1.6 (88)
Nickeil Alexander-Walker,0.4 (81),-1.2 (89),1.6 (88)
Kevin Love,0.9 (87),-0.7 (80),1.6 (88)
Chris Paul,0.2 (79),-1.4 (91),1.6 (88)
Jamal Murray,2.4 (95),0.8 (45),1.6 (87)
Jock Landale,0.2 (79),-1.4 (90),1.6 (87)
James Harden,2.8 (96),1.2 (29),1.6 (87)
T.J. McConnell,1.4 (90),-0.2 (72),1.6 (87)
Kris Dunn,1.4 (90),-0.2 (72),1.6 (87)
Dennis Smith Jr.,-1.2 (53),-2.7 (98),1.5 (87)
Bam Adebayo,-0.9 (59),-2.4 (97),1.5 (86)
Kevon Looney,0.4 (82),-1.1 (87),1.5 (86)
Julius Randle,1.6 (93),0.2 (63),1.4 (86)
Clint Capela,0.3 (80),-1.1 (86),1.4 (86)
Deni Avdija,0.5 (83),-0.8 (82),1.3 (86)
Dereck Lively II,0.9 (87),-0.4 (76),1.3 (86)
Alperen Sengun,1.3 (89),-0.0 (67),1.3 (85)
Dejounte Murray,1.6 (92),0.3 (59),1.3 (85)
Evan Mobley,-0.6 (65),-1.9 (94),1.3 (85)
Karl-Anthony Towns,1.4 (90),0.1 (63),1.3 (85)
Dant¨¦ Exum,0.1 (78),-1.0 (85),1.1 (85)
Brandon Ingram,0.6 (84),-0.5 (77),1.1 (84)
Jalen Suggs,-0.4 (69),-1.5 (91),1.1 (84)
Trae Young,2.5 (95),1.4 (21),1.1 (84)
Tyler Herro,1.4 (91),0.3 (60),1.1 (84)
LaMelo Ball,2.8 (96),1.7 (11),1.1 (84)
Kevin Huerter,1.4 (90),0.3 (59),1.1 (84)
Toumani Camara,-1.2 (52),-2.2 (96),1.0 (83)
Miles McBride,-0.1 (76),-1.1 (87),1.0 (83)
Michael Porter Jr.,1.7 (93),0.7 (47),1.0 (83)
D'Angelo Russell,1.6 (92),0.6 (51),1.0 (83)
Wendell Carter Jr.,-0.2 (72),-1.2 (88),1.0 (83)
Khris Middleton,1.1 (88),0.2 (63),0.9 (83)
Austin Reaves,1.1 (88),0.2 (61),0.9 (82)
Kentavious Caldwell-Pope,-0.1 (75),-1.0 (85),0.9 (82)
Darius Garland,1.2 (89),0.3 (60),0.9 (82)
Mitchell Robinson,0.6 (84),-0.3 (75),0.9 (82)
Cason Wallace,-0.5 (67),-1.4 (91),0.9 (82)
Derrick Jones Jr.,-1.0 (57),-1.8 (94),0.8 (81)
Trey Murphy III,0.8 (85),-0.0 (65),0.8 (81)
Max Strus,0.7 (85),-0.1 (70),0.8 (81)
Vince Williams Jr.,-0.6 (65),-1.4 (90),0.8 (81)
Jakob Poeltl,0.1 (77),-0.7 (79),0.8 (81)
Spencer Dinwiddie,0.8 (86),0.1 (64),0.7 (81)
Amen Thompson,-0.4 (68),-1.1 (86),0.7 (80)
Malcolm Brogdon,0.5 (83),-0.2 (73),0.7 (80)
Jaylen Brown,0.7 (85),0.0 (67),0.7 (80)
Dyson Daniels,-0.5 (66),-1.2 (89),0.7 (80)
Naji Marshall,-0.5 (66),-1.2 (88),0.7 (80)
Marcus Smart,-0.7 (62),-1.3 (90),0.6 (80)
Cameron Johnson,0.4 (81),-0.2 (72),0.6 (79)
Luguentz Dort,0.1 (78),-0.5 (77),0.6 (79)
Isaiah Joe,0.7 (85),0.1 (64),0.6 (79)
Grayson Allen,0.6 (84),0.0 (67),0.6 (79)
Joe Ingles,0.3 (80),-0.3 (74),0.6 (79)
Kenrich Williams,-0.8 (60),-1.4 (90),0.6 (79)
Ivica Zubac,-0.6 (64),-1.1 (86),0.5 (78)
Kyle Lowry,-0.3 (71),-0.8 (82),0.5 (78)
Gary Payton II,-0.1 (76),-0.6 (79),0.5 (78)
Luke Kennard,0.8 (86),0.3 (59),0.5 (78)
Nicolas Batum,-0.1 (75),-0.6 (78),0.5 (78)
Payton Pritchard,1.7 (93),1.2 (30),0.5 (77)
Keegan Murray,0.5 (82),0.0 (66),0.5 (77)
Keon Ellis,-1.0 (57),-1.5 (91),0.5 (77)
Scottie Barnes,0.5 (82),-0.0 (65),0.5 (77)
Chris Boucher,-0.0 (76),-0.5 (77),0.5 (77)
Obi Toppin,1.4 (91),0.9 (41),0.5 (77)
Isaiah Stewart,-0.9 (59),-1.4 (90),0.5 (76)
Aaron Wiggins,0.3 (81),-0.1 (70),0.4 (76)
Robert Covington,-1.3 (51),-1.7 (93),0.4 (76)
Nikola Jovi?,-0.8 (60),-1.2 (88),0.4 (76)
Jae'Sean Tate,-1.9 (38),-2.2 (95),0.3 (76)
Zach LaVine,0.2 (80),-0.1 (70),0.3 (76)
Paul Reed,0.2 (79),-0.1 (69),0.3 (75)
Jaime Jaquez Jr.,-0.3 (71),-0.6 (79),0.3 (75)
