Player,Offense,Defense(*),Total
Andre Drummond,-0.2 (73),-0.5 (77),0.3 (75)
Paolo Banchero,0.3 (80),-0.0 (66),0.3 (75)
Trey Lyles,0.6 (83),0.3 (58),0.3 (75)
Moritz Wagner,0.7 (84),0.4 (55),0.3 (75)
Royce O'Neale,-0.9 (59),-1.1 (87),0.2 (74)
Jaden McDaniels,-0.1 (75),-0.3 (74),0.2 (74)
Jaren Jackson Jr.,-0.8 (61),-1.0 (85),0.2 (74)
Hamidou Diallo,-1.1 (54),-1.3 (89),0.2 (74)
Goga Bitadze,-0.1 (74),-0.2 (72),0.1 (74)
Mont¨¦ Morris,0.1 (77),-0.0 (65),0.1 (73)
Jalen Smith,0.9 (87),0.8 (46),0.1 (73)
Tobias Harris,-0.2 (73),-0.3 (74),0.1 (73)
Aaron Holiday,-0.9 (58),-1.0 (84),0.1 (73)
Isaac Okoro,-0.3 (71),-0.3 (75),0.0 (73)
Aaron Nesmith,0.6 (84),0.6 (52),0.0 (73)
Moses Moody,-0.1 (76),-0.1 (70),0.0 (72)
Mark Williams,-0.2 (73),-0.2 (73),0.0 (72)
Luke Kornet,0.3 (80),0.3 (59),0.0 (72)
Larry Nance Jr.,-1.1 (56),-1.1 (87),0.0 (72)
Josh Okogie,-1.3 (50),-1.3 (89),0.0 (72)
Ish Wainright,-1.5 (47),-1.5 (91),0.0 (72)
Sam Merrill,-0.3 (70),-0.3 (74),0.0 (71)
CJ McCollum,1.2 (89),1.2 (28),0.0 (71)
Robert Williams III,-1.2 (53),-1.1 (87),-0.1 (71)
Walker Kessler,-0.7 (62),-0.6 (78),-0.1 (71)
Svi Mykhailiuk,-0.6 (64),-0.4 (76),-0.2 (71)
Caleb Martin,-0.6 (63),-0.4 (75),-0.2 (70)
Caris LeVert,-0.5 (68),-0.3 (75),-0.2 (70)
Rui Hachimura,-0.2 (72),-0.0 (66),-0.2 (70)
Mason Plumlee,-0.5 (66),-0.3 (73),-0.2 (70)
Bradley Beal,0.7 (85),0.9 (40),-0.2 (70)
Brandon Clarke,-1.1 (54),-0.9 (83),-0.2 (70)
Jevon Carter,-1.9 (39),-1.6 (93),-0.3 (69)
Dorian Finney-Smith,-1.2 (54),-0.9 (84),-0.3 (69)
John Konchar,-1.2 (53),-0.9 (83),-0.3 (69)
P.J. Washington,-0.7 (62),-0.4 (76),-0.3 (69)
Andrew Nembhard,-0.3 (72),-0.0 (68),-0.3 (69)
Cade Cunningham,0.1 (78),0.4 (56),-0.3 (69)
Marvin Bagley III,-0.1 (75),0.2 (62),-0.3 (68)
Russell Westbrook,-0.2 (73),0.1 (63),-0.3 (68)
Coby White,1.5 (92),1.9 (7),-0.4 (68)
Gabe Vincent,-1.2 (51),-0.8 (81),-0.4 (68)
Dwight Powell,-0.7 (63),-0.3 (75),-0.4 (68)
Kelly Oubre Jr.,0.2 (79),0.6 (52),-0.4 (68)
Javonte Green,-0.7 (62),-0.3 (73),-0.4 (67)
Cameron Payne,-0.5 (67),-0.1 (70),-0.4 (67)
Daniel Gafford,-0.2 (74),0.2 (63),-0.4 (67)
Dennis Schr?der,-0.4 (68),-0.0 (66),-0.4 (67)
Jordan Goodwin,-1.6 (44),-1.2 (89),-0.4 (67)
Nic Claxton,-1.1 (55),-0.7 (79),-0.4 (66)
Donte DiVincenzo,0.8 (86),1.3 (27),-0.5 (66)
Jalen Duren,-0.4 (69),0.1 (64),-0.5 (66)
Malik Monk,0.5 (82),1.0 (37),-0.5 (66)
Isaiah Jackson,-0.6 (63),-0.1 (69),-0.5 (66)
T.J. Warren,-1.5 (45),-1.0 (84),-0.5 (66)
Dario ?ari?,0.8 (86),1.4 (22),-0.6 (65)
Cole Anthony,-0.3 (71),0.3 (58),-0.6 (65)
Day'Ron Sharpe,-0.2 (73),0.4 (56),-0.6 (65)
Matisse Thybulle,-2.1 (33),-1.5 (92),-0.6 (65)
Xavier Tillman,-2.1 (33),-1.5 (92),-0.6 (65)
De'Andre Hunter,-0.2 (72),0.5 (53),-0.7 (65)
Miles Bridges,-0.1 (74),0.6 (51),-0.7 (64)
Deandre Ayton,-1.3 (51),-0.6 (78),-0.7 (64)
Jalen Johnson,-1.6 (44),-0.9 (83),-0.7 (64)
Onyeka Okongwu,0.4 (81),1.1 (33),-0.7 (64)
Tyus Jones,0.9 (87),1.7 (12),-0.8 (64)
Ben Simmons,-1.4 (49),-0.6 (79),-0.8 (63)
Gordon Hayward,-1.7 (42),-0.9 (83),-0.8 (63)
Terance Mann,-0.1 (74),0.7 (47),-0.8 (63)
Buddy Hield,0.0 (77),0.8 (46),-0.8 (63)
Quentin Grimes,-1.5 (47),-0.7 (80),-0.8 (63)
Kelly Olynyk,0.5 (82),1.3 (26),-0.8 (63)
Kyle Anderson,-1.6 (44),-0.8 (81),-0.8 (62)
Terry Rozier,0.2 (79),1.0 (36),-0.8 (62)
Bol Bol,-1.6 (43),-0.8 (81),-0.8 (62)
Malik Beasley,-0.6 (65),0.3 (60),-0.9 (62)
Haywood Highsmith,-1.7 (43),-0.8 (82),-0.9 (62)
Christian Braun,-2.0 (35),-1.1 (87),-0.9 (62)
Ausar Thompson,-1.9 (38),-1.0 (84),-0.9 (61)
Naz Reid,-1.4 (49),-0.5 (77),-0.9 (61)
Simone Fontecchio,-0.8 (61),0.1 (64),-0.9 (61)
Sandro Mamukelashvili,-1.1 (55),-0.2 (71),-0.9 (61)
Wenyen Gabriel,-1.1 (54),-0.2 (71),-0.9 (61)
Andrew Wiggins,-0.8 (61),0.2 (62),-1.0 (61)
Collin Sexton,2.0 (94),3.0 (0),-1.0 (60)
Frank Ntilikina,-1.5 (45),-0.5 (77),-1.0 (60)
Alex Len,-2.2 (31),-1.2 (88),-1.0 (60)
Bobby Portis,0.3 (81),1.4 (23),-1.1 (60)
Dalen Terry,-1.2 (52),-0.1 (68),-1.1 (60)
Klay Thompson,0.5 (83),1.6 (15),-1.1 (59)
Jonathan Kuminga,-0.3 (71),0.8 (46),-1.1 (59)
Patrick Beverley,-1.8 (40),-0.7 (80),-1.1 (59)
Talen Horton-Tucker,-0.6 (64),0.5 (54),-1.1 (59)
Tre Mann,-0.9 (58),0.2 (61),-1.1 (59)
Gary Harris,-0.3 (70),0.8 (42),-1.1 (59)
Ben Sheppard,-0.4 (68),0.7 (47),-1.1 (58)
Anfernee Simons,1.6 (92),2.7 (1),-1.1 (58)
Landry Shamet,-1.0 (58),0.2 (62),-1.2 (58)
Devin Vassell,-0.6 (64),0.6 (52),-1.2 (58)
Keldon Johnson,0.1 (78),1.3 (26),-1.2 (58)
Nikola Vu?evi?,-0.8 (61),0.4 (56),-1.2 (58)
Eric Gordon,-0.4 (69),0.8 (44),-1.2 (57)
Alec Burks,-0.4 (69),0.8 (43),-1.2 (57)
Duop Reath,-0.4 (68),0.8 (42),-1.2 (57)
Saddiq Bey,1.0 (88),2.3 (3),-1.3 (57)
Kris Murray,-1.9 (37),-0.6 (78),-1.3 (57)
Chimezie Metu,-1.7 (41),-0.4 (75),-1.3 (56)
Duncan Robinson,-0.1 (76),1.2 (31),-1.3 (56)
Jaylin Williams,-1.5 (47),-0.2 (73),-1.3 (56)
Jerami Grant,-0.9 (59),0.4 (56),-1.3 (56)
Jabari Smith Jr.,-0.5 (66),0.8 (45),-1.3 (56)
Julian Champagnie,-0.2 (72),1.1 (32),-1.3 (56)
Ayo Dosunmu,-1.1 (55),0.2 (61),-1.3 (55)
Daniel Theis,-1.5 (46),-0.2 (71),-1.3 (55)
Maxi Kleber,-2.5 (27),-1.2 (88),-1.3 (55)
Oshae Brissett,-0.6 (65),0.8 (45),-1.4 (55)
Jae Crowder,-1.3 (51),0.1 (65),-1.4 (55)
Lamar Stevens,-1.6 (43),-0.2 (71),-1.4 (55)
Jordan Poole,-0.8 (61),0.7 (48),-1.5 (54)
Anthony Gill,-0.9 (59),0.6 (52),-1.5 (54)
Josh Green,-0.4 (69),1.1 (33),-1.5 (54)
Ochai Agbaji,-1.4 (49),0.1 (64),-1.5 (54)
Jordan Clarkson,-0.1 (75),1.4 (22),-1.5 (54)
Jeremy Sochan,-1.2 (52),0.3 (59),-1.5 (54)
Caleb Houstan,-0.7 (62),0.8 (43),-1.5 (53)
Cory Joseph,-1.2 (52),0.3 (58),-1.5 (53)
Max Christie,-2.4 (29),-0.9 (83),-1.5 (53)
Cody Martin,-1.4 (48),0.1 (63),-1.5 (53)
Bones Hyland,-0.2 (72),1.4 (22),-1.6 (53)
Danuel House Jr.,-1.7 (41),-0.1 (69),-1.6 (52)
Josh Giddey,-0.4 (70),1.2 (30),-1.6 (52)
Vasilije Mici?,-0.7 (63),0.9 (41),-1.6 (52)
Jonas Valan?i¨±nas,0.0 (77),1.6 (15),-1.6 (52)
AJ Green,-1.0 (56),0.6 (51),-1.6 (52)
Wesley Matthews,-2.0 (34),-0.4 (76),-1.6 (52)
Tim Hardaway Jr.,-0.5 (66),1.2 (30),-1.7 (51)
Matt Ryan,-1.9 (38),-0.2 (72),-1.7 (51)
P.J. Tucker,-1.7 (42),-0.0 (67),-1.7 (51)
Keita Bates-Diop,-1.7 (42),0.0 (67),-1.7 (51)
Anthony Black,-2.4 (29),-0.7 (80),-1.7 (51)
GG Jackson,-1.7 (41),0.0 (65),-1.7 (51)
Markelle Fultz,-1.5 (46),0.2 (61),-1.7 (50)
Patrick Williams,-1.1 (56),0.6 (52),-1.7 (50)
Santi Aldama,-0.9 (58),0.8 (44),-1.7 (50)
Devonte' Graham,-0.9 (58),0.8 (43),-1.7 (50)
Zeke Nnaji,-1.9 (38),-0.1 (69),-1.8 (50)
Harrison Barnes,-0.6 (63),1.2 (29),-1.8 (50)
AJ Griffin,-1.2 (52),0.6 (51),-1.8 (49)
Jarred Vanderbilt,-1.2 (51),0.6 (49),-1.8 (49)
Josh Richardson,-1.1 (56),0.7 (47),-1.8 (49)
Ousmane Dieng,-1.6 (44),0.2 (62),-1.8 (49)
Christian Wood,-1.3 (50),0.5 (54),-1.8 (49)
RJ Barrett,-0.1 (74),1.7 (10),-1.8 (48)
Bruce Brown,-0.4 (70),1.5 (19),-1.9 (48)
Thomas Bryant,-0.9 (59),1.0 (38),-1.9 (48)
Reggie Jackson,-2.0 (35),-0.1 (70),-1.9 (48)
Justin Holiday,-1.9 (37),0.0 (66),-1.9 (48)
Jaylen Nowell,-0.6 (63),1.3 (25),-1.9 (48)
Cam Whitmore,-1.3 (50),0.6 (50),-1.9 (47)
Zach Collins,-1.6 (44),0.3 (59),-1.9 (47)
Davion Mitchell,-2.1 (33),-0.1 (69),-2.0 (47)
Lindy Waters III,-1.4 (48),0.6 (51),-2.0 (47)
Trayce Jackson-Davis,-1.0 (57),1.0 (37),-2.0 (47)
Evan Fournier,-2.7 (24),-0.7 (79),-2.0 (47)
Ty Jerome,-1.4 (48),0.6 (50),-2.0 (46)
Jake LaRavia,-1.1 (55),0.9 (39),-2.0 (46)
Daishen Nix,-1.4 (48),0.6 (49),-2.0 (46)
Patty Mills,-1.3 (50),0.7 (46),-2.0 (46)
Jalen Green,-0.1 (75),2.0 (6),-2.1 (46)
John Collins,-1.1 (55),1.0 (37),-2.1 (45)
Garrison Mathews,-0.5 (66),1.6 (14),-2.1 (45)
Gary Trent Jr.,-0.4 (68),1.7 (11),-2.1 (45)
Precious Achiuwa,-1.5 (46),0.6 (50),-2.1 (45)
Orlando Robinson,-1.7 (40),0.4 (55),-2.1 (45)
Luka Samanic,-2.4 (29),-0.2 (72),-2.2 (45)
Kyle Kuzma,-1.2 (54),1.0 (38),-2.2 (44)
Mike Muscala,-2.0 (36),0.2 (62),-2.2 (44)
Peyton Watson,-3.1 (18),-0.9 (84),-2.2 (44)
Seth Curry,-1.7 (43),0.5 (54),-2.2 (44)
Charles Bassey,-1.8 (40),0.4 (55),-2.2 (44)
Jaxson Hayes,-1.4 (49),0.8 (44),-2.2 (44)
Davis Bertans,-1.2 (51),1.0 (35),-2.2 (43)
Jared Butler,-1.6 (43),0.7 (47),-2.3 (43)
Jalen McDaniels,-1.9 (37),0.4 (55),-2.3 (43)
Otto Porter Jr.,-2.4 (29),-0.1 (68),-2.3 (43)
Neemias Queta,-1.6 (43),0.7 (46),-2.3 (43)
Furkan Korkmaz,-1.8 (40),0.6 (52),-2.4 (43)
Jordan Hawkins,-0.6 (64),1.8 (9),-2.4 (42)
Shake Milton,-1.9 (37),0.5 (54),-2.4 (42)
Lonnie Walker IV,-1.1 (56),1.3 (27),-2.4 (42)
Norman Powell,-0.8 (61),1.6 (14),-2.4 (42)
Grant Williams,-1.2 (53),1.3 (27),-2.5 (42)
Brandon Miller,-0.6 (65),1.9 (7),-2.5 (41)
Theo Maledon,-1.2 (52),1.3 (26),-2.5 (41)
Kessler Edwards,-1.7 (41),0.8 (44),-2.5 (41)
Joe Harris,-1.5 (45),1.0 (36),-2.5 (41)
Luka Garza,-1.5 (45),1.0 (36),-2.5 (41)
Jericho Sims,-2.3 (30),0.3 (58),-2.6 (41)
Georges Niang,-1.1 (56),1.5 (19),-2.6 (40)
MarJon Beauchamp,-1.6 (45),1.0 (38),-2.6 (40)
Bismack Biyombo,-2.4 (30),0.2 (61),-2.6 (40)
Jaden Ivey,-0.8 (60),1.8 (9),-2.6 (40)
Nassir Little,-1.5 (46),1.1 (32),-2.6 (40)
Saben Lee,-2.4 (29),0.2 (61),-2.6 (40)
Mo Bamba,-2.0 (34),0.6 (49),-2.6 (39)
Derrick Rose,-2.8 (22),-0.1 (68),-2.7 (39)
Taj Gibson,-2.8 (21),-0.1 (68),-2.7 (39)
Cam Thomas,0.0 (77),2.7 (1),-2.7 (39)
JT Thor,-2.5 (28),0.2 (62),-2.7 (39)
Corey Kispert,0.3 (80),3.0 (1),-2.7 (38)
Drew Eubanks,-2.1 (33),0.6 (51),-2.7 (38)
Chris Duarte,-2.2 (31),0.5 (53),-2.7 (38)
Dominick Barlow,-1.0 (57),1.7 (11),-2.7 (38)
Terry Taylor,-1.8 (39),0.9 (40),-2.7 (38)
James Bouknight,-1.8 (39),0.9 (40),-2.7 (38)
Taylor Hendricks,-1.9 (36),0.8 (42),-2.7 (37)
Jalen Wilson,-1.7 (40),1.0 (35),-2.7 (37)
Thaddeus Young,-1.8 (39),0.9 (39),-2.7 (37)
Usman Garuba,-1.3 (50),1.4 (20),-2.7 (37)
Kevon Harris,-2.1 (32),0.6 (48),-2.7 (37)
Pat Connaughton,-1.5 (47),1.3 (27),-2.8 (37)
Killian Hayes,-2.0 (35),0.8 (45),-2.8 (36)
Cody Zeller,-2.0 (34),0.8 (45),-2.8 (36)
Amir Coffey,-0.8 (60),2.0 (6),-2.8 (36)
Yuta Watanabe,-1.7 (42),1.1 (33),-2.8 (36)
Trent Forrest,-2.0 (34),0.8 (43),-2.8 (36)
KJ Martin,-1.1 (55),1.7 (11),-2.8 (36)
Aleksej Pokusevski,-1.8 (40),1.0 (37),-2.8 (35)
A.J. Lawson,-2.5 (26),0.3 (57),-2.8 (35)
Scotty Pippen Jr.,-2.4 (28),0.4 (54),-2.8 (35)
Trendon Watford,-0.6 (65),2.2 (4),-2.8 (35)
Patrick Baldwin Jr.,-2.2 (31),0.6 (50),-2.8 (35)
Jabari Walker,-1.5 (47),1.4 (22),-2.9 (34)
Jamal Cain,-2.6 (25),0.3 (57),-2.9 (34)
R.J. Hampton,-1.5 (45),1.4 (21),-2.9 (34)
Lester Quinones,-2.6 (25),0.3 (57),-2.9 (34)
Juan Toscano-Anderson,-2.6 (24),0.3 (56),-2.9 (34)
Sasha Vezenkov,-2.1 (33),0.8 (44),-2.9 (34)
Dalano Banton,-2.1 (33),0.9 (40),-3.0 (33)
Craig Porter Jr.,-1.7 (41),1.3 (25),-3.0 (33)
Tristan Vukcevic,-3.1 (17),-0.1 (68),-3.0 (33)
Ryan Rollins,-2.8 (23),0.3 (60),-3.1 (33)
Troy Brown Jr.,-1.4 (48),1.7 (11),-3.1 (33)
Moses Brown,-1.9 (36),1.2 (29),-3.1 (33)
Johnny Juzang,-1.9 (36),1.2 (28),-3.1 (32)
Eugene Omoruyi,-2.0 (35),1.1 (33),-3.1 (32)
TyTy Washington Jr.,-2.6 (25),0.5 (53),-3.1 (32)
JaVale McGee,-2.9 (21),0.3 (58),-3.2 (32)
Jaden Springer,-2.2 (32),1.0 (37),-3.2 (32)
Kevin Knox II,-1.7 (41),1.5 (18),-3.2 (31)
V¨ªt Krej?¨ª,-0.8 (60),2.4 (2),-3.2 (31)
Tristan Thompson,-2.3 (30),1.0 (38),-3.3 (31)
Shaedon Sharpe,-1.2 (53),2.1 (4),-3.3 (31)
Marcus Sasser,-1.9 (38),1.4 (22),-3.3 (31)
Jeremiah Robinson-Earl,-2.0 (34),1.3 (26),-3.3 (31)
Blake Wesley,-2.6 (25),0.7 (47),-3.3 (30)
Isaiah Livers,-1.5 (46),1.8 (9),-3.3 (30)
Joshua Primo,-1.8 (39),1.5 (17),-3.3 (30)
Josh Minott,-2.7 (24),0.6 (49),-3.3 (30)
Justin Minaya,-3.0 (19),0.4 (55),-3.4 (30)
Reggie Bullock Jr.,-2.5 (27),0.9 (39),-3.4 (30)
Olivier Sarr,-2.8 (22),0.6 (50),-3.4 (29)
Boban Marjanovi?,-2.9 (20),0.5 (53),-3.4 (29)
Ashton Hagans,-2.8 (21),0.6 (48),-3.4 (29)
Darius Bazley,-2.3 (30),1.1 (31),-3.4 (29)
Ziaire Williams,-2.2 (32),1.2 (30),-3.4 (29)
Jeff Green,-2.2 (31),1.2 (30),-3.4 (29)
Richaun Holmes,-2.6 (26),0.8 (43),-3.4 (28)
Bennedict Mathurin,-1.4 (49),2.1 (4),-3.5 (28)
Danilo Gallinari,-2.0 (36),1.5 (19),-3.5 (28)
Bojan Bogdanovi?,-0.3 (70),3.2 (0),-3.5 (28)
Trevelin Queen,-2.9 (20),0.6 (48),-3.5 (28)
Jeff Dowtin Jr.,-2.5 (26),1.0 (34),-3.5 (27)
David Roddy,-2.7 (24),0.9 (41),-3.6 (27)
Nate Williams,-2.5 (27),1.1 (32),-3.6 (27)
Markieff Morris,-2.7 (23),0.9 (38),-3.6 (27)
Sidy Cissoko,-3.4 (12),0.3 (57),-3.7 (27)
Mamadi Diakite,-3.4 (12),0.3 (56),-3.7 (27)
Jordan Walsh,-3.3 (14),0.4 (55),-3.7 (26)
Jared Rhoden,-2.5 (28),1.2 (30),-3.7 (26)
Armoni Brooks,-2.2 (32),1.5 (19),-3.7 (26)
Brandon Boston Jr.,-2.4 (28),1.3 (24),-3.7 (26)
Buddy Boeheim,-2.9 (20),0.8 (41),-3.7 (26)
Marcus Morris Sr.,-1.9 (38),1.9 (7),-3.8 (26)
Cedi Osman,-1.5 (47),2.3 (3),-3.8 (25)
Moussa Diabate,-2.4 (29),1.4 (22),-3.8 (25)
Kira Lewis Jr.,-3.0 (19),0.8 (43),-3.8 (25)
