Player,Offense,Defense(*),Total
Giannis Antetokounmpo,2.9 (96),-4.1 (99),7.0 (99)
James Harden,5.9 (99),-1.0 (83),6.9 (99)
LeBron James,4.3 (98),-2.5 (97),6.8 (99)
Anthony Davis,2.5 (96),-3.8 (99),6.3 (99)
Paul George,3.1 (97),-2.8 (98),5.9 (99)
Jimmy Butler,3.2 (97),-2.6 (97),5.8 (98)
Kawhi Leonard,4.1 (98),-1.5 (90),5.6 (98)
Joel Embiid,1.7 (93),-3.7 (99),5.4 (98)
Damian Lillard,5.2 (99),-0.1 (66),5.3 (98)
Nikola Joki?,4.2 (98),-0.9 (82),5.1 (98)
Stephen Curry,4.6 (99),-0.4 (73),5.0 (97)
Karl-Anthony Towns,4.7 (99),0.0 (64),4.7 (97)
Kemba Walker,4.5 (99),-0.0 (64),4.5 (97)
Chris Paul,2.6 (96),-1.9 (93),4.5 (97)
Rudy Gobert,0.9 (85),-3.6 (99),4.5 (97)
Jayson Tatum,1.8 (93),-2.6 (97),4.4 (96)
Kristaps Porzi??is,2.1 (94),-2.2 (96),4.3 (96)
Jrue Holiday,2.3 (95),-2.0 (94),4.3 (96)
Kyle Lowry,2.4 (95),-1.7 (92),4.1 (96)
Ivica Zubac,0.4 (80),-3.4 (98),3.8 (96)
Duncan Robinson,3.4 (97),-0.4 (73),3.8 (96)
Alex Caruso,-0.1 (71),-3.6 (99),3.5 (95)
Khris Middleton,2.8 (96),-0.4 (73),3.2 (95)
Donte DiVincenzo,0.3 (77),-2.9 (98),3.2 (95)
Steven Adams,1.1 (87),-2.0 (94),3.1 (95)
Paul Millsap,1.1 (86),-1.8 (92),2.9 (95)
Otto Porter Jr.,1.5 (92),-1.4 (89),2.9 (94)
Nikola Vu?evi?,1.5 (92),-1.4 (89),2.9 (94)
George Hill,1.7 (93),-1.2 (86),2.9 (94)
Pascal Siakam,1.0 (86),-1.8 (92),2.8 (94)
Marc Gasol,-0.1 (72),-2.9 (98),2.8 (94)
Fred VanVleet,1.3 (90),-1.4 (89),2.7 (93)
Bam Adebayo,0.8 (84),-1.9 (93),2.7 (93)
Patrick Beverley,0.2 (76),-2.3 (96),2.5 (93)
Ben Simmons,1.1 (87),-1.4 (88),2.5 (93)
Marcus Smart,0.5 (82),-2.0 (94),2.5 (93)
Mitchell Robinson,1.3 (89),-1.2 (86),2.5 (93)
Montrezl Harrell,1.1 (88),-1.3 (88),2.4 (92)
Derrick White,0.7 (83),-1.7 (91),2.4 (92)
Davis Bertans,2.5 (96),0.2 (60),2.3 (92)
Brook Lopez,-0.0 (72),-2.3 (96),2.3 (92)
Draymond Green,-0.9 (56),-3.1 (98),2.2 (92)
Joe Ingles,0.5 (81),-1.6 (91),2.1 (91)
Nemanja Bjelica,1.5 (91),-0.6 (76),2.1 (91)
Luka Don?i?,3.5 (98),1.5 (22),2.0 (91)
Hassan Whiteside,0.5 (81),-1.5 (90),2.0 (91)
Jonas Valan?i¨±nas,0.8 (84),-1.1 (86),1.9 (91)
Seth Curry,2.2 (95),0.3 (57),1.9 (90)
Jamal Murray,2.2 (94),0.3 (57),1.9 (90)
Christian Wood,1.3 (90),-0.6 (77),1.9 (90)
Bradley Beal,3.4 (97),1.5 (22),1.9 (90)
John Collins,1.7 (93),-0.2 (67),1.9 (90)
Dorian Finney-Smith,0.5 (82),-1.3 (88),1.8 (89)
LaMarcus Aldridge,0.2 (75),-1.6 (91),1.8 (89)
Patty Mills,2.0 (94),0.2 (60),1.8 (89)
Derrick Favors,0.4 (80),-1.4 (89),1.8 (89)
Terence Davis,0.8 (84),-0.9 (83),1.7 (89)
Ricky Rubio,0.6 (82),-1.1 (85),1.7 (89)
Al Horford,0.3 (77),-1.4 (88),1.7 (88)
Wesley Matthews,-0.2 (69),-1.9 (93),1.7 (88)
Blake Griffin,1.0 (86),-0.7 (78),1.7 (88)
Andre Iguodala,-0.8 (58),-2.5 (97),1.7 (88)
Danny Green,1.2 (89),-0.4 (74),1.6 (88)
Spencer Dinwiddie,2.1 (94),0.5 (51),1.6 (87)
Gordon Hayward,1.5 (92),-0.1 (66),1.6 (87)
Dwight Powell,1.2 (88),-0.4 (72),1.6 (87)
Goran Dragic,1.4 (91),-0.2 (68),1.6 (87)
Victor Oladipo,-0.3 (67),-1.9 (93),1.6 (87)
Jusuf Nurki?,-0.1 (70),-1.7 (91),1.6 (86)
Daniel Theis,-0.4 (66),-1.9 (93),1.5 (86)
Dennis Schr?der,0.7 (83),-0.8 (80),1.5 (86)
Ersan Ilyasova,0.5 (81),-1.0 (83),1.5 (86)
Kevon Looney,0.4 (79),-1.1 (85),1.5 (86)
Robert Covington,-0.7 (62),-2.1 (95),1.4 (86)
Isaac Bonga,-1.3 (45),-2.7 (97),1.4 (85)
Danilo Gallinari,2.5 (96),1.1 (35),1.4 (85)
Malcolm Brogdon,1.0 (86),-0.3 (71),1.3 (85)
Jarrett Allen,0.2 (76),-1.1 (86),1.3 (85)
DeAndre Jordan,-0.7 (62),-2.0 (94),1.3 (85)
Devin Booker,3.1 (97),1.8 (11),1.3 (84)
Eric Bledsoe,0.9 (85),-0.4 (73),1.3 (84)
Domantas Sabonis,0.7 (84),-0.6 (77),1.3 (84)
Justise Winslow,-1.0 (55),-2.3 (96),1.3 (84)
Tomas Satoransky,0.1 (74),-1.1 (86),1.2 (84)
T.J. Warren,1.1 (88),-0.1 (66),1.2 (83)
Kyrie Irving,2.2 (95),1.0 (37),1.2 (83)
Reggie Jackson,1.3 (90),0.1 (62),1.2 (83)
