player,team,year,attendance_rate
Kevin Seraphin,Washington Wizards,2015,0.9634146341463414
Khris Middleton,Milwaukee Bucks,2015,0.9634146341463414
Kirk Hinrich,Chicago Bulls,2015,0.8048780487804879
Klay Thompson,Golden State Warriors,2015,0.9390243902439024
Kobe Bryant,Los Angeles Lakers,2015,0.4268292682926829
Kosta Koufos,Memphis Grizzlies,2015,0.9878048780487805
Kostas Papanikolaou,Houston Rockets,2015,0.524390243902439
Kris Humphries,Washington Wizards,2015,0.7804878048780488
Kyle Anderson,San Antonio Spurs,2015,0.4024390243902439
Kyle Korver,Atlanta Hawks,2015,0.9146341463414634
Kyle Lowry,Toronto Raptors,2015,0.8536585365853658
Kyle O'Quinn,Orlando Magic,2015,0.6219512195121951
Kyle Singler,Oklahoma City Thunder,2015,0.975609756097561
Kyrie Irving,Cleveland Cavaliers,2015,0.9146341463414634
LaMarcus Aldridge,Portland Trail Blazers,2015,0.8658536585365854
Lance Stephenson,Charlotte Hornets,2015,0.7439024390243902
Lance Thomas,New York Knicks,2015,0.7560975609756098
Landry Fields,Toronto Raptors,2015,0.3170731707317073
Langston Galloway,New York Knicks,2015,0.5487804878048781
Larry Drew II,Philadelphia 76ers,2015,0.14634146341463414
Larry Sanders,Milwaukee Bucks,2015,0.32926829268292684
Lavoy Allen,Indiana Pacers,2015,0.7682926829268293
LeBron James,Cleveland Cavaliers,2015,0.8414634146341463
Leandro Barbosa,Golden State Warriors,2015,0.8048780487804879
Lester Hudson,Los Angeles Clippers,2015,0.06097560975609756
Lorenzo Brown,Minnesota Timberwolves,2015,0.35365853658536583
Lou Amundson,New York Knicks,2015,0.6463414634146342
Lou Williams,Toronto Raptors,2015,0.975609756097561
Luc Mbah a Moute,Philadelphia 76ers,2015,0.8170731707317073
Lucas Nogueira,Toronto Raptors,2015,0.07317073170731707
Luis Scola,Indiana Pacers,2015,0.9878048780487805
Luke Babbitt,New Orleans Pelicans,2015,0.7682926829268293
Luke Ridnour,Orlando Magic,2015,0.573170731707317
Luol Deng,Miami Heat,2015,0.8780487804878049
Malcolm Lee,Philadelphia 76ers,2015,0.012195121951219513
Malcolm Thomas,Philadelphia 76ers,2015,0.2073170731707317
Manu Ginobili,San Antonio Spurs,2015,0.8536585365853658
Marc Gasol,Memphis Grizzlies,2015,0.9878048780487805
Marcin Gortat,Washington Wizards,2015,1.0
Marco Belinelli,San Antonio Spurs,2015,0.7560975609756098
Marcus Morris Sr.,Phoenix Suns,2015,0.9878048780487805
Marcus Smart,Boston Celtics,2015,0.8170731707317073
Marcus Thornton,Phoenix Suns,2015,0.5853658536585366
Mario Chalmers,Miami Heat,2015,0.975609756097561
Markel Brown,Brooklyn Nets,2015,0.573170731707317
Markieff Morris,Phoenix Suns,2015,1.0
Marreese Speights,Golden State Warriors,2015,0.926829268292683
Martell Webster,Washington Wizards,2015,0.3902439024390244
Marvin Williams,Charlotte Hornets,2015,0.9512195121951219
Mason Plumlee,Brooklyn Nets,2015,1.0
Matt Barnes,Los Angeles Clippers,2015,0.926829268292683
Matt Bonner,San Antonio Spurs,2015,0.8780487804878049
Matthew Dellavedova,Cleveland Cavaliers,2015,0.8170731707317073
Maurice Harkless,Orlando Magic,2015,0.5487804878048781
Meyers Leonard,Portland Trail Blazers,2015,0.6707317073170732
Michael Beasley,Miami Heat,2015,0.2926829268292683
Michael Carter-Williams,Milwaukee Bucks,2015,0.8048780487804879
Michael Kidd-Gilchrist,Charlotte Hornets,2015,0.6707317073170732
Mike Conley,Memphis Grizzlies,2015,0.8536585365853658
Mike Dunleavy,Chicago Bulls,2015,0.7682926829268293
Mike Miller,Cleveland Cavaliers,2015,0.6341463414634146
Mike Muscala,Atlanta Hawks,2015,0.4878048780487805
Mike Scott,Atlanta Hawks,2015,0.8292682926829268
Miles Plumlee,Milwaukee Bucks,2015,0.8902439024390244
Miroslav Raduljica,Minnesota Timberwolves,2015,0.06097560975609756
Mirza Teletovic,Brooklyn Nets,2015,0.4878048780487805
Mitch McGary,Oklahoma City Thunder,2015,0.3902439024390244
Mo Williams,Charlotte Hornets,2015,0.8292682926829268
Monta Ellis,Dallas Mavericks,2015,0.975609756097561
Nate Robinson,Denver Nuggets,2015,0.5121951219512195
Nate Wolters,Milwaukee Bucks,2015,0.25609756097560976
Nazr Mohammed,Chicago Bulls,2015,0.2804878048780488
Nene,Washington Wizards,2015,0.8170731707317073
Nerlens Noel,Philadelphia 76ers,2015,0.9146341463414634
Nick Calathes,Memphis Grizzlies,2015,0.7073170731707317
Nick Collison,Oklahoma City Thunder,2015,0.8048780487804879
Nick Johnson,Houston Rockets,2015,0.34146341463414637
Nick Young,Los Angeles Lakers,2015,0.5121951219512195
Nicolas Batum,Portland Trail Blazers,2015,0.8658536585365854
Nik Stauskas,Sacramento Kings,2015,0.8902439024390244
Nikola Mirotic,Chicago Bulls,2015,1.0
Nikola Pekovic,Minnesota Timberwolves,2015,0.3780487804878049
Nikola Vucevic,Orlando Magic,2015,0.9024390243902439
Noah Vonleh,Charlotte Hornets,2015,0.3048780487804878
Norris Cole,New Orleans Pelicans,2015,0.9146341463414634
O.J. Mayo,Milwaukee Bucks,2015,0.8658536585365854
Ognjen Kuzmic,Golden State Warriors,2015,0.1951219512195122
Omer Asik,New Orleans Pelicans,2015,0.926829268292683
Omri Casspi,Sacramento Kings,2015,0.8170731707317073
Otto Porter Jr.,Washington Wizards,2015,0.9024390243902439
P.J. Tucker,Phoenix Suns,2015,0.9512195121951219
PJ Hairston,Charlotte Hornets,2015,0.5487804878048781
Pablo Prigioni,Houston Rockets,2015,0.8170731707317073
Patrick Beverley,Houston Rockets,2015,0.6829268292682927
Patrick Christopher,Memphis Grizzlies,2015,0.04878048780487805
Patrick Patterson,Toronto Raptors,2015,0.9878048780487805
Patty Mills,San Antonio Spurs,2015,0.6219512195121951
Pau Gasol,Chicago Bulls,2015,0.9512195121951219
Paul George,Indiana Pacers,2015,0.07317073170731707
Paul Millsap,Atlanta Hawks,2015,0.8902439024390244
Paul Pierce,Washington Wizards,2015,0.8902439024390244
Pero Antic,Atlanta Hawks,2015,0.7682926829268293
Perry Jones III,Oklahoma City Thunder,2015,0.524390243902439
Phil Pressey,Boston Celtics,2015,0.6097560975609756
Quincy Acy,New York Knicks,2015,0.8292682926829268
Quincy Miller,Detroit Pistons,2015,0.12195121951219512
Quincy Pondexter,New Orleans Pelicans,2015,0.9146341463414634
Rajon Rondo,Dallas Mavericks,2015,0.8292682926829268
Ramon Sessions,Washington Wizards,2015,0.7804878048780488
Randy Foye,Denver Nuggets,2015,0.6097560975609756
Rasual Butler,Washington Wizards,2015,0.9146341463414634
Ray McCallum,Sacramento Kings,2015,0.8292682926829268
Raymond Felton,Dallas Mavericks,2015,0.35365853658536583
Reggie Bullock Jr.,Phoenix Suns,2015,0.43902439024390244
Reggie Evans,Sacramento Kings,2015,0.573170731707317
Reggie Jackson,Detroit Pistons,2015,0.9390243902439024
Reggie Williams,San Antonio Spurs,2015,0.24390243902439024
Richard Jefferson,Dallas Mavericks,2015,0.9024390243902439
Ricky Ledo,New York Knicks,2015,0.2073170731707317
Ricky Rubio,Minnesota Timberwolves,2015,0.2682926829268293
Robbie Hummel,Minnesota Timberwolves,2015,0.5487804878048781
Robert Covington,Philadelphia 76ers,2015,0.8536585365853658
Robert Sacre,Los Angeles Lakers,2015,0.8170731707317073
Robin Lopez,Portland Trail Blazers,2015,0.7195121951219512
Rodney Hood,Utah Jazz,2015,0.6097560975609756
Rodney Stuckey,Indiana Pacers,2015,0.8658536585365854
Ronnie Price,Los Angeles Lakers,2015,0.524390243902439
Ronny Turiaf,Minnesota Timberwolves,2015,0.024390243902439025
Roy Hibbert,Indiana Pacers,2015,0.926829268292683
Rudy Gay,Sacramento Kings,2015,0.8292682926829268
Rudy Gobert,Utah Jazz,2015,1.0
Russ Smith,Memphis Grizzlies,2015,0.14634146341463414
Russell Westbrook,Oklahoma City Thunder,2015,0.8170731707317073
Ryan Anderson,New Orleans Pelicans,2015,0.7439024390243902
Ryan Hollins,Sacramento Kings,2015,0.5609756097560976
Ryan Kelly,Los Angeles Lakers,2015,0.6341463414634146
Samuel Dalembert,New York Knicks,2015,0.3902439024390244
Sean Kilpatrick,Minnesota Timberwolves,2015,0.04878048780487805
Sebastian Telfair,Oklahoma City Thunder,2015,0.1951219512195122
Serge Ibaka,Oklahoma City Thunder,2015,0.7804878048780488
Sergey Karasev,Brooklyn Nets,2015,0.4024390243902439
Seth Curry,Phoenix Suns,2015,0.024390243902439025
Shabazz Muhammad,Minnesota Timberwolves,2015,0.4634146341463415
Shabazz Napier,Miami Heat,2015,0.6219512195121951
Shane Larkin,New York Knicks,2015,0.926829268292683
Shannon Brown,Miami Heat,2015,0.06097560975609756
Shaun Livingston,Golden State Warriors,2015,0.9512195121951219
Shavlik Randolph,Phoenix Suns,2015,0.25609756097560976
Shawn Marion,Cleveland Cavaliers,2015,0.6951219512195121
Shawne Williams,Detroit Pistons,2015,0.7682926829268293
Shayne Whittington,Indiana Pacers,2015,0.24390243902439024
Shelvin Mack,Atlanta Hawks,2015,0.6707317073170732
Sim Bhullar,Sacramento Kings,2015,0.036585365853658534
Solomon Hill,Indiana Pacers,2015,1.0
Spencer Dinwiddie,Detroit Pistons,2015,0.4146341463414634
Spencer Hawes,Los Angeles Clippers,2015,0.8902439024390244
Stephen Curry,Golden State Warriors,2015,0.975609756097561
Steve Blake,Portland Trail Blazers,2015,0.9878048780487805
Steve Novak,Oklahoma City Thunder,2015,0.4268292682926829
Steven Adams,Oklahoma City Thunder,2015,0.8536585365853658
T.J. Warren,Phoenix Suns,2015,0.4878048780487805
Taj Gibson,Chicago Bulls,2015,0.7560975609756098
Tarik Black,Los Angeles Lakers,2015,0.7682926829268293
Tayshaun Prince,Detroit Pistons,2015,0.7073170731707317
Terrence Jones,Houston Rockets,2015,0.4024390243902439
Terrence Ross,Toronto Raptors,2015,1.0
Thabo Sefolosha,Atlanta Hawks,2015,0.6341463414634146
Thaddeus Young,Brooklyn Nets,2015,0.926829268292683
Thomas Robinson,Philadelphia 76ers,2015,0.6585365853658537
Tiago Splitter,San Antonio Spurs,2015,0.6341463414634146
Tim Duncan,San Antonio Spurs,2015,0.9390243902439024
Tim Frazier,Portland Trail Blazers,2015,0.13414634146341464
Tim Hardaway Jr.,New York Knicks,2015,0.8536585365853658
Timofey Mozgov,Cleveland Cavaliers,2015,0.9878048780487805
Tobias Harris,Orlando Magic,2015,0.8292682926829268
Toney Douglas,New Orleans Pelicans,2015,0.14634146341463414
Tony Allen,Memphis Grizzlies,2015,0.7682926829268293
Tony Parker,San Antonio Spurs,2015,0.8292682926829268
Tony Snell,Chicago Bulls,2015,0.8780487804878049
Tony Wroten,Philadelphia 76ers,2015,0.36585365853658536
Toure' Murry,Utah Jazz,2015,0.06097560975609756
Travis Wear,New York Knicks,2015,0.6219512195121951
Trevor Ariza,Houston Rockets,2015,1.0
Trevor Booker,Utah Jazz,2015,0.9634146341463414
Trey Burke,Utah Jazz,2015,0.926829268292683
Tristan Thompson,Cleveland Cavaliers,2015,1.0
Troy Daniels,Charlotte Hornets,2015,0.573170731707317
Ty Lawson,Denver Nuggets,2015,0.9146341463414634
Tyler Ennis,Milwaukee Bucks,2015,0.4024390243902439
