team,year,TQ,win_pct,TQ_Z_score,Normalized_TQ_Z_score
Minnesota Timberwolves,2020,3.7455622619848272,0.296875,2.0633013679631342,0.9982382888816274
Houston Rockets,2020,3.682941101457904,0.6111111111111112,2.022537883155683,0.9978838012659463
Portland Trail Blazers,2020,3.569526441377424,0.4729729729729729,1.9487101748501945,0.9970733871982054
Atlanta Hawks,2020,3.393556694525217,0.2985074626865671,1.834161992701814,0.9952552512140638
Denver Nuggets,2020,2.080744038587365,0.6301369863013698,0.9795815552737313,0.9170253570840652
Phoenix Suns,2020,1.7696618132835016,0.4657534246575342,0.7770813866671437,0.8641070329553049
Boston Celtics,2020,1.5348228503764814,0.6666666666666666,0.6242120623667393,0.8113194979694416
Dallas Mavericks,2020,1.290611552079945,0.5733333333333334,0.4652417803701482,0.7447152667987461
Miami Heat,2020,1.197966952014334,0.6027397260273972,0.40493442235427013,0.7165638074989533
Washington Wizards,2020,0.7139166844532356,0.3472222222222222,0.08984004272701708,0.5505507774840076
Detroit Pistons,2020,0.6638754944300143,0.303030303030303,0.05726553800538466,0.5322733377535478
Charlotte Hornets,2020,0.5125699974605509,0.3538461538461538,-0.0412273560115958,0.4767531267904122
Los Angeles Clippers,2020,0.4698433379452345,0.6805555555555556,-0.06904043902331866,0.4611099041990927
Oklahoma City Thunder,2020,0.4124293823729119,0.6111111111111112,-0.10641427377845426,0.44018803011129054
Brooklyn Nets,2020,0.2708734789177214,0.4861111111111111,-0.1985606324748857,0.38942916371027364
Sacramento Kings,2020,0.2044602901567362,0.4305555555555556,-0.24179255261646254,0.3661956498692151
New Orleans Pelicans,2020,0.1833441192770557,0.4166666666666667,-0.25553820510202,0.3589056073415329
San Antonio Spurs,2020,0.1414617567310814,0.4507042253521127,-0.2828016897608354,0.3445996237848987
Los Angeles Lakers,2020,0.0865596511876827,0.7323943661971831,-0.3185404260982626,0.3261806754896838
New York Knicks,2020,0.0237208765958267,0.3181818181818182,-0.35944556761656254,0.3056099867709939
Golden State Warriors,2020,-0.101665622837582,0.2307692307692307,-0.44106639070104914,0.26639192591114114
Cleveland Cavaliers,2020,-0.1247884723970784,0.2923076923076923,-0.4561182983755846,0.25944781865508676
Orlando Magic,2020,-0.3371460347570667,0.4520547945205479,-0.5943532686982285,0.20030215444676897
Indiana Pacers,2020,-0.4171812508532591,0.6164383561643836,-0.6464524998198798,0.1803001313741044
Toronto Raptors,2020,-0.4558418053161794,0.7361111111111112,-0.6716187361405775,0.1711038109923012
Chicago Bulls,2020,-0.93165487652612,0.3384615384615385,-0.9813510811857336,0.08259288448073038
Milwaukee Bucks,2020,-0.9773792606828358,0.7671232876712328,-1.0111155445591167,0.07636807941576046
