team,team_quality,num_players,avg_attendance,avg_athletic_score,total_attendance,total_athletic_score
DET,599.61647324099,21,57.200952380952394,0.40808798899999993,1201.2200000000003,8.569847768999999
LAC,581.6289946835201,21,54.81904761904761,0.39259124895238096,1151.1999999999998,8.244416228
CLE,578.9284154554299,21,54.18285714285714,0.40633007590476183,1137.84,8.532931593999999
CHI,577.82142395021,21,57.084761904761905,0.38339280466666664,1198.78,8.051248897999999
MIL,573.9819860201999,19,62.06578947368421,0.40445971515789475,1179.25,7.684734588
SAC,569.56225199982,24,47.10375,0.3447233788333333,1130.49,8.273361092
DAL,566.35767445271,24,50.405833333333334,0.3731161045,1209.74,8.954786508
IND,560.25888614052,25,47.0728,0.34038216771999996,1176.82,8.509554193
NYK,559.4865027556699,23,48.88652173913045,0.3705858783478261,1124.3900000000003,8.523475202
MIA,549.7021466113399,22,50.055,0.3653254689090909,1101.21,8.037160316
ORL,539.1730026405701,18,61.24722222222221,0.42525017588888886,1102.4499999999998,7.654503166
DEN,532.68444067424,17,60.68941176470588,0.4225030650588235,1031.72,7.182552106
HOU,522.82104950721,19,56.994736842105254,0.420851365,1082.8999999999999,7.996175934999999
LAL,519.03633236705,25,45.6584,0.34882399436000006,1141.46,8.720599859000002
POR,516.4123881093,21,51.80000000000001,0.36575570585714284,1087.8000000000002,7.680869823
SAS,509.80691822949996,20,50.305,0.37225692065,1006.1,7.445138413
OKC,495.21738015273,18,56.50333333333334,0.4079794382222222,1017.0600000000001,7.343629888
GSW,491.87266324003997,22,46.065000000000005,0.3531711625909091,1013.4300000000002,7.769765577
MEM,491.72723794594,21,49.535714285714285,0.36120280128571425,1040.25,7.585258827
MIN,487.52283499921003,19,49.936315789473696,0.3723543368421052,948.7900000000002,7.074732399999999
BOS,484.40566711672,18,52.50666666666667,0.39587071016666675,945.12,7.1256727830000015
ATL,474.77852895455004,20,49.69349999999999,0.37025763915000004,993.8699999999999,7.405152783000001
PHI,457.67094133001,27,40.69481481481481,0.3402471305925926,1098.76,9.186672526
PHX,448.09918339591,21,43.14714285714285,0.32155726785714284,906.0899999999999,6.7527026249999995
TOR,440.88050551778997,24,41.81875,0.3390797642916667,1003.65,8.137914343
UTA,431.92664485391003,19,51.413157894736834,0.363002926,976.8499999999999,6.897055594
BKN,396.13026815054,23,38.44173913043478,0.28614236952173916,884.1600000000001,6.581274499
CHA,366.66428347669,26,34.24038461538461,0.29910120049999994,890.25,7.776631212999999
NOP,359.99210117610994,23,36.42521739130435,0.301534334173913,837.7800000000001,6.935289685999999
WAS,338.00132355778,23,35.79,0.2776322056956521,823.17,6.385540730999999
