Team,year,win_pct,win_pct(last_year),Player Expenses(M$),Revenue(M$)
OKC,2022,0.2926829268292683,0.3055555555555556,77,274
OKC,2023,0.4878048780487805,0.2926829268292683,154,267
OKC,2024,0.6951219512195121,0.4878048780487805,163,320
ORL,2016,0.4268292682926829,0.3048780487804878,73,166
ORL,2017,0.3536585365853658,0.4268292682926829,119,211
ORL,2018,0.3048780487804878,0.3536585365853658,108,223
ORL,2019,0.5121951219512195,0.3048780487804878,120,244
ORL,2020,0.4520547945205479,0.5121951219512195,122,218
ORL,2021,0.2916666666666667,0.4520547945205479,110,188
ORL,2022,0.2682926829268293,0.2916666666666667,111,272
ORL,2023,0.4146341463414634,0.2682926829268293,132,261
ORL,2024,0.573170731707317,0.4146341463414634,139,285
PHI,2016,0.1219512195121951,0.2195121951219512,73,140
PHI,2017,0.3414634146341463,0.1219512195121951,89,184
PHI,2018,0.6341463414634146,0.3414634146341463,105,268
PHI,2019,0.6219512195121951,0.6341463414634146,117,300
PHI,2020,0.589041095890411,0.6219512195121951,120,259
PHI,2021,0.6805555555555556,0.589041095890411,128,236
PHI,2022,0.6219512195121951,0.6805555555555556,143,345
PHI,2023,0.6585365853658537,0.6219512195121951,161,371
PHI,2024,0.573170731707317,0.6585365853658537,182,396
PHX,2016,0.2804878048780488,0.4756097560975609,85,173
PHX,2017,0.2926829268292683,0.2804878048780488,96,218
PHX,2018,0.2560975609756097,0.2926829268292683,97,235
PHX,2019,0.2317073170731707,0.2560975609756097,115,246
PHX,2020,0.4657534246575342,0.2317073170731707,112,222
PHX,2021,0.7083333333333334,0.4657534246575342,107,206
PHX,2022,0.7804878048780488,0.7083333333333334,108,302
PHX,2023,0.5487804878048781,0.7804878048780488,179,366
PHX,2024,0.5975609756097561,0.5487804878048781,195,369
POR,2016,0.5365853658536586,0.6219512195121951,72,178
POR,2017,0.5,0.5365853658536586,128,223
POR,2018,0.5975609756097561,0.5,136,246
POR,2019,0.6463414634146342,0.5975609756097561,143,287
POR,2020,0.4729729729729729,0.6463414634146342,133,240
POR,2021,0.5833333333333334,0.4729729729729729,110,201
POR,2022,0.3292682926829268,0.5833333333333334,134,291
POR,2023,0.4024390243902439,0.3292682926829268,156,300
POR,2024,0.2560975609756097,0.4024390243902439,172,335
SAC,2016,0.4024390243902439,0.3536585365853658,84,164
SAC,2017,0.3902439024390244,0.4024390243902439,109,240
SAC,2018,0.3292682926829268,0.3902439024390244,103,263
SAC,2019,0.4756097560975609,0.3292682926829268,107,286
SAC,2020,0.4305555555555556,0.4756097560975609,100,245
SAC,2021,0.4305555555555556,0.4305555555555556,79,192
SAC,2022,0.3658536585365853,0.4305555555555556,141,279
SAC,2023,0.5853658536585366,0.3658536585365853,145,289
SAC,2024,0.5609756097560976,0.5853658536585366,158,320
SAS,2016,0.8170731707317073,0.6707317073170732,98,187
SAS,2017,0.7439024390243902,0.8170731707317073,123,259
SAS,2018,0.573170731707317,0.7439024390243902,126,262
SAS,2019,0.5853658536585366,0.573170731707317,142,285
SAS,2020,0.4507042253521127,0.5853658536585366,115,255
SAS,2021,0.4583333333333333,0.4507042253521127,81,205
SAS,2022,0.4146341463414634,0.4583333333333333,118,306
SAS,2023,0.2682926829268293,0.4146341463414634,110,319
SAS,2024,0.2682926829268293,0.2682926829268293,146,363
TOR,2016,0.6829268292682927,0.5975609756097561,83,193
TOR,2017,0.6219512195121951,0.6829268292682927,121,250
TOR,2018,0.7195121951219512,0.6219512195121951,127,275
TOR,2019,0.7073170731707317,0.7195121951219512,146,334
TOR,2020,0.7361111111111112,0.7073170731707317,115,264
TOR,2021,0.375,0.7361111111111112,108,194
TOR,2022,0.5853658536585366,0.375,137,299
TOR,2023,0.5,0.5853658536585366,156,305
TOR,2024,0.3048780487804878,0.5,170,341
UTA,2016,0.4878048780487805,0.4634146341463415,74,164
UTA,2017,0.6219512195121951,0.4878048780487805,95,221
UTA,2018,0.5853658536585366,0.6219512195121951,120,243
UTA,2019,0.6097560975609756,0.5853658536585366,129,258
UTA,2020,0.6111111111111112,0.6097560975609756,116,226
UTA,2021,0.7222222222222222,0.6111111111111112,91,262
UTA,2022,0.5975609756097561,0.7222222222222222,151,308
UTA,2023,0.4512195121951219,0.5975609756097561,154,274
UTA,2024,0.3780487804878049,0.4512195121951219,143,318
WAS,2016,0.5,0.5609756097560976,95,155
WAS,2017,0.5975609756097561,0.5,119,222
WAS,2018,0.524390243902439,0.5975609756097561,136,255
WAS,2019,0.3902439024390244,0.524390243902439,142,269
WAS,2020,0.3472222222222222,0.3902439024390244,117,231
WAS,2021,0.4722222222222222,0.3472222222222222,109,213
WAS,2022,0.4268292682926829,0.4722222222222222,130,291
WAS,2023,0.4268292682926829,0.4268292682926829,159,323
WAS,2024,0.1829268292682926,0.4268292682926829,155,362
