Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PTS,PLUS_MINUS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,PIE,ATTENDANCE_RATE,MPG
Julian Phillips,CHI,-0.1 (67),-0.5 (77),0.4 (75),-0.1,67,-0.5,77,0.4,75,1641763.0,Julian Phillips,CHI,21.0,79.0,1122.905,128.0,287.0,0.446,50.0,153.0,0.327,60.0,76.0,0.789,169.0,39.0,38.0,20.0,27.0,366.0,30.0,0.126,0.571,0.533,112.9,111.1,1.8,0.045,0.07,0.055,96.34,14.2
Pelle Larsson,MIA,0.4 (78),-0.0 (54),0.4 (75),0.4,78,-0.0,54,0.4,75,1641796.0,Pelle Larsson,MIA,24.0,55.0,781.9466666666667,89.0,203.0,0.438,32.0,95.0,0.337,41.0,61.0,0.672,92.0,65.0,32.0,7.0,24.0,251.0,10.0,0.141,0.546,0.517,111.1,108.7,2.4,0.116,0.058,0.055,67.07,14.2
Jamal Shead,TOR,0.1 (71),-0.3 (68),0.4 (75),0.1,71,-0.3,68,0.4,75,1642347.0,Jamal Shead,TOR,22.0,75.0,1466.825,204.0,504.0,0.405,72.0,223.0,0.323,53.0,69.0,0.768,115.0,316.0,58.0,10.0,117.0,533.0,-234.0,0.179,0.499,0.476,105.5,113.3,-7.8,0.307,0.037,0.07,91.46,19.6
Jaylon Tyson,CLE,0.4 (78),0.0 (53),0.4 (75),0.4,78,0.0,53,0.4,75,1642281.0,Jaylon Tyson,CLE,22.0,47.0,452.96,64.0,149.0,0.43,20.0,58.0,0.345,19.0,24.0,0.792,96.0,44.0,13.0,3.0,26.0,167.0,-2.0,0.164,0.523,0.497,108.4,108.8,-0.4,0.135,0.097,0.075,57.32,9.6
Svi Mykhailiuk,UTA,0.6 (83),0.2 (43),0.4 (74),0.6,83,0.2,43,0.4,74,1629004.0,Svi Mykhailiuk,UTA,28.0,38.0,760.3066666666666,118.0,302.0,0.391,70.0,203.0,0.345,28.0,35.0,0.8,90.0,76.0,19.0,7.0,52.0,334.0,-106.0,0.198,0.526,0.507,110.3,117.7,-7.4,0.144,0.055,0.067,46.34,20.0
Sion James,CHA,-0.2 (62),-0.6 (78),0.4 (74),-0.2,62,-0.6,78,0.4,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Love,UTA,1.5 (92),1.1 (10),0.4 (74),1.5,92,1.1,10,0.4,74,201567.0,Kevin Love,MIA,36.0,23.0,251.45333333333335,41.0,115.0,0.357,24.0,67.0,0.358,16.0,23.0,0.696,94.0,22.0,15.0,4.0,14.0,122.0,-25.0,0.23,0.488,0.461,108.7,112.3,-3.6,0.134,0.177,0.109,28.05,10.9
Tyler Herro,MIA,1.0 (89),0.7 (21),0.3 (74),1.0,89,0.7,21,0.3,74,1629639.0,Tyler Herro,MIA,25.0,77.0,2725.08,651.0,1378.0,0.472,251.0,670.0,0.375,287.0,327.0,0.878,399.0,424.0,69.0,17.0,198.0,1840.0,99.0,0.271,0.605,0.563,113.9,112.6,1.3,0.254,0.073,0.139,93.9,35.4
Moses Moody,GSW,-0.6 (48),-0.9 (87),0.3 (74),-0.6,48,-0.9,87,0.3,74,1630541.0,Moses Moody,GSW,23.0,74.0,1649.15,246.0,568.0,0.433,126.0,337.0,0.374,106.0,133.0,0.797,189.0,96.0,59.0,31.0,54.0,724.0,132.0,0.17,0.578,0.544,113.2,108.9,4.3,0.084,0.056,0.076,90.24,22.3
Jusuf Nurkić,UTA,-1.0 (34),-1.3 (93),0.3 (74),-1.0,34,-1.3,93,0.3,74,203994.0,Jusuf Nurkić,CHA,30.0,51.0,1062.8266666666666,168.0,352.0,0.477,32.0,105.0,0.305,85.0,128.0,0.664,398.0,115.0,40.0,34.0,97.0,453.0,-184.0,0.202,0.555,0.523,106.1,115.1,-9.0,0.167,0.181,0.116,62.2,20.8
T.J. McConnell,IND,0.2 (74),-0.1 (61),0.3 (73),0.2,74,-0.1,61,0.3,73,204456.0,T.J. McConnell,IND,33.0,79.0,1415.4333333333334,324.0,624.0,0.519,15.0,49.0,0.306,57.0,77.0,0.74,193.0,351.0,83.0,21.0,109.0,720.0,-56.0,0.226,0.547,0.531,111.1,113.8,-2.7,0.359,0.069,0.129,96.34,17.9
RJ Barrett,TOR,1.0 (88),0.7 (19),0.3 (73),1.0,88,0.7,19,0.3,73,1629628.0,RJ Barrett,TOR,25.0,58.0,1868.8033333333333,460.0,982.0,0.468,107.0,306.0,0.35,196.0,311.0,0.63,366.0,314.0,46.0,17.0,166.0,1223.0,-139.0,0.281,0.547,0.523,110.1,113.4,-3.4,0.257,0.094,0.121,70.73,32.2
Patrick Baldwin Jr.,LAC,0.1 (71),-0.2 (64),0.3 (73),0.1,71,-0.2,64,0.3,73,1631116.0,Patrick Baldwin Jr.,LAC,22.0,24.0,106.74833333333333,19.0,35.0,0.543,13.0,23.0,0.565,2.0,4.0,0.5,25.0,3.0,3.0,2.0,5.0,53.0,29.0,0.151,0.721,0.729,114.6,102.1,12.4,0.042,0.105,0.122,29.27,4.4
Lonzo Ball,CLE,-1.2 (25),-1.5 (95),0.3 (73),-1.2,25,-1.5,95,0.3,73,1628366.0,Lonzo Ball,CHI,27.0,35.0,777.03,89.0,243.0,0.366,67.0,195.0,0.344,22.0,27.0,0.815,118.0,115.0,47.0,17.0,41.0,267.0,100.0,0.152,0.524,0.504,113.5,108.0,5.5,0.187,0.068,0.078,42.68,22.2
Liam McNeeley,CHA,-0.1 (66),-0.4 (72),0.3 (73),-0.1,66,-0.4,72,0.3,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Hart,NYK,0.3 (78),-0.0 (57),0.3 (73),0.3,78,-0.0,57,0.3,73,1628404.0,Josh Hart,NYK,30.0,77.0,2896.83,404.0,770.0,0.525,84.0,252.0,0.333,159.0,205.0,0.776,737.0,453.0,119.0,27.0,158.0,1051.0,203.0,0.151,0.611,0.579,117.9,114.3,3.6,0.206,0.13,0.119,93.9,37.6
Danté Exum,DAL,0.0 (70),-0.3 (71),0.3 (73),0.0,70,-0.3,71,0.3,73,203957.0,Danté Exum,DAL,29.0,20.0,372.31,64.0,134.0,0.478,23.0,53.0,0.434,23.0,31.0,0.742,33.0,56.0,12.0,3.0,22.0,174.0,-48.0,0.193,0.589,0.563,109.3,115.2,-6.0,0.22,0.042,0.083,24.39,18.6
Adama Sanogo,CHI,0.3 (77),-0.0 (54),0.3 (72),0.3,77,-0.0,54,0.3,72,1641766.0,Adama Sanogo,CHI,23.0,4.0,21.498333333333335,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,8.0,-5.0,0.145,0.571,0.571,104.2,122.2,-18.1,0.067,0.143,0.078,4.88,5.4
Kam Jones,IND,0.3 (76),0.0 (51),0.3 (72),0.3,76,0.0,51,0.3,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Ellis,SAC,-0.4 (55),-0.7 (82),0.3 (72),-0.4,55,-0.7,82,0.3,72,1631165.0,Keon Ellis,SAC,25.0,80.0,1948.1916666666666,227.0,464.0,0.489,139.0,321.0,0.433,73.0,86.0,0.849,212.0,120.0,121.0,63.0,71.0,666.0,64.0,0.125,0.664,0.639,116.1,113.2,3.0,0.08,0.055,0.073,97.56,24.4
Jalen Pickett,DEN,-0.6 (47),-0.8 (83),0.2 (72),-0.6,47,-0.8,83,0.2,72,1629618.0,Jalen Pickett,DEN,25.0,49.0,666.19,77.0,180.0,0.428,40.0,101.0,0.396,6.0,8.0,0.75,71.0,107.0,19.0,5.0,24.0,200.0,52.0,0.13,0.545,0.539,112.6,109.7,2.9,0.211,0.051,0.078,59.76,13.6
Nicolas Batum,LAC,-0.3 (61),-0.5 (78),0.2 (72),-0.3,61,-0.5,78,0.2,72,201587.0,Nicolas Batum,LAC,36.0,78.0,1367.3733333333332,104.0,238.0,0.437,88.0,203.0,0.433,17.0,21.0,0.81,218.0,84.0,52.0,36.0,34.0,313.0,152.0,0.087,0.633,0.622,110.5,104.7,5.9,0.082,0.077,0.069,95.12,17.5
David Duke Jr.,SAS,0.2 (73),0.0 (54),0.2 (72),0.2,73,0.0,54,0.2,72,1630561.0,David Duke Jr.,SAS,25.0,6.0,33.71666666666667,6.0,14.0,0.429,3.0,6.0,0.5,1.0,2.0,0.5,5.0,4.0,1.0,0.0,2.0,16.0,28.0,0.207,0.538,0.536,128.4,91.8,36.6,0.133,0.07,0.087,7.32,5.6
Alex Reese,PHI,0.4 (78),0.2 (41),0.2 (71),0.4,78,0.2,41,0.2,71,1642024.0,Alex Reese,PHI,26.0,15.0,216.04666666666665,26.0,54.0,0.481,15.0,41.0,0.366,9.0,12.0,0.75,47.0,4.0,10.0,10.0,6.0,76.0,19.0,0.123,0.641,0.62,117.3,111.8,5.5,0.023,0.103,0.079,18.29,14.4
Isaiah Crawford,HOU,0.1 (71),-0.1 (59),0.2 (71),0.1,71,-0.1,59,0.2,71,1642384.0,Isaiah Crawford,SAC,23.0,15.0,45.666666666666664,5.0,11.0,0.455,1.0,5.0,0.2,2.0,4.0,0.5,8.0,1.0,1.0,2.0,1.0,13.0,23.0,0.122,0.509,0.5,112.0,92.7,19.3,0.029,0.088,0.07,18.29,3.0
Devin Carter,SAC,-0.3 (58),-0.5 (76),0.2 (71),-0.3,58,-0.5,76,0.2,71,1642269.0,Devin Carter,SAC,23.0,36.0,395.9433333333333,47.0,127.0,0.37,18.0,61.0,0.295,26.0,44.0,0.591,76.0,41.0,21.0,4.0,18.0,138.0,43.0,0.169,0.471,0.441,113.1,109.3,3.9,0.139,0.093,0.07,43.9,11.0
Myron Gardner,MIA,-0.3 (57),-0.5 (76),0.2 (71),-0.3,57,-0.5,76,0.2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Cardwell,SAC,-0.3 (57),-0.5 (75),0.2 (71),-0.3,57,-0.5,75,0.2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Faly Dante,ATL,0.3 (76),0.1 (46),0.2 (71),0.3,76,0.1,46,0.2,71,1642368.0,N'Faly Dante,HOU,23.0,4.0,50.61666666666667,10.0,13.0,0.769,0.0,0.0,0.0,4.0,5.0,0.8,21.0,2.0,1.0,5.0,2.0,24.0,-11.0,0.133,0.789,0.769,114.9,123.5,-8.6,0.05,0.2,0.125,4.88,12.7
Kevon Looney,NOP,-0.4 (56),-0.6 (80),0.2 (71),-0.4,56,-0.6,80,0.2,71,1626172.0,Kevon Looney,GSW,29.0,76.0,1142.155,143.0,278.0,0.514,2.0,5.0,0.4,56.0,99.0,0.566,462.0,118.0,46.0,37.0,39.0,344.0,117.0,0.125,0.535,0.518,112.5,106.9,5.6,0.143,0.181,0.114,92.68,15.0
Michael Porter Jr.,BKN,1.4 (91),1.2 (9),0.2 (70),1.4,91,1.2,9,0.2,70,1629008.0,Michael Porter Jr.,DEN,27.0,77.0,2593.2633333333333,528.0,1048.0,0.504,193.0,489.0,0.395,149.0,194.0,0.768,540.0,165.0,50.0,38.0,104.0,1398.0,265.0,0.197,0.617,0.596,119.8,115.4,4.4,0.084,0.103,0.101,93.9,33.7
Jonathan Isaac,ORL,-1.7 (14),-1.9 (97),0.2 (70),-1.7,14,-1.9,97,0.2,70,1628371.0,Jonathan Isaac,ORL,27.0,71.0,1090.015,134.0,324.0,0.414,39.0,151.0,0.258,73.0,107.0,0.682,314.0,40.0,61.0,80.0,33.0,380.0,-38.0,0.155,0.512,0.474,105.9,106.6,-0.7,0.056,0.141,0.108,86.59,15.4
Jared McCain,PHI,-0.4 (54),-0.6 (78),0.2 (70),-0.4,54,-0.6,78,0.2,70,1642272.0,Jared McCain,PHI,21.0,23.0,591.7916666666666,126.0,274.0,0.46,51.0,133.0,0.383,49.0,56.0,0.875,56.0,60.0,15.0,0.0,37.0,352.0,-27.0,0.243,0.589,0.553,109.3,111.4,-2.1,0.171,0.048,0.106,28.05,25.7
Cam Christie,LAC,-1.0 (32),-1.2 (91),0.2 (70),-1.0,32,-1.2,91,0.2,70,1642353.0,Cam Christie,LAC,19.0,13.0,58.64833333333333,7.0,24.0,0.292,2.0,13.0,0.154,2.0,4.0,0.5,12.0,6.0,5.0,1.0,2.0,18.0,-10.0,0.192,0.349,0.333,97.6,105.6,-7.9,0.167,0.098,0.07,15.85,4.5
Bones Hyland,MIN,-0.7 (44),-0.8 (84),0.1 (70),-0.7,44,-0.8,84,0.1,70,1630538.0,Bones Hyland,MIN,24.0,24.0,238.77,47.0,118.0,0.398,32.0,82.0,0.39,23.0,26.0,0.885,25.0,32.0,18.0,4.0,25.0,149.0,-31.0,0.274,0.576,0.534,102.0,108.1,-6.1,0.246,0.051,0.108,29.27,9.9
Trae Young,ATL,2.2 (96),2.1 (1),0.1 (70),2.2,96,2.1,1,0.1,70,1629027.0,Trae Young,ATL,26.0,76.0,2739.06,566.0,1376.0,0.411,218.0,642.0,0.34,491.0,561.0,0.875,236.0,880.0,91.0,12.0,355.0,1841.0,34.0,0.285,0.567,0.491,115.2,114.6,0.6,0.452,0.042,0.129,92.68,36.0
Kevin Knox II,GSW,0.4 (79),0.3 (38),0.1 (69),0.4,79,0.3,38,0.1,69,1628995.0,Kevin Knox II,GSW,25.0,14.0,83.65666666666667,18.0,36.0,0.5,4.0,15.0,0.267,6.0,8.0,0.75,17.0,5.0,2.0,4.0,4.0,46.0,-3.0,0.202,0.582,0.556,112.7,115.6,-2.9,0.086,0.101,0.104,17.07,6.0
Terry Taylor,SAC,-0.3 (59),-0.4 (73),0.1 (69),-0.3,59,-0.4,73,0.1,69,1630678.0,Terry Taylor,SAC,25.0,3.0,6.333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.067,0.0,0.0,135.7,71.4,64.3,0.286,0.083,0.043,3.66,2.1
Malcolm Brogdon,WAS,0.1 (72),-0.0 (56),0.1 (69),0.1,72,-0.0,56,0.1,69,1627763.0,Malcolm Brogdon,WAS,32.0,24.0,564.0766666666667,104.0,240.0,0.433,16.0,56.0,0.286,81.0,92.0,0.88,91.0,98.0,13.0,5.0,38.0,305.0,-121.0,0.231,0.544,0.467,106.5,116.9,-10.4,0.267,0.077,0.113,29.27,23.5
Tre Jones,CHI,0.1 (71),0.0 (55),0.1 (69),0.1,71,0.0,55,0.1,69,1630200.0,Tre Jones,CHI,25.0,46.0,904.9716666666667,128.0,238.0,0.538,19.0,48.0,0.396,55.0,67.0,0.821,116.0,192.0,37.0,10.0,35.0,330.0,-31.0,0.136,0.617,0.578,112.0,113.5,-1.5,0.289,0.059,0.11,56.1,19.7
Cole Swider,TOR,-0.1 (67),-0.2 (64),0.1 (69),-0.1,67,-0.2,64,0.1,69,1631306.0,Cole Swider,IND,26.0,10.0,169.5,22.0,63.0,0.349,15.0,47.0,0.319,0.0,1.0,0.0,27.0,3.0,4.0,2.0,4.0,59.0,54.0,0.155,0.465,0.468,114.2,100.5,13.7,0.022,0.072,0.046,12.2,17.0
Josh Minott,BOS,-0.0 (70),-0.1 (60),0.1 (69),-0.0,70,-0.1,60,0.1,69,1631169.0,Josh Minott,MIN,22.0,46.0,276.275,44.0,90.0,0.489,14.0,43.0,0.326,17.0,19.0,0.895,47.0,18.0,15.0,12.0,11.0,119.0,-16.0,0.16,0.605,0.567,104.0,107.0,-3.0,0.096,0.081,0.095,56.1,6.0
Jazian Gortman,DAL,0.0 (69),-0.1 (59),0.1 (69),0.0,69,-0.1,59,0.1,69,1641789.0,Jazian Gortman,DAL,22.0,16.0,56.61666666666667,9.0,23.0,0.391,4.0,11.0,0.364,2.0,4.0,0.5,5.0,6.0,2.0,1.0,5.0,24.0,11.0,0.195,0.485,0.478,103.8,99.2,4.6,0.154,0.04,0.031,19.51,3.5
Asa Newell,ATL,0.1 (71),-0.0 (52),0.1 (68),0.1,71,-0.0,52,0.1,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Stewart,DET,-0.5 (52),-0.6 (80),0.1 (68),-0.5,52,-0.6,80,0.1,68,1630191.0,Isaiah Stewart,DET,24.0,72.0,1433.8483333333334,176.0,315.0,0.559,17.0,53.0,0.321,66.0,87.0,0.759,399.0,123.0,28.0,101.0,68.0,435.0,9.0,0.121,0.616,0.586,109.1,108.6,0.5,0.12,0.129,0.096,87.8,19.9
Joe Ingles,MIN,0.5 (80),0.4 (33),0.1 (68),0.5,80,0.4,33,0.1,68,204060.0,Joe Ingles,MIN,37.0,19.0,114.08666666666667,6.0,23.0,0.261,3.0,15.0,0.2,0.0,0.0,0.0,11.0,23.0,2.0,0.0,9.0,15.0,2.0,0.113,0.326,0.326,108.9,113.1,-4.2,0.261,0.048,0.025,23.17,6.0
Leonard Miller,MIN,-0.2 (64),-0.3 (69),0.1 (68),-0.2,64,-0.3,69,0.1,68,1631159.0,Leonard Miller,MIN,21.0,13.0,31.595,6.0,15.0,0.4,0.0,5.0,0.0,8.0,8.0,1.0,11.0,0.0,2.0,1.0,2.0,20.0,-12.0,0.239,0.54,0.4,79.2,98.6,-19.4,0.0,0.145,0.202,15.85,2.4
Oscar Tshiebwe,UTA,0.3 (77),0.2 (42),0.1 (68),0.3,77,0.2,42,0.1,68,1631131.0,Oscar Tshiebwe,UTA,25.0,14.0,255.17333333333335,42.0,70.0,0.6,0.0,0.0,0.0,23.0,31.0,0.742,122.0,9.0,13.0,1.0,10.0,107.0,-11.0,0.144,0.64,0.6,113.4,115.8,-2.5,0.051,0.221,0.14,17.07,18.2
Tyler Smith,MIL,-0.2 (63),-0.3 (68),0.1 (68),-0.2,63,-0.3,68,0.1,68,1641890.0,Tyler Smith,MIL,20.0,23.0,121.57333333333334,24.0,50.0,0.48,13.0,30.0,0.433,6.0,8.0,0.75,25.0,4.0,3.0,4.0,8.0,67.0,8.0,0.205,0.626,0.61,103.4,96.3,7.1,0.056,0.098,0.123,28.05,5.3
Egor Dëmin,BKN,-0.8 (38),-0.9 (85),0.1 (67),-0.8,38,-0.9,85,0.1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Barnes,SAS,1.4 (91),1.3 (7),0.1 (67),1.4,91,1.3,7,0.1,67,203084.0,Harrison Barnes,SAS,33.0,82.0,2230.0633333333335,347.0,683.0,0.508,156.0,360.0,0.433,161.0,199.0,0.809,310.0,136.0,39.0,14.0,50.0,1011.0,-25.0,0.157,0.656,0.622,114.5,115.6,-1.2,0.085,0.067,0.092,100.0,27.2
Landry Shamet,NYK,-0.3 (62),-0.3 (71),0.0 (67),-0.3,62,-0.3,71,0.0,67,1629013.0,Landry Shamet,NYK,28.0,50.0,761.6,106.0,230.0,0.461,62.0,156.0,0.397,12.0,18.0,0.667,61.0,27.0,23.0,2.0,22.0,286.0,88.0,0.143,0.601,0.596,111.6,106.5,5.1,0.049,0.039,0.062,60.98,15.2
Jabari Walker,PHI,0.1 (72),0.1 (49),0.0 (67),0.1,72,0.1,49,0.0,67,1631133.0,Jabari Walker,POR,22.0,60.0,749.165,118.0,229.0,0.515,28.0,72.0,0.389,49.0,71.0,0.69,211.0,37.0,33.0,6.0,34.0,313.0,15.0,0.156,0.601,0.576,108.1,107.6,0.5,0.071,0.133,0.107,73.17,12.5
Jonas Valančiūnas,DEN,0.6 (83),0.6 (24),0.0 (67),0.6,83,0.6,24,0.0,67,202685.0,Jonas Valančiūnas,SAC,33.0,81.0,1523.7633333333333,345.0,627.0,0.55,8.0,37.0,0.216,145.0,165.0,0.879,627.0,164.0,37.0,46.0,120.0,843.0,-304.0,0.222,0.602,0.557,109.2,118.8,-9.6,0.171,0.203,0.147,98.78,18.8
Malik Monk,SAC,0.7 (84),0.7 (20),0.0 (67),0.7,84,0.7,20,0.0,67,1628370.0,Malik Monk,SAC,27.0,65.0,2054.11,412.0,939.0,0.439,139.0,428.0,0.325,154.0,178.0,0.865,245.0,362.0,61.0,38.0,159.0,1117.0,116.0,0.236,0.549,0.513,117.0,114.5,2.5,0.246,0.059,0.099,79.27,31.6
Jalen Johnson,ATL,-1.1 (29),-1.1 (90),0.0 (67),-1.1,29,-1.1,90,0.0,67,1630552.0,Jalen Johnson,ATL,23.0,36.0,1284.1783333333333,271.0,542.0,0.5,44.0,141.0,0.312,94.0,126.0,0.746,359.0,181.0,56.0,36.0,106.0,680.0,55.0,0.214,0.569,0.541,111.8,110.2,1.6,0.203,0.132,0.135,43.9,35.7
Dominick Barlow,PHI,0.0 (70),0.0 (55),0.0 (66),0.0,70,0.0,55,0.0,66,1631230.0,Dominick Barlow,ATL,22.0,35.0,374.99833333333333,60.0,113.0,0.531,7.0,27.0,0.259,21.0,33.0,0.636,85.0,19.0,9.0,16.0,5.0,148.0,-2.0,0.141,0.58,0.562,110.2,111.8,-1.6,0.07,0.114,0.082,42.68,10.7
Jakob Poeltl,TOR,-0.4 (55),-0.4 (74),0.0 (66),-0.4,55,-0.4,74,0.0,66,1627751.0,Jakob Poeltl,TOR,29.0,57.0,1685.7483333333332,363.0,579.0,0.627,1.0,3.0,0.333,97.0,144.0,0.674,547.0,158.0,66.0,71.0,111.0,824.0,-37.0,0.184,0.641,0.628,111.2,111.9,-0.7,0.136,0.158,0.133,69.51,29.6
Gabe Vincent,LAL,-0.3 (59),-0.3 (69),0.0 (66),-0.3,59,-0.3,69,0.0,66,1629216.0,Gabe Vincent,LAL,29.0,72.0,1527.265,168.0,420.0,0.4,109.0,309.0,0.353,15.0,21.0,0.714,92.0,98.0,51.0,13.0,41.0,460.0,48.0,0.131,0.536,0.53,111.8,110.7,1.1,0.09,0.029,0.039,87.8,21.2
Jarred Vanderbilt,LAL,-0.4 (54),-0.4 (73),0.0 (66),-0.4,54,-0.4,73,0.0,66,1629020.0,Jarred Vanderbilt,LAL,26.0,36.0,580.8583333333333,59.0,121.0,0.488,9.0,32.0,0.281,20.0,36.0,0.556,182.0,41.0,35.0,10.0,29.0,147.0,35.0,0.116,0.537,0.525,115.6,112.2,3.3,0.094,0.154,0.082,43.9,16.1
Pete Nance,MIL,-0.6 (45),-0.6 (79),0.0 (66),-0.6,45,-0.6,79,0.0,66,1631250.0,Pete Nance,MIL,25.0,13.0,138.16666666666666,14.0,32.0,0.438,9.0,24.0,0.375,1.0,2.0,0.5,21.0,10.0,2.0,2.0,4.0,38.0,-14.0,0.116,0.578,0.578,107.8,114.8,-7.0,0.106,0.076,0.054,15.85,10.6
Guerschon Yabusele,NYK,0.9 (86),0.9 (13),0.0 (66),0.9,86,0.9,13,0.0,66,1627824.0,Guerschon Yabusele,PHI,29.0,70.0,1894.7366666666667,282.0,563.0,0.501,104.0,274.0,0.38,100.0,138.0,0.725,395.0,148.0,58.0,24.0,87.0,768.0,-118.0,0.163,0.616,0.593,113.5,116.7,-3.2,0.114,0.108,0.092,85.37,27.1
Tyler Kolek,NYK,-0.9 (36),-0.9 (85),0.0 (65),-0.9,36,-0.9,85,0.0,65,1642278.0,Tyler Kolek,NYK,24.0,41.0,296.15166666666664,27.0,82.0,0.329,14.0,47.0,0.298,13.0,17.0,0.765,27.0,70.0,12.0,4.0,18.0,81.0,-1.0,0.152,0.453,0.415,104.1,104.4,-0.3,0.321,0.043,0.072,50.0,7.2
Reed Sheppard,HOU,0.2 (73),0.2 (42),0.0 (65),0.2,73,0.2,42,0.0,65,1642263.0,Reed Sheppard,HOU,21.0,52.0,654.3516666666667,84.0,239.0,0.351,48.0,142.0,0.338,13.0,16.0,0.813,78.0,75.0,35.0,17.0,37.0,229.0,-50.0,0.171,0.465,0.452,108.5,111.1,-2.7,0.153,0.054,0.06,63.41,12.6
Cui Yongxi,BKN,0.0 (68),-0.0 (53),0.0 (65),0.0,68,-0.0,53,0.0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolu Smith,DET,-0.4 (53),-0.4 (72),0.0 (65),-0.4,53,-0.4,72,0.0,65,1642449.0,Tolu Smith,DET,24.0,1.0,22.35,6.0,9.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,8.0,0.0,0.0,0.0,2.0,14.0,7.0,0.2,0.678,0.667,117.4,104.4,12.9,0.0,0.157,0.149,1.22,22.4
Christian Koloko,ATL,-1.2 (25),-1.1 (89),-0.1 (65),-1.2,25,-1.1,89,-0.1,65,1631132.0,Christian Koloko,LAL,25.0,37.0,341.53,40.0,66.0,0.606,0.0,4.0,0.0,10.0,14.0,0.714,92.0,16.0,8.0,16.0,12.0,90.0,-7.0,0.104,0.624,0.606,104.7,106.0,-1.3,0.068,0.129,0.082,45.12,9.2
Luguentz Dort,OKC,-0.3 (61),-0.2 (67),-0.1 (65),-0.3,61,-0.2,67,-0.1,65,1629652.0,Luguentz Dort,OKC,26.0,71.0,2073.3,258.0,593.0,0.435,170.0,413.0,0.412,33.0,46.0,0.717,293.0,115.0,79.0,39.0,51.0,719.0,547.0,0.133,0.586,0.578,120.4,107.3,13.1,0.067,0.067,0.063,86.59,29.2
Cody Zeller,ATL,-0.3 (60),-0.2 (66),-0.1 (65),-0.3,60,-0.2,66,-0.1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,SAC,0.2 (74),0.3 (38),-0.1 (64),0.2,74,0.3,38,-0.1,64,1627734.0,Domantas Sabonis,SAC,29.0,70.0,2428.8766666666666,527.0,893.0,0.59,65.0,156.0,0.417,218.0,289.0,0.754,972.0,423.0,48.0,26.0,202.0,1337.0,144.0,0.213,0.655,0.627,116.5,113.9,2.6,0.251,0.199,0.164,85.37,34.7
Keegan Murray,SAC,-1.0 (34),-0.9 (86),-0.1 (64),-1.0,34,-0.9,86,-0.1,64,1631099.0,Keegan Murray,SAC,24.0,76.0,2610.173333333333,364.0,820.0,0.444,154.0,449.0,0.343,60.0,72.0,0.833,507.0,109.0,61.0,69.0,60.0,942.0,46.0,0.148,0.553,0.538,114.8,113.4,1.5,0.055,0.095,0.075,92.68,34.3
Moritz Wagner,ORL,0.2 (74),0.3 (38),-0.1 (64),0.2,74,0.3,38,-0.1,64,1629021.0,Moritz Wagner,ORL,28.0,30.0,564.1566666666666,140.0,249.0,0.562,27.0,75.0,0.36,79.0,110.0,0.718,148.0,42.0,24.0,12.0,49.0,386.0,-17.0,0.254,0.649,0.616,106.1,107.0,-0.9,0.135,0.131,0.165,36.59,18.8
Markelle Fultz,SAC,-0.5 (50),-0.4 (73),-0.1 (64),-0.5,50,-0.4,73,-0.1,64,1628365.0,Markelle Fultz,SAC,27.0,21.0,184.05833333333334,28.0,67.0,0.418,4.0,8.0,0.5,1.0,1.0,1.0,20.0,27.0,10.0,2.0,15.0,61.0,5.0,0.196,0.452,0.448,109.3,105.7,3.6,0.208,0.058,0.065,25.61,8.8
Mason Plumlee,CHA,0.6 (82),0.7 (19),-0.1 (64),0.6,82,0.7,19,-0.1,64,203486.0,Mason Plumlee,PHX,35.0,74.0,1300.045,125.0,202.0,0.619,0.0,4.0,0.0,83.0,128.0,0.648,455.0,134.0,33.0,47.0,59.0,333.0,54.0,0.105,0.645,0.619,115.2,115.0,0.2,0.133,0.176,0.098,90.24,17.6
