Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PTS,PLUS_MINUS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,PIE,ATTENDANCE_RATE,MPG
John Collins,LAC,0.9 (87),-0.1 (61),1.0 (83),0.9,87,-0.1,61,1.0,83,1628381.0,John Collins,UTA,27.0,40.0,1220.4916666666666,280.0,531.0,0.527,59.0,148.0,0.399,139.0,164.0,0.848,327.0,80.0,39.0,40.0,103.0,758.0,-16.0,0.234,0.628,0.583,112.4,113.3,-0.9,0.105,0.128,0.129,48.78,30.5
Anthony Edwards,MIN,1.6 (93),0.6 (23),1.0 (83),1.6,93,0.6,23,1.0,83,1630162.0,Anthony Edwards,MIN,23.0,79.0,2871.0583333333334,721.0,1612.0,0.447,320.0,811.0,0.395,415.0,496.0,0.837,450.0,359.0,91.0,51.0,249.0,2177.0,291.0,0.307,0.595,0.547,116.2,111.4,4.8,0.209,0.077,0.14,96.34,36.3
Ivica Zubac,LAC,-0.3 (60),-1.3 (94),1.0 (83),-0.3,60,-1.3,94,1.0,83,1627826.0,Ivica Zubac,LAC,28.0,80.0,2624.1766666666667,592.0,942.0,0.628,0.0,0.0,0.0,156.0,236.0,0.661,1010.0,214.0,55.0,90.0,127.0,1340.0,514.0,0.192,0.641,0.628,116.5,107.1,9.4,0.121,0.199,0.157,97.56,32.8
Paul George,PHI,-0.1 (67),-1.1 (90),1.0 (83),-0.1,67,-1.1,90,1.0,83,202331.0,Paul George,PHI,35.0,41.0,1333.5933333333332,245.0,570.0,0.43,96.0,268.0,0.358,79.0,97.0,0.814,219.0,178.0,75.0,20.0,106.0,665.0,-83.0,0.233,0.543,0.514,108.3,112.2,-3.8,0.217,0.083,0.106,50.0,32.5
Naji Marshall,DAL,0.2 (74),-0.8 (83),1.0 (83),0.2,74,-0.8,83,1.0,83,1630230.0,Naji Marshall,DAL,27.0,69.0,1919.0833333333333,362.0,712.0,0.508,60.0,218.0,0.275,130.0,160.0,0.813,328.0,208.0,70.0,11.0,112.0,914.0,-137.0,0.197,0.584,0.551,111.5,114.7,-3.2,0.161,0.084,0.105,84.15,27.8
Gui Santos,GSW,-0.2 (64),-1.2 (92),1.0 (82),-0.2,64,-1.2,92,1.0,82,1630611.0,Gui Santos,GSW,23.0,56.0,761.5233333333333,82.0,179.0,0.458,34.0,103.0,0.33,29.0,42.0,0.69,172.0,80.0,25.0,10.0,42.0,227.0,165.0,0.126,0.575,0.553,117.8,107.3,10.6,0.138,0.106,0.073,68.29,13.6
Elijah Harkless,UTA,0.2 (73),-0.8 (82),1.0 (82),0.2,73,-0.8,82,1.0,82,1641989.0,Elijah Harkless,UTA,25.0,10.0,138.0,11.0,35.0,0.314,7.0,25.0,0.28,3.0,6.0,0.5,21.0,8.0,10.0,1.0,3.0,32.0,31.0,0.12,0.425,0.414,113.2,103.5,9.7,0.073,0.074,0.037,12.2,13.8
David Jones Garcia,SAS,0.7 (84),-0.3 (67),1.0 (82),0.7,84,-0.3,67,1.0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausar Thompson,DET,-0.2 (65),-1.1 (91),0.9 (82),-0.2,65,-1.1,91,0.9,82,1641709.0,Ausar Thompson,DET,22.0,59.0,1327.715,246.0,460.0,0.535,11.0,49.0,0.224,91.0,142.0,0.641,303.0,134.0,98.0,40.0,80.0,594.0,67.0,0.185,0.568,0.547,113.1,109.2,4.0,0.139,0.11,0.104,71.95,22.5
Saddiq Bey,NOP,2.1 (95),1.2 (8),0.9 (82),2.1,95,1.2,8,0.9,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
