Player,Team,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance
Paul Reed,DET,0.5,-0.9,0.179,43.0,54.88,8.644444444444444
Sam Hauser,BOS,1.5,0.1,0.14,325.0,86.59,13.014084507042254
VJ Edgecombe,PHI,0.8,-0.6,,,,
Sam Merrill,CLE,-0.0,-1.3,0.14,321.0,86.59,11.352112676056338
Al Horford,GSW,0.4,-0.9,0.136,397.0,73.17,17.933333333333334
De'Aaron Fox,SAS,1.1,-0.2,0.274,-69.0,75.61,33.725806451612904
Cam Spencer,MEM,1.2,-0.1,0.148,40.0,30.49,6.96
Joan Beringer,MIN,0.8,-0.5,,,,
Dwight Powell,DAL,0.7,-0.6,0.073,-14.0,67.07,5.6
Jalen Brunson,NYK,2.9,1.7,0.289,146.0,79.27,34.707692307692305
Daniel Gafford,DAL,0.5,-0.7,0.186,35.0,69.51,21.54385964912281
Rui Hachimura,LAL,0.7,-0.5,0.156,158.0,71.95,19.915254237288135
Mouhamed Gueye,ATL,-0.0,-1.2,0.155,87.0,40.24,12.393939393939394
Jaylen Wells,MEM,1.9,0.7,0.156,186.0,96.34,15.30379746835443
Myles Turner,MIL,0.9,-0.2,0.207,202.0,87.8,24.680555555555557
Coby White,CHI,1.7,0.6,0.237,-141.0,90.24,27.2972972972973
Cason Wallace,OKC,-0.4,-1.5,0.124,369.0,82.93,15.676470588235293
Austin Reaves,LAL,1.6,0.5,0.23,195.0,89.02,29.465753424657535
Sandro Mamukelashvili,TOR,0.3,-0.8,0.202,-28.0,74.39,10.37704918032787
Obi Toppin,IND,1.9,0.8,0.191,-77.0,96.34,16.265822784810126
Scottie Barnes,TOR,-0.1,-1.2,0.262,-130.0,79.27,32.36923076923077
Chris Boucher,BOS,1.2,0.1,0.208,5.0,60.98,15.58
