PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PTS,PLUS_MINUS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,PIE,ATTENDANCE_RATE,MPG
1641748,Andre Jackson Jr.,MIL,23.0,67,980.0916666666667,94,197,0.477,30,76,0.395,12,24,0.5,182,83,34,14,58,230,-33,0.115,0.554,0.553,110.6,112.1,-1.5,0.109,0.091,0.051,81.71,14.6
1629614,Andrew Nembhard,IND,25.0,65,1880.67,247,539,0.458,51,175,0.291,108,136,0.794,216,326,79,11,112,653,204,0.163,0.545,0.506,115.5,110.2,5.3,0.225,0.057,0.081,79.27,28.9
203952,Andrew Wiggins,MIA,30.0,60,1842.2816666666668,376,839,0.448,130,348,0.374,196,257,0.763,269,158,60,50,99,1078,-100,0.238,0.566,0.526,109.4,111.7,-2.3,0.137,0.069,0.105,73.17,30.7
1629014,Anfernee Simons,POR,26.0,70,2291.8983333333335,479,1125,0.426,215,593,0.363,175,194,0.902,189,337,60,5,143,1348,-220,0.241,0.557,0.521,108.8,113.4,-4.6,0.241,0.039,0.106,85.37,32.7
1641710,Anthony Black,ORL,21.0,78,1886.9933333333333,262,620,0.423,62,195,0.318,150,197,0.761,230,240,86,48,139,736,-40,0.19,0.521,0.473,106.2,107.1,-0.9,0.201,0.061,0.084,95.12,24.2
203076,Anthony Davis,DAL,32.0,51,1705.4883333333332,470,910,0.516,35,124,0.282,286,369,0.775,590,181,59,110,113,1261,25,0.301,0.588,0.536,113.3,112.9,0.5,0.182,0.173,0.179,62.2,33.4
1630162,Anthony Edwards,MIN,23.0,79,2871.0583333333334,721,1612,0.447,320,811,0.395,415,496,0.837,450,359,91,51,249,2177,291,0.307,0.595,0.547,116.2,111.4,4.8,0.209,0.077,0.14,96.34,36.3
1630264,Anthony Gill,WAS,32.0,51,397.575,43,88,0.489,10,31,0.323,33,50,0.66,66,16,9,2,10,129,-73,0.124,0.586,0.545,101.9,109.7,-7.8,0.059,0.077,0.071,62.2,7.8
1641817,Anton Watson,NYK,24.0,9,22.166666666666668,4,9,0.444,0,1,0.0,0,0,0.0,3,2,1,0,2,8,-9,0.193,0.444,0.444,103.9,119.2,-15.3,0.125,0.081,0.033,10.98,2.5
1641810,Antonio Reeves,NOP,24.0,44,659.5583333333333,113,248,0.456,51,129,0.395,28,35,0.8,63,39,21,4,30,305,-150,0.183,0.579,0.558,107.3,117.5,-10.2,0.089,0.047,0.072,53.66,15.0
1630574,Ariel Hukporti,NYK,23.0,25,217.365,21,31,0.677,0,0,0.0,6,13,0.462,51,11,1,15,21,48,-63,0.113,0.654,0.677,97.6,110.1,-12.4,0.075,0.112,0.048,30.49,8.7
1642422,Armel Traore,LAL,22.0,9,66.66666666666667,6,19,0.316,0,7,0.0,2,7,0.286,15,1,4,2,3,14,-49,0.153,0.317,0.316,81.9,119.3,-37.3,0.026,0.111,0.027,10.98,7.4
1641709,Ausar Thompson,DET,22.0,59,1327.715,246,460,0.535,11,49,0.224,91,142,0.641,303,134,98,40,80,594,67,0.185,0.568,0.547,113.1,109.2,4.0,0.139,0.11,0.104,71.95,22.5
1630559,Austin Reaves,LAL,27.0,73,2550.0916666666667,477,1037,0.46,200,531,0.377,321,366,0.877,329,421,81,22,177,1475,195,0.23,0.616,0.556,117.1,113.3,3.8,0.241,0.065,0.118,89.02,34.9
1630245,Ayo Dosunmu,CHI,25.0,46,1393.8833333333334,221,449,0.492,62,189,0.328,62,79,0.785,161,208,43,18,69,566,-234,0.163,0.585,0.561,110.1,117.8,-7.7,0.21,0.054,0.084,56.1,30.3
1628389,Bam Adebayo,MIA,27.0,78,2673.693333333333,540,1113,0.485,79,221,0.357,251,328,0.765,749,337,98,53,161,1410,27,0.232,0.561,0.521,110.9,110.8,0.1,0.204,0.141,0.137,95.12,34.3
1631248,Baylor Scheierman,BOS,24.0,31,383.8883333333333,39,110,0.355,26,82,0.317,9,12,0.75,65,33,17,2,12,113,29,0.143,0.49,0.473,109.9,105.8,4.1,0.12,0.083,0.074,37.8,12.4
1641767,Ben Sheppard,IND,23.0,63,1229.5583333333334,120,287,0.418,68,199,0.342,24,27,0.889,177,85,38,14,22,332,-59,0.108,0.555,0.537,111.2,113.4,-2.2,0.087,0.07,0.055,76.83,19.5
1627732,Ben Simmons,LAC,28.0,51,1119.6933333333334,116,223,0.52,0,0,0.0,24,33,0.727,241,285,38,23,102,256,-56,0.133,0.539,0.52,111.7,113.5,-1.8,0.358,0.113,0.103,62.2,22.0
1631097,Bennedict Mathurin,IND,23.0,72,2149.318333333333,391,853,0.458,98,288,0.34,276,332,0.831,383,136,47,24,135,1156,94,0.222,0.579,0.516,113.8,112.2,1.6,0.09,0.088,0.092,87.8,29.9
