Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile
Sam Merrill,CLE,-0.0 (70),-1.3 (93),1.3 (87),-0.0,70,-1.3,93,1.3,87
Al Horford,GSW,0.4 (79),-0.9 (86),1.3 (86),0.4,79,-0.9,86,1.3,86
De'Aaron Fox,SAS,1.1 (89),-0.2 (65),1.3 (86),1.1,89,-0.2,65,1.3,86
Cam Spencer,MEM,1.2 (89),-0.1 (59),1.3 (86),1.2,89,-0.1,59,1.3,86
Joan Beringer,MIN,0.8 (86),-0.5 (76),1.3 (86),0.8,86,-0.5,76,1.3,86
Dwight Powell,DAL,0.7 (85),-0.6 (80),1.3 (86),0.7,85,-0.6,80,1.3,86
Jalen Brunson,NYK,2.9 (98),1.7 (2),1.2 (86),2.9,98,1.7,2,1.2,86
Daniel Gafford,DAL,0.5 (82),-0.7 (82),1.2 (86),0.5,82,-0.7,82,1.2,86
Rui Hachimura,LAL,0.7 (84),-0.5 (77),1.2 (85),0.7,84,-0.5,77,1.2,85
Mouhamed Gueye,ATL,-0.0 (69),-1.2 (92),1.2 (85),-0.0,69,-1.2,92,1.2,85
Jaylen Wells,MEM,1.9 (94),0.7 (18),1.2 (85),1.9,94,0.7,18,1.2,85
Myles Turner,MIL,0.9 (88),-0.2 (67),1.1 (85),0.9,88,-0.2,67,1.1,85
Coby White,CHI,1.7 (93),0.6 (24),1.1 (85),1.7,93,0.6,24,1.1,85
Cason Wallace,OKC,-0.4 (56),-1.5 (96),1.1 (85),-0.4,56,-1.5,96,1.1,85
Austin Reaves,LAL,1.6 (92),0.5 (28),1.1 (84),1.6,92,0.5,28,1.1,84
Sandro Mamukelashvili,TOR,0.3 (77),-0.8 (83),1.1 (84),0.3,77,-0.8,83,1.1,84
Obi Toppin,IND,1.9 (94),0.8 (18),1.1 (84),1.9,94,0.8,18,1.1,84
Scottie Barnes,TOR,-0.1 (67),-1.2 (92),1.1 (84),-0.1,67,-1.2,92,1.1,84
Chris Boucher,BOS,1.2 (90),0.1 (49),1.1 (84),1.2,90,0.1,49,1.1,84
Damian Lillard,MIL,0.4 (80),-0.6 (81),1.0 (84),0.4,80,-0.6,81,1.0,84
Jaime Jaquez Jr.,MIA,0.5 (82),-0.5 (78),1.0 (84),0.5,82,-0.5,78,1.0,84
Brandon Miller,CHA,0.7 (84),-0.3 (70),1.0 (83),0.7,84,-0.3,70,1.0,83
John Collins,LAC,0.9 (87),-0.1 (61),1.0 (83),0.9,87,-0.1,61,1.0,83
Anthony Edwards,MIN,1.6 (93),0.6 (23),1.0 (83),1.6,93,0.6,23,1.0,83
Ivica Zubac,LAC,-0.3 (60),-1.3 (94),1.0 (83),-0.3,60,-1.3,94,1.0,83
Paul George,PHI,-0.1 (67),-1.1 (90),1.0 (83),-0.1,67,-1.1,90,1.0,83
Naji Marshall,DAL,0.2 (74),-0.8 (83),1.0 (83),0.2,74,-0.8,83,1.0,83
Gui Santos,GSW,-0.2 (64),-1.2 (92),1.0 (82),-0.2,64,-1.2,92,1.0,82
Elijah Harkless,UTA,0.2 (73),-0.8 (82),1.0 (82),0.2,73,-0.8,82,1.0,82
David Jones Garcia,SAS,0.7 (84),-0.3 (67),1.0 (82),0.7,84,-0.3,67,1.0,82
Ausar Thompson,DET,-0.2 (65),-1.1 (91),0.9 (82),-0.2,65,-1.1,91,0.9,82
Saddiq Bey,NOP,2.1 (95),1.2 (8),0.9 (82),2.1,95,1.2,8,0.9,82
Julius Randle,MIN,1.3 (91),0.4 (34),0.9 (82),1.3,91,0.4,34,0.9,82
Brandon Ingram,TOR,0.5 (81),-0.4 (74),0.9 (82),0.5,81,-0.4,74,0.9,82
Jaden McDaniels,MIN,0.1 (72),-0.8 (84),0.9 (81),0.1,72,-0.8,84,0.9,81
Isaiah Joe,OKC,0.7 (85),-0.2 (66),0.9 (81),0.7,85,-0.2,66,0.9,81
Bogdan Bogdanović,LAC,0.3 (78),-0.6 (79),0.9 (81),0.3,78,-0.6,79,0.9,81
Jordan Walsh,BOS,1.2 (90),0.3 (37),0.9 (81),1.2,90,0.3,37,0.9,81
Yuki Kawamura,MEM,0.7 (84),-0.2 (63),0.9 (81),0.7,84,-0.2,63,0.9,81
Mitchell Robinson,NYK,0.4 (80),-0.4 (75),0.8 (81),0.4,80,-0.4,75,0.8,81
Immanuel Quickley,TOR,0.4 (80),-0.4 (75),0.8 (80),0.4,80,-0.4,75,0.8,80
Draymond Green,GSW,-1.2 (27),-2.0 (98),0.8 (80),-1.2,27,-2.0,98,0.8,80
Desmond Bane,ORL,0.9 (87),0.1 (50),0.8 (80),0.9,87,0.1,50,0.8,80
Toumani Camara,POR,-0.2 (65),-1.0 (88),0.8 (80),-0.2,65,-1.0,88,0.8,80
Tobias Harris,DET,-0.3 (61),-1.1 (91),0.8 (80),-0.3,61,-1.1,91,0.8,80
Jaylen Brown,BOS,1.6 (93),0.8 (17),0.8 (80),1.6,93,0.8,17,0.8,80
Jabari Smith Jr.,HOU,0.2 (75),-0.6 (80),0.8 (80),0.2,75,-0.6,80,0.8,80
James Harden,LAC,1.6 (93),0.8 (16),0.8 (79),1.6,93,0.8,16,0.8,79
Anthony Davis,DAL,-0.2 (65),-1.0 (88),0.8 (79),-0.2,65,-1.0,88,0.8,79
Jordan McLaughlin,SAS,0.2 (73),-0.6 (79),0.8 (79),0.2,73,-0.6,79,0.8,79
Daishen Nix,MIN,0.6 (82),-0.2 (64),0.8 (79),0.6,82,-0.2,64,0.8,79
Donovan Clingan,POR,0.0 (69),-0.8 (83),0.8 (79),0.0,69,-0.8,83,0.8,79
Harrison Ingram,SAS,0.6 (82),-0.2 (63),0.8 (79),0.6,82,-0.2,63,0.8,79
Day'Ron Sharpe,BKN,-0.6 (48),-1.4 (95),0.8 (78),-0.6,48,-1.4,95,0.8,78
Isaac Okoro,CHI,0.7 (85),0.0 (57),0.7 (78),0.7,85,0.0,57,0.7,78
Jalen Duren,DET,1.2 (90),0.5 (28),0.7 (78),1.2,90,0.5,28,0.7,78
Zion Williamson,NOP,1.0 (88),0.3 (39),0.7 (78),1.0,88,0.3,39,0.7,78
Ja Morant,MEM,-0.2 (64),-0.9 (85),0.7 (78),-0.2,64,-0.9,85,0.7,78
Aaron Nesmith,IND,0.8 (86),0.2 (45),0.6 (78),0.8,86,0.2,45,0.6,78
Malik Beasley,DET,-0.2 (65),-0.8 (84),0.6 (78),-0.2,65,-0.8,84,0.6,78
Bam Adebayo,MIA,-0.1 (68),-0.7 (82),0.6 (77),-0.1,68,-0.7,82,0.6,77
Josh Okogie,HOU,-0.0 (70),-0.6 (80),0.6 (77),-0.0,70,-0.6,80,0.6,77
Lamar Stevens,MEM,-0.6 (46),-1.1 (90),0.5 (77),-0.6,46,-1.1,90,0.5,77
