Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score,Salary
268,Jeremiah Robinson-Earl,DAL,24,-0.5,2.4,0.14,-331,80.49,12.36363636,0.42245399,3586956.5
269,Jaxson Hayes,LAL,25,-1.3,-0.2,0.12,87,68.29,13.375,0.420961727,3449323
270,Aaron Holiday,HOU,28,-1.2,-0.9,0.162,88,75.61,7.967741935,0.41974087,3080921
271,Cam Whitmore,WAS,20,-0.1,1.5,0.231,-1,62.2,13.23529412,0.419168837,3539760
272,Ryan Rollins,MIL,22,-0.6,-0.4,0.179,83,68.29,10.125,0.419099319,4000000
273,Khris Middleton,WAS,33,0.2,0.6,0.208,39,45.12,19.2972973,0.417948846,33296296
274,Kyle Anderson,UTA,31,-2.8,-0.7,0.152,-22,74.39,12.19672131,0.416116599,3586956.5
275,Jaden Ivey,DET,23,-0.5,1.1,0.256,-62,36.59,24.03333333,0.415713119,10107163
276,Ayo Dosunmu,CHI,25,-0.9,1.4,0.163,-234,56.1,20.15217391,0.414443553,7518518
277,Ben Sheppard,IND,23,-0.6,0.8,0.108,-59,76.83,9.904761905,0.413854187,2790720
278,Jonathan Mogbo,TOR,23,-2.8,0.3,0.145,-241,76.83,13.73015873,0.413514976,1955377
279,Vít Krejčí,ATL,25,-1.1,0.2,0.131,-66,69.51,12.75438596,0.413482713,3586956.5
280,Gui Santos,GSW,23,-0.2,-1.2,0.126,165,68.29,8.428571429,0.413063651,2221677
281,Jordan Clarkson,NYK,33,-1.5,0.6,0.269,-204,45.12,21.89189189,0.41256846,3634153
282,Jay Huff,IND,27,-3.9,-1.1,0.194,25,78.05,10.0625,0.411767952,2349578
283,Ben Simmons,LAC,28,-0.6,0.1,0.133,-56,62.2,14.52941176,0.411529646,3586956.5
284,Jaden Hardy,DAL,22,-1.7,0.5,0.244,-65,69.51,10.8245614,0.410879214,6000000
285,Marcus Sasser,DET,24,-1,0.3,0.187,41,69.51,9.894736842,0.410058599,2886720
286,Tyrese Martin,BKN,26,-2.1,1.3,0.179,-258,73.17,13.88333333,0.409969405,2191897
287,Trendon Watford,PHI,24,-0.6,0,0.226,-65,53.66,15.47727273,0.409338238,2461463
288,Precious Achiuwa,SAC,25,-2.3,0.5,0.143,-48,69.51,13.94736842,0.407636134,2453285
289,Jordan Hawkins,NOP,23,-1.5,1.6,0.204,-317,68.29,14.69642857,0.407386741,3586956.5
290,Adem Bona,PHI,22,-1,-0.1,0.135,-112,70.73,11.0862069,0.407256028,1955377
291,Andre Jackson Jr.,MIL,23,-1.3,0.9,0.115,-33,81.71,7.23880597,0.403220476,2221677
292,Tre Jones,CHI,25,0.1,0,0.136,-31,56.1,14.13043478,0.401562275,8000000
293,Jamison Battle,TOR,24,-1.2,0.4,0.147,-183,71.95,10.6779661,0.400142556,1955377
294,Cody Martin,IND,29,-2.2,-1,0.142,-105,64.63,13.66037736,0.39995732,3586956.5
295,Kelly Olynyk,SAS,34,-0.8,0.5,0.185,-58,53.66,15.77272727,0.397987044,13445122
296,Pelle Larsson,MIA,24,0.4,0,0.141,10,67.07,7.690909091,0.396928444,1955377
297,Moritz Wagner,ORL,28,0.2,0.3,0.254,-17,36.59,18.76666667,0.395742284,5000000
298,Tidjane Salaün,CHA,19,-2.2,-0.3,0.15,-321,73.17,11.53333333,0.395533662,7863240
299,Nick Smith Jr.,LAL,21,-2.8,1.6,0.205,-398,73.17,13.41666667,0.392700025,3586956.5
300,Ja'Kobe Walter,TOR,20,-2,0.9,0.179,-83,63.41,13.32692308,0.390058814,3638160
301,Alec Burks,MIA,33,-0.7,0.5,0.16,110,59.76,11.04081633,0.389359517,3080921
302,Blake Wesley,POR,22,-0.5,0.4,0.165,-9,70.73,6.568965517,0.389252166,2378870
303,Drew Eubanks,SAC,28,-2.3,0.3,0.149,-126,74.39,9.344262295,0.388628872,3080921
304,Noah Clowney,BKN,20,-0.3,0.6,0.185,-261,56.1,13.91304348,0.38684529,3398640
305,Quinten Post,GSW,25,-0.8,-0.5,0.197,43,51.22,12.97619048,0.386183009,1955377
306,Jett Howard,ORL,21,-0.8,0.8,0.181,-86,73.17,6.15,0.38569517,5529720
307,Marcus Smart,LAL,31,0.4,-1.1,0.198,42,41.46,14.11764706,0.38410209,5134000
308,Reed Sheppard,HOU,21,0.2,0.2,0.171,-50,63.41,7.634615385,0.383509721,10603560
309,Paul Reed,DET,26,0.5,-0.9,0.179,43,54.88,8.644444444,0.383123947,5335894
310,DeAndre Jordan,NOP,36,-1.9,0.1,0.126,-47,68.29,9.803571429,0.379845368,3592381
311,Shake Milton,LAL,28,-1.9,0.2,0.162,-118,69.51,8.947368421,0.379527844,3080921
312,Ajay Mitchell,OKC,23,0.3,-3.4,0.159,127,43.9,10.16666667,0.377463931,3000000
313,Dwight Powell,DAL,33,0.7,-0.6,0.073,-14,67.07,5.6,0.376801244,4000000
314,Landry Shamet,NYK,28,-0.3,-0.3,0.143,88,60.98,7.54,0.375303699,3080921
315,Josh Okogie,HOU,26,0,-0.6,0.185,-13,48.78,11.625,0.374816441,3080921
316,Orlando Robinson,ORL,24,-1.1,0.5,0.177,-87,53.66,13.27272727,0.373617645,3080921
317,Caleb Houstan,ATL,22,-0.7,0.3,0.115,-66,70.73,6.275862069,0.37314476,3080921
318,Svi Mykhailiuk,UTA,28,0.6,0.2,0.198,-106,46.34,12.47368421,0.372118752,3080921
319,Lindy Waters III,SAS,27,-1,0.3,0.145,13,63.41,8.384615385,0.371567925,2461463
320,Malcolm Brogdon,WAS,32,0.1,0,0.231,-121,29.27,19.75,0.371322624,3080921
321,Lonzo Ball,CLE,27,-1.2,-1.5,0.152,100,42.68,14.94285714,0.371210595,10000000
322,Jared McCain,PHI,21,-0.4,-0.6,0.243,-27,28.05,19.39130435,0.370641507,3080921
323,Jalen Pickett,DEN,25,-0.6,-0.8,0.13,52,59.76,7.714285714,0.368425763,2221677
324,Karlo Matković,NOP,24,-1.5,0,0.155,-89,51.22,14.28571429,0.367839208,1755198
325,Garrison Mathews,IND,28,-1,0.3,0.153,-60,57.32,10.85106383,0.36768998,3080921
326,Cory Joseph,ORL,33,0.3,0.4,0.126,35,60.98,6.7,0.365681367,3080921
327,Jae'Sean Tate,HOU,29,-1.5,-1.1,0.126,51,63.41,6.980769231,0.364578945,3080921
328,Caleb Martin,DAL,29,-2.6,-0.4,0.143,-155,54.88,14.24444444,0.362082757,8556451
329,Jaylon Tyson,CLE,22,0.4,0,0.164,-2,57.32,6.319148936,0.361022202,3492480
330,Andre Drummond,PHI,31,-1.7,0.7,0.183,-245,48.78,15.975,0.360998374,5000000
331,Collin Gillespie,PHX,26,1.4,-0.9,0.17,-29,40.24,10.87878788,0.359738321,2378870
332,Mouhamed Gueye,ATL,22,0,-1.2,0.155,87,40.24,12.39393939,0.358576234,2221677
333,Craig Porter Jr.,CLE,25,-0.1,0.9,0.155,-45,62.2,6.274509804,0.358546427,2221677
334,Jordan Walsh,BOS,21,1.2,0.3,0.11,25,63.41,3.384615385,0.35849553,2221677
335,Dillon Jones,OKC,23,-1.7,-0.3,0.131,75,65.85,5.666666667,0.356505945,3080921
336,Justin Edwards,PHI,21,-0.7,3.8,0.165,-280,53.66,15.31818182,0.355340567,2048494
337,Luka Garza,BOS,26,1.6,-0.3,0.241,1,47.56,5.128205128,0.354466658,2461463
338,Herbert Jones,NOP,26,0.3,-2.4,0.146,-20,24.39,17.95,0.354348536,3080921
339,Rob Dillingham,MIN,20,-2.1,0,0.215,19,59.76,6.836734694,0.351085957,6576120
340,Jock Landale,MEM,29,0.6,1.2,0.148,-25,51.22,8.952380952,0.350094831,2461463
341,Zeke Nnaji,DEN,24,-2.5,0.1,0.119,-23,69.51,6.070175439,0.349864137,8177778
342,Bruce Brown,DEN,28,-1.4,1.6,0.169,-226,50,14.46341463,0.349602518,3080921
343,Richaun Holmes,WAS,31,-0.1,0,0.143,-36,37.8,14.83870968,0.349001282,3080921
344,Antonio Reeves,CHA,24,-0.3,1,0.183,-150,53.66,9.136363636,0.348576953,3080921
345,KJ Martin,UTA,24,-0.3,0.4,0.112,-142,52.44,10.74418605,0.348072785,3080921
346,DaQuan Jeffries,CHA,27,-0.8,1.5,0.136,-276,57.32,11.04255319,0.347555028,3080921
347,Brandon Williams,DAL,25,-0.3,0.5,0.218,10,40.24,12.09090909,0.347168724,2270735
348,Bol Bol,PHX,25,-0.3,0,0.204,-37,43.9,10.66666667,0.347015852,3080921
349,Jeff Dowtin Jr.,PHI,28,-1.1,0.7,0.176,-103,50,10.82926829,0.342711494,3080921
350,Jordan McLaughlin,SAS,29,0.2,-0.6,0.134,57,56.1,3.913043478,0.340154097,2874436
351,Johnny Furphy,IND,20,-0.5,0.1,0.118,22,60.98,4.2,0.338145672,1955377
352,Josh Minott,BOS,22,0,-0.1,0.16,-16,56.1,4.347826087,0.337673726,2378870
353,Malaki Branham,WAS,22,-1.8,1,0.233,-33,57.32,6.446808511,0.3375724,4962033
354,Jarred Vanderbilt,LAL,26,-0.4,-0.4,0.116,35,43.9,10.72222222,0.33698187,11571429
355,Tristan Vukcevic,WAS,22,-2.4,1,0.252,-125,42.68,14.02857143,0.33680286,3080921
356,Vince Williams Jr.,MEM,24,0.8,-0.8,0.166,6,32.93,11.77777778,0.336530493,3080921
357,Olivier-Maxence Prosper,MEM,22,-2.9,0.5,0.158,-104,63.41,7.403846154,0.335191602,3080921
358,Eric Gordon,PHI,36,-0.5,0.3,0.14,-72,47.56,9.923076923,0.334574766,3634153
359,Gary Harris,MIL,30,-0.9,-0.1,0.09,86,58.54,5.416666667,0.33404869,3080921
360,Duop Reath,POR,29,-1,1.1,0.162,-55,56.1,7,0.332838024,2221677
361,Kai Jones,DAL,24,-0.8,0.1,0.128,-21,48.78,9.2,0.331558754,3080921
362,Jordan Goodwin,PHX,26,0.2,-1.4,0.134,-11,35.37,11.37931034,0.331369263,2349578
363,John Konchar,MEM,29,-1.9,-1.2,0.077,58,56.1,7.239130435,0.331130575,6165000
364,Daniel Theis,NOP,33,-0.4,0.4,0.111,-61,46.34,10.5,0.330681968,3080921
365,Pat Connaughton,CHA,32,-1.5,0.5,0.151,-13,50,9.536585366,0.330460161,9423869
366,Tosan Evbuomwan,NYK,24,-1.7,-0.2,0.183,-66,34.15,15.60714286,0.330233289,3080921
367,A.J. Lawson,TOR,24,0,0.7,0.189,-17,31.71,13.73076923,0.328041054,3080921
368,Anthony Gill,WAS,32,-1.6,-0.4,0.124,-73,62.2,4.156862745,0.327371382,2667947
369,De'Anthony Melton,GSW,27,2.5,-1.2,0.223,27,7.32,16.33333333,0.326139298,3080921
370,Devin Carter,SAC,23,-0.3,-0.5,0.169,43,43.9,7.277777778,0.324992485,4923720
371,Micah Potter,IND,27,0,0.4,0.102,-104,46.34,9.315789474,0.323417677,1527805
372,Jaylen Clark,MIN,23,-0.9,-0.8,0.115,44,48.78,6.8,0.321435589,2191897
373,Lonnie Walker IV,PHI,26,-0.7,0.8,0.214,-142,24.39,17.5,0.320217655,3080921
374,Jevon Carter,CHI,29,-0.4,0.1,0.2,37,43.9,6.583333333,0.31968671,3080921
375,Jericho Sims,MIL,26,-3.4,0.1,0.074,25,64.63,6.113207547,0.31826242,2461463
376,Kevin Love,UTA,36,1.5,1.1,0.23,-25,28.05,10.56521739,0.317614025,4150000
377,Rayan Rupert,POR,21,-2.8,0.5,0.156,-86,63.41,4.615384615,0.317518194,2221677
378,Dominick Barlow,PHI,22,0,0,0.141,-2,42.68,7.771428571,0.317136085,3080921
379,Marvin Bagley III,WAS,26,0.2,-0.2,0.2,-10,37.8,7.612903226,0.315490647,3080921
380,KJ Simpson,CHA,22,-2.3,1.4,0.188,-278,43.9,13.52777778,0.315160749,3080921
381,Grant Williams,CHA,26,-0.3,0.1,0.146,10,19.51,18,0.314979369,13645500
382,Ousmane Dieng,OKC,22,-1.2,-0.8,0.152,45,45.12,7.027027027,0.31487551,6670882
383,Colby Jones,DET,23,-0.7,0.3,0.138,-112,47.56,7.794871795,0.314570546,3080921
384,Jaden Springer,UTA,22,-0.8,0.1,0.139,-32,52.44,4.930232558,0.314232574,3080921
385,Delon Wright,NYK,33,-1.7,-1,0.111,1,48.78,7.325,0.313447929,3080921
386,GG Jackson,MEM,20,-0.3,1.4,0.219,-68,35.37,10.89655172,0.313007722,3080921
387,Tyler Kolek,NYK,24,-0.9,-0.9,0.152,-1,50,4.292682927,0.312655843,2191897
388,Hunter Tyson,DEN,25,-3.3,-0.4,0.146,-98,62.2,4.588235294,0.311617841,2221677
389,Quenton Jackson,IND,26,-0.6,-1.1,0.167,-1,34.15,9.607142857,0.309449437,3080921
390,Jordan Miller,LAC,25,-0.6,0.2,0.175,-63,45.12,6.486486486,0.30940621,3080921
391,Tre Mann,CHA,24,-0.7,1.6,0.25,-55,15.85,18.92307692,0.309384472,8000000
392,Oscar Tshiebwe,UTA,25,0.3,0.2,0.144,-11,17.07,17.28571429,0.307797693,3080921
393,Cody Williams,UTA,20,-2.4,1.9,0.122,-339,60.98,7.94,0.307788289,5742480
394,Pat Spencer,GSW,28,-1.4,-0.2,0.204,-17,47.56,4.897435897,0.3064931,3080921
395,Kessler Edwards,DAL,24,-0.9,1.4,0.11,-158,48.78,8.7,0.306181345,3080921
396,Branden Carlson,OKC,26,0,0.2,0.185,41,39.02,6.53125,0.306145419,3080921
397,Danté Exum,DAL,29,0,-0.3,0.193,-48,24.39,12.8,0.305686648,3080921
398,Charles Bassey,MEM,24,-1.8,0.6,0.164,-129,43.9,9.638888889,0.303995564,3080921
399,Larry Nance Jr.,CLE,32,-2,-0.3,0.155,-95,29.27,15.04166667,0.301582503,3634153
400,Bones Hyland,MIN,24,-0.7,-0.8,0.274,-31,29.27,8.458333333,0.30089402,3634153
401,Jamal Cain,ORL,26,-1.3,1.3,0.167,-132,45.12,8.459459459,0.300869737,3634153
402,Drew Timme,LAL,24,-1.2,0.3,0.205,-66,10.98,20.44444444,0.299799556,3634153
403,Mo Bamba,TOR,27,-1.7,0,0.15,-75,39.02,10.03125,0.297990286,3634153
404,AJ Johnson,WAS,20,-1.6,0.3,0.173,-152,35.37,11.55172414,0.296474603,3090480
405,Robert Williams III,POR,27,-0.6,-0.3,0.12,-17,24.39,14.2,0.296259665,13285713
406,Christian Koloko,ATL,25,-1.2,-1.1,0.104,-7,45.12,5.675675676,0.296018548,3634153
407,Keaton Wallace,ATL,26,-2.3,-0.6,0.164,-19,37.8,9.774193548,0.295045484,2296274
408,Cam Spencer,MEM,25,1.2,-0.1,0.148,40,30.49,6.96,0.293605715,2537989
409,Doug McDermott,SAC,33,-1.1,1.9,0.15,27,51.22,4.19047619,0.293196305,3634153
410,Kyle Lowry,PHI,39,-2.2,-0.6,0.1,-71,42.68,9.257142857,0.293042621,3634153
411,Jared Rhoden,TOR,25,0.7,0.2,0.183,64,17.07,12.78571429,0.292540539,3634153
412,Alex Len,LAL,32,-2,0.5,0.101,-153,56.1,4.717391304,0.292199934,3634153
413,Isaac Jones,DET,24,-1.5,0.6,0.152,-64,48.78,5.05,0.291898506,1955377
414,Mitchell Robinson,NYK,27,0.4,-0.4,0.109,23,20.73,13.23529412,0.291833711,12954546
415,Maxi Kleber,LAL,33,-0.7,-0.3,0.085,-17,41.46,7.176470588,0.291581933,11000000
416,David Roddy,HOU,24,-1.3,0.7,0.159,-76,40.24,8.272727273,0.290751301,3634153
417,Bismack Biyombo,SAS,32,-1.3,1.1,0.124,-100,34.15,12.32142857,0.289756992,3634153
418,Adam Flagler,OKC,25,-1.5,-0.5,0.207,7,45.12,3,0.288585062,3634153
419,MarJon Beauchamp,NYK,24,-1.3,-0.2,0.222,9,42.68,3.542857143,0.288040585,3634153
420,Trevelin Queen,ORL,28,-1.5,0.3,0.176,-86,37.8,8.483870968,0.287825568,3634153
421,Trey Jemison III,NYK,25,-1.6,0.3,0.121,-18,46.34,5.684210526,0.286719166,3634153
422,Tolu Smith,DET,24,-0.4,-0.4,0.2,7,1.22,20,0.285261573,3634153
423,Matisse Thybulle,POR,28,-1.2,-1,0.135,1,18.29,14.73333333,0.282776282,11550000
424,Baylor Scheierman,BOS,24,-1.5,-0.3,0.143,29,37.8,7.032258065,0.282425617,2619000
425,Terrence Shannon Jr.,MIN,24,-1.2,1.1,0.166,11,39.02,6.6875,0.280192908,2674080
426,Wendell Moore Jr.,DET,23,-2.4,0.4,0.133,-134,43.9,7.916666667,0.279906056,3634153
427,Tristan Thompson,CLE,34,-2.7,0,0.123,-85,48.78,5.65,0.279034003,3634153
428,Reggie Jackson,PHI,35,-1.9,0.2,0.17,-19,37.8,7.258064516,0.27751021,3634153
429,Colin Castleton,TOR,25,-1.8,-0.1,0.125,-30,31.71,10.30769231,0.274931452,3634153
430,Jeff Green,HOU,38,-1.4,1.7,0.144,-38,39.02,7.84375,0.274537275,3634153
431,Reece Beekman,BKN,23,-1.9,0.1,0.122,-117,43.9,5.805555556,0.27258656,3634153
432,Johnny Davis,WAS,23,-1.2,0.4,0.15,-26,41.46,4.205882353,0.27058096,3634153
433,Elfrid Payton,NOP,31,-2.6,0.2,0.151,-149,29.27,12.75,0.270482067,3634153
434,Cam Reddish,LAL,25,-1.3,0.2,0.084,-91,40.24,6.787878788,0.269546661,3634153
435,Kobe Brown,LAC,25,-2.2,1.2,0.134,-53,48.78,4.125,0.269361955,2654880
436,Taj Gibson,CHA,40,-3.4,-0.2,0.132,-124,45.12,6.756756757,0.267785391,3634153
437,Isaiah Wong,CHA,24,-1.6,-0.6,0.22,-6,24.39,8.65,0.26591684,3634153
438,Damion Lee,PHX,32,-1.4,0,0.269,25,30.49,4.4,0.263457548,3634153
439,Keion Brooks Jr.,NOP,24,-1.6,1.2,0.169,-145,17.07,15.78571429,0.263012793,3634153
440,Lamar Stevens,MEM,27,-0.6,-1.1,0.21,67,20.73,6.941176471,0.261281213,3634153
441,Killian Hayes,BKN,23,-0.5,0.8,0.145,-24,7.32,17,0.260805966,3634153
442,Patty Mills,LAC,36,-1.8,-0.4,0.15,-15,35.37,5.448275862,0.259722956,3634153
443,Tyler Smith,MIL,20,-0.2,-0.3,0.205,8,28.05,4.130434783,0.258837959,3634153
444,Marcus Bagley,PHI,23,-1.1,0.6,0.128,-84,12.2,16.1,0.256971628,3634153
445,Maxwell Lewis,BKN,22,-2.1,0.4,0.164,-68,34.15,6.857142857,0.255711741,3634153
446,Alex Reese,PHI,26,0.4,0.2,0.123,19,18.29,9.4,0.255289897,3634153
447,Torrey Craig,BOS,34,-2,0.4,0.139,-49,31.71,8.076923077,0.254518264,3634153
448,Isaiah Jackson,IND,23,-0.4,0.2,0.164,10,6.1,14.8,0.252775388,7600000
449,Markelle Fultz,SAC,27,-0.5,-0.4,0.196,5,25.61,5,0.252624691,3634153
450,Drew Peterson,CHA,25,-0.3,-0.2,0.121,46,30.49,4.24,0.251749789,2135085.5
451,Patrick Baldwin Jr.,LAC,22,0.1,-0.2,0.151,29,29.27,3.375,0.251559954,2135085.5
452,Xavier Tillman,BOS,26,-1.6,-0.2,0.125,-12,40.24,2.606060606,0.251295553,2546675
453,Yuki Kawamura,MEM,24,0.7,-0.2,0.167,27,26.83,2.909090909,0.251213368,2135085.5
454,Dariq Whitehead,BKN,20,-0.7,0.6,0.189,-64,24.39,7.35,0.250241348,2135085.5
455,Damion Baugh,CHA,24,-1.9,1,0.186,-169,18.29,13.4,0.24954246,2135085.5
456,Lester Quinones,NOP,24,-0.6,0.2,0.213,-26,15.85,9.230769231,0.248048226,2135085.5
457,Nate Williams,HOU,26,0.2,0.4,0.212,-24,24.39,4.25,0.247767345,2135085.5
458,Jalen Hood-Schifino,PHI,22,-0.6,1.2,0.164,-96,18.29,10.93333333,0.247099504,2135085.5
459,Dru Smith,MIA,27,-2.5,-1.9,0.131,38,17.07,11.14285714,0.245551594,2378870
460,Moses Brown,DAL,25,-0.9,0.6,0.216,-14,15.85,9.307692308,0.242993733,2135085.5
461,Oshae Brissett,PHI,27,-0.3,0,0.154,-31,7.32,12.83333333,0.24140989,2135085.5
462,Bronny James,LAL,20,-1.8,0.4,0.199,-71,32.93,3.740740741,0.240155766,1955377
463,Cole Swider,TOR,26,-0.1,-0.2,0.155,54,12.2,9.1,0.239037611,2135085.5
464,Nae'Qwan Tomlin,CLE,24,-0.9,-0.2,0.23,7,6.1,11.6,0.238975567,2135085.5
465,Chuma Okeke,CLE,26,-0.7,0.4,0.093,-28,10.98,13.44444444,0.237823377,2135085.5
466,N'Faly Dante,ATL,23,0.3,0.1,0.133,-11,4.88,12.75,0.237417504,2048494
467,Tony Bradley,IND,27,-1,0.3,0.182,44,17.07,8.214285714,0.237009929,2135085.5
468,JT Thor,WAS,22,-1,-0.2,0.132,-96,24.39,6.65,0.235386869,2135085.5
469,Kevin Knox II,GSW,25,0.4,0.3,0.202,-3,17.07,5,0.23321595,2135085.5
470,Dario Šarić,SAC,31,-1,0,0.157,-49,19.51,7.625,0.23293374,2135085.5
471,Ron Harper Jr.,BOS,25,-0.5,0.1,0.205,-1,1.22,13,0.231618675,2135085.5
472,Bruno Fernando,TOR,26,-1.5,0.5,0.182,-22,20.73,7.411764706,0.231154816,2135085.5
473,Trey Alexander,NOP,22,-0.9,-0.1,0.165,-25,29.27,2.208333333,0.229619482,2135085.5
474,Garrett Temple,TOR,39,-2.5,0.5,0.129,-28,34.15,4.357142857,0.228159574,3634153
475,PJ Hall,CHA,23,-0.8,-0.4,0.176,-2,23.17,3.210526316,0.224775793,2135085.5
476,Elijah Harkless,UTA,25,0.2,-0.8,0.12,31,12.2,6.9,0.22424674,2135085.5
477,Chris Livingston,CLE,21,-1,-0.3,0.15,-29,25.61,3.285714286,0.22325182,2135085.5
478,Keshad Johnson,MIA,24,-0.6,-0.3,0.145,5,19.51,5,0.222593099,1955377
479,Daeqwon Plowden,ATL,26,-0.5,-0.4,0.181,29,7.32,8.666666667,0.220920151,2135085.5
480,Enrique Freeman,IND,24,-0.8,0.5,0.109,-19,26.83,3.863636364,0.22056169,2135085.5
481,Tyson Etienne,BKN,25,-0.7,0.5,0.177,-70,8.54,10.28571429,0.220540117,2135085.5
482,Markieff Morris,LAL,35,-1.7,0.4,0.202,-28,18.29,6.666666667,0.220029124,2135085.5
483,Sidy Cissoko,POR,21,-2,-1.1,0.156,8,26.83,2.727272727,0.219619417,2135085.5
484,Josh Christopher,MIA,23,-0.4,0.2,0.235,-5,17.07,3.357142857,0.218297264,2135085.5
485,Marcus Garrett,CHA,26,-1.2,0.3,0.193,-39,4.88,11.5,0.217685251,2135085.5
486,Jazian Gortman,DAL,22,0,-0.1,0.195,11,19.51,2.0625,0.21754224,2135085.5
487,Jaylen Martin,WAS,21,-1.7,1.1,0.155,-131,19.51,8.5,0.217084894,2135085.5
488,Joe Ingles,MIN,37,0.5,0.4,0.113,2,23.17,2.210526316,0.216799387,3634153
489,Ariel Hukporti,NYK,23,-2.4,-0.1,0.113,-63,30.49,4.2,0.216793104,1955377
490,Alex Ducas,OKC,24,-0.8,0.1,0.115,-22,25.61,3.238095238,0.21639326,2135085.5
491,Spencer Jones,DEN,24,-0.4,0,0.128,-45,24.39,2.65,0.215456012,2135085.5
492,Leonard Miller,MIN,21,-0.2,-0.3,0.239,-12,15.85,2.461538462,0.214926139,2221677
493,TyTy Washington Jr.,LAC,23,-0.9,0.3,0.187,2,19.51,4,0.214802108,2135085.5
494,Kobe Bufkin,LAL,21,-2.3,-0.2,0.203,-23,12.2,8.8,0.213764684,2135085.5
495,James Wiseman,IND,24,-1.6,1.5,0.455,-4,1.22,7,0.210752236,131970
496,Matt Ryan,NYK,28,-1.7,-0.6,0.208,-40,23.17,2,0.21022665,2135085.5
497,Pete Nance,MIL,25,-0.6,-0.6,0.116,-14,15.85,5.307692308,0.209456574,2135085.5
498,Chris Duarte,CHI,28,-1.1,0.2,0.151,12,20.73,3.764705882,0.209069959,2135085.5
499,JD Davison,HOU,22,-1.3,0.6,0.228,-28,19.51,3.25,0.208103821,2135085.5
500,Cam Christie,LAC,19,-1,-1.2,0.192,-10,15.85,3.076923077,0.207439191,4041228.5
501,Jaylen Sims,CHA,26,-0.8,0.5,0.159,-47,7.32,9.333333333,0.206827916,4041228.5
502,Daniss Jenkins,DET,23,1,-1,0.231,-9,8.54,1.571428571,0.205422366,4041228.5
503,Stanley Umude,MIL,26,-1.7,0,0.137,-15,26.83,1.909090909,0.204626096,4041228.5
504,Jackson Rowe,GSW,28,-0.2,-0.1,0.142,23,7.32,6.666666667,0.2009409,4041228.5
505,RayJ Dennis,ATL,24,-2.3,-0.4,0.212,44,13.41,5.454545455,0.200836384,4041228.5
506,Jacob Toppin,ATL,25,-1.1,-0.2,0.14,-25,20.73,2.529411765,0.199382411,4041228.5
507,Isaiah Crawford,HOU,23,0.1,-0.1,0.122,23,18.29,1.6,0.19910752,4041228.5
508,David Duke Jr.,SAS,25,0.2,0,0.207,28,7.32,4,0.198714926,4041228.5
509,Emoni Bates,CLE,21,-1,0.7,0.201,-34,12.2,5.2,0.197156537,4041228.5
510,Mason Jones,SAC,26,-0.9,0.1,0.193,1,12.2,4.3,0.197084142,4041228.5
511,Alondes Williams,DET,26,-0.6,0.1,0.286,6,1.22,6,0.196494711,4041228.5
512,Taylor Hendricks,UTA,21,-2,0.7,0.113,-22,3.66,12.66666667,0.195298374,6127080
513,Justin Minaya,POR,26,-1.3,-0.1,0.107,-12,23.17,1.947368421,0.194158251,4041228.5
514,Bryce McGowens,NOP,22,-0.4,1.2,0.244,-4,15.85,1.153846154,0.193272489,4041228.5
515,E.J. Liddell,BKN,24,-0.1,0.1,0.13,-8,14.63,2.75,0.191705624,4041228.5
516,Phillip Wheeler,PHI,23,-0.2,0,0.221,13,6.1,4,0.191679409,4041228.5
517,Malachi Flynn,CHA,27,-1,0.8,0.196,1,4.88,7.25,0.189373454,4041228.5
518,Taze Moore,POR,27,-1.4,0,0.224,-7,2.44,7.5,0.189340377,4041228.5
519,Jamaree Bouyea,PHX,26,-1.1,-0.3,0.163,2,6.1,6,0.185387095,4041228.5
520,Vlatko Čančar,DEN,28,-2.1,-0.3,0.109,-18,15.85,4.538461538,0.181379805,4041228.5
521,Anton Watson,NYK,24,-0.3,0.3,0.193,-9,10.98,1.333333333,0.178056522,4041228.5
522,Josh Richardson,MIA,31,-2.2,0.5,0.134,-31,9.76,7.125,0.177449719,4041228.5
523,Adama Sanogo,CHI,23,0.3,0,0.145,-5,4.88,3.5,0.175833291,4041228.5
524,Luke Travers,CLE,23,-1.6,-0.1,0.132,-1,14.63,2.833333333,0.175630972,4041228.5
525,James Johnson,IND,38,-1.1,0.1,0.165,-9,14.63,1.333333333,0.175517625,4041228.5
526,Trentyn Flowers,CHI,20,-0.4,0,0.194,-6,7.32,2.333333333,0.175215721,4041228.5
527,Liam Robbins,MIL,25,-1.3,-0.3,0.128,-5,15.85,1.615384615,0.175164552,4041228.5
528,Jalen Bridges,PHX,24,-0.5,0,0.197,7,9.76,1.125,0.174211456,4041228.5
529,Armel Traore,LAL,22,-1.2,0.4,0.153,-49,10.98,3.666666667,0.172793715,4041228.5
530,Harrison Ingram,SAS,22,0.6,-0.2,0.06,30,6.1,3.6,0.171904,4041228.5
531,Miles Norris,BOS,25,-1,0.1,0.127,-14,3.66,6.333333333,0.171027037,4041228.5
532,Bobi Klintman,DET,22,-1,0.3,0.121,0,9.76,3.875,0.170618097,1955377
533,Emanuel Miller,CHI,25,-0.5,0.3,0.143,-8,7.32,3.5,0.170418517,4041228.5
534,Tristen Newton,MIN,24,-0.5,0.1,0.185,-5,9.76,1,0.169724397,4041228.5
535,Daishen Nix,MIN,23,0.6,-0.2,0.176,9,3.66,1.333333333,0.168644479,4041228.5
