Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score,Salary
63,Aaron Wiggins,OKC,26,2.2,-0.3,0.2,514,92.68,17.78947368,0.609519129,9672897
64,Malik Beasley,DET,28,-0.2,-0.8,0.215,175,100,20.53658537,0.6088699,6000000
65,Jaden McDaniels,MIN,24,0.1,-0.8,0.16,172,100,21,0.60566122,24393103
66,Josh Giddey,CHI,22,0.6,1,0.214,-68,85.37,28.82857143,0.605252769,25000000
67,Ja Morant,MEM,25,-0.2,-0.9,0.312,226,60.98,32.32,0.593387423,39446090
68,RJ Barrett,TOR,25,1,0.7,0.281,-139,70.73,31.03448276,0.591605128,25796429
69,Ty Jerome,CLE,27,2.6,-0.1,0.229,302,85.37,18.24285714,0.587559317,2560975
70,Stephon Castle,SAS,20,-0.5,-0.1,0.253,-239,98.78,21.45679012,0.586807507,9560520
71,Miles Bridges,CHA,27,-0.4,0.9,0.273,-259,78.05,30.96875,0.586344935,25000000
72,Tobias Harris,DET,32,-0.3,-1.1,0.173,187,89.02,22.49315068,0.582945596,26634146
73,Shaedon Sharpe,POR,22,-0.3,0.1,0.25,-138,87.8,24.79166667,0.582581906,8399983
74,Paolo Banchero,ORL,22,-0.2,1.2,0.33,-21,56.1,36.58695652,0.582297898,15334769
75,Brook Lopez,LAC,37,-1.1,-0.8,0.157,134,97.56,21.2375,0.582092599,8750000
76,Malik Monk,SAC,27,0.7,0.7,0.236,116,79.27,25.6,0.581576071,18797619
77,Isaiah Hartenstein,OKC,27,0.9,-1.4,0.165,417,69.51,25.96491228,0.576104915,28500000
78,Jonas Valančiūnas,DEN,33,0.6,0.6,0.222,-304,98.78,19.71604938,0.573952001,10395000
79,Harrison Barnes,SAS,33,1.4,1.3,0.157,-25,100,17.80487805,0.572467278,19000000
80,Onyeka Okongwu,ATL,24,-1.4,0.4,0.169,40,90.24,25.17567568,0.571516921,15000000
81,Julian Champagnie,SAS,24,1.9,0,0.164,-67,100,15.43902439,0.570971006,3000000
82,Fred VanVleet,HOU,31,1.1,-1.2,0.176,264,73.17,23.83333333,0.567007473,25000000
83,Nickeil Alexander-Walker,ATL,26,0.2,-0.2,0.155,270,100,15.19512195,0.566141754,15161800
84,Jaylen Wells,MEM,21,1.9,0.7,0.156,186,96.34,15.30379747,0.565933346,1955377
85,Anfernee Simons,BOS,26,-0.6,0.9,0.241,-220,85.37,25.65714286,0.565253535,27678571
86,Zach Edey,MEM,23,2.3,-1.6,0.156,164,80.49,19.03030303,0.564740509,6045000
87,Keegan Murray,SAC,24,-1,-0.9,0.148,46,92.68,21.42105263,0.563988341,11144093
88,Obi Toppin,IND,27,1.9,0.8,0.191,-77,96.34,16.26582278,0.563930593,14000000
89,Toumani Camara,POR,25,-0.2,-1,0.143,-114,95.12,20.05128205,0.563013865,2221677
90,Kawhi Leonard,LAC,34,2,-1.2,0.28,296,45.12,30.67567568,0.561291386,50000000
91,Chris Paul,LAC,40,-0.8,0.8,0.137,4,100,19.75609756,0.560100259,3634153
92,Cameron Johnson,DEN,29,2.1,0.2,0.224,-200,69.51,26.14035088,0.557409592,20543478
