指标,权重符号,对应指标,指标类型,熵值 (e_j),差异系数 (d_j),权重 (w_j),权重百分比
ω₀ (RAPM_offense),ω₀,RAPM_offense,正向,0.9894923050561776,0.010507694943822421,0.11476730194193886,11.48%
ω₁ (RAPM_defense),ω₁,USG_percent,逆向,0.9923670131951084,0.007632986804891551,0.08336912196626368,8.34%
ω₂ (USG_percent),ω₂,PLUS_MINUS_value,正向,0.9924514603821425,0.007548539617857508,0.08244677164449486,8.24%
ω₃ (PLUS_MINUS_value),ω₃,Attendance,正向,0.9723175290292134,0.027682470970786577,0.30235389601513274,30.24%
ω₄ (Attendance),ω₄,Performance,正向,0.9667879837564816,0.03321201624351844,0.36274877760525087,36.27%
ω₅ (Performance),ω₅,RAPM_defense,正向,0.9950271871150473,0.00497281288495266,0.05431413082691897,5.43%
