Player,Team,AGE,Athletic_Score,final_commercial_score,potential
Jordan Poole,NOP,26.0,0.5448470342492293,0.0,0.997382867
Keldon Johnson,SAS,25.0,0.5426846268922672,0.0,0.998640092
Quentin Grimes,PHI,25.0,0.5422106937176656,0.004129443,0.998640092
Luguentz Dort,OKC,26.0,0.5413057845788752,0.0,0.997382867
Santi Aldama,MEM,24.0,0.5403542635886844,0.0,0.999893768
Jakob Poeltl,TOR,29.0,0.5400033470392298,0.000537925,0.99354172
Zion Williamson,NOP,24.0,0.5397233984228438,0.0,0.999893768
Collin Sexton,CHA,26.0,0.5394409635199584,0.0,0.997382867
Kevin Porter Jr.,MIL,25.0,0.5381034638765935,0.010830223,0.998640092
Luke Kornet,SAS,29.0,0.5368570459881016,0.0,0.99354172
Spencer Dinwiddie,DAL,32.0,0.5358473303870182,0.0,0.989487603
Tyus Jones,ORL,29.0,0.5346471438452175,0.0,0.99354172
Georges Niang,ATL,32.0,0.5339451681116402,0.0,0.989487603
Goga Bitadze,ORL,25.0,0.533786218195489,0.0,0.998640092
Derrick Jones Jr.,LAC,28.0,0.5335550099803857,0.0,0.994838627
Devin Vassell,SAS,24.0,0.5323045731927276,0.0,0.999893768
Tari Eason,HOU,24.0,0.5307711331693387,0.0,0.999893768
Caris LeVert,DET,30.0,0.5299334686983582,0.0,0.992221356
Miles McBride,NYK,24.0,0.5294824931577777,4.53e-05,0.999893768
Lauri Markkanen,UTA,28.0,0.5290048115809888,0.0,0.994838627
Keon Ellis,SAC,25.0,0.5289262499100084,0.0,0.998640092
Andrew Wiggins,MIA,30.0,0.5284150615539918,0.019478324,0.992221356
Guerschon Yabusele,NYK,29.0,0.5263793330724404,4.06e-05,0.99354172
Duncan Robinson,DET,31.0,0.5252541610548749,0.003329315,0.990871967
Zaccharie Risacher,ATL,20.0,0.5251633549891953,0.0,1.004968062
Sam Hauser,BOS,27.0,0.5241975255570637,0.0,0.996117333
Davion Mitchell,MIA,26.0,0.523819562639929,0.000389967,0.997382867
Ronald Holland II,DET,19.0,0.5235197340208996,0.000117338,1.006276105
Scoot Henderson,POR,21.0,0.5232427875367186,0.0,1.003680877
Anthony Black,ORL,21.0,0.5231363165626236,0.00525848,1.003680877
Jrue Holiday,POR,35.0,0.5209850511595511,0.0,0.985057235
Tim Hardaway Jr.,DEN,33.0,0.5199035716687531,0.0,0.988061829
Cason Wallace,OKC,21.0,0.5192509382485779,0.0,1.003680877
Moses Moody,GSW,23.0,0.5191192185333614,0.0,1.001148618
Kristaps Porziņģis,ATL,29.0,0.5189503243436288,0.0,0.99354172
D'Angelo Russell,DAL,29.0,0.518888997369377,0.0,0.99354172
Keyonte George,UTA,21.0,0.5184128661123061,0.0,1.003680877
Klay Thompson,DAL,35.0,0.5181094679540976,0.0,0.985057235
P.J. Washington,DAL,26.0,0.5180755520731383,0.0,0.997382867
Wendell Carter Jr.,ORL,26.0,0.5179426393144473,0.000279538,0.997382867
Trey Murphy III,NOP,25.0,0.5178946328939343,0.0,0.998640092
Daniel Gafford,DAL,26.0,0.5176979571901684,0.0,0.997382867
Matas Buzelis,CHI,20.0,0.517253580576519,0.009996202,1.004968062
Walker Kessler,UTA,23.0,0.5172237544397088,0.0,1.001148618
Rui Hachimura,LAL,27.0,0.5160007867313604,0.0,0.996117333
Mike Conley,MIN,37.0,0.5158745861508307,0.0,0.981792453
Kevin Huerter,CHI,26.0,0.5148116377642171,0.0,0.997382867
AJ Green,MIL,25.0,0.514575144855172,2.79e-05,0.998640092
Max Christie,DAL,22.0,0.5145743538293681,0.0,1.002409382
Al Horford,GSW,39.0,0.5144989724532788,0.0,0.97818467
Donte DiVincenzo,MIN,28.0,0.5134334124463149,0.0,0.994838627
Kris Dunn,LAC,31.0,0.513426820025362,0.0,0.990871967
Jalen Johnson,ATL,23.0,0.512216343393696,0.557026487,1.001148618
Jabari Smith Jr.,HOU,22.0,0.5120544318178079,0.0,1.002409382
Taurean Prince,MIL,31.0,0.5104144817605695,0.0,0.990871967
John Collins,LAC,27.0,0.5097210648083901,0.0,0.996117333
Aaron Gordon,DEN,29.0,0.5096716672725564,0.0,0.99354172
Jalen Smith,CHI,25.0,0.5092774813452164,0.0,0.998640092
Royce O'Neale,PHX,32.0,0.5087736571798073,0.0,0.989487603
Keon Johnson,BKN,23.0,0.5086509905678253,0.0,1.001148618
Kevon Looney,NOP,29.0,0.5080691885631645,0.0,0.99354172
Brandon Clarke,MEM,28.0,0.5073285820602047,0.0,0.994838627
Dorian Finney-Smith,HOU,32.0,0.5069919625321357,0.0,0.989487603
Andrew Nembhard,IND,25.0,0.5059055476422097,0.044481723,0.998640092
Kenrich Williams,OKC,30.0,0.5055005328072613,0.0,0.992221356
Sam Merrill,CLE,29.0,0.5039671445866952,0.000507707,0.99354172
Donovan Clingan,POR,21.0,0.503427623755122,0.0,1.003680877
Jalen Wilson,BKN,24.0,0.5030108116634315,0.0,0.999893768
Kyle Filipowski,UTA,21.0,0.5019645055870099,0.0,1.003680877
Gary Trent Jr.,MIL,26.0,0.5001947073991091,0.0,0.997382867
Bobby Portis,MIL,30.0,0.4998011336905428,0.001357653,0.992221356
Ausar Thompson,DET,22.0,0.4992831634014863,0.011733516,1.002409382
Dalton Knecht,LAL,24.0,0.4985950180257906,0.0,0.999893768
Kelly Oubre Jr.,PHI,29.0,0.4979703302327937,8.61e-05,0.99354172
Jaime Jaquez Jr.,MIA,24.0,0.4965114943979534,0.008982806,0.999893768
Mason Plumlee,CHA,35.0,0.4963347617802287,0.0,0.985057235
Jamal Shead,TOR,22.0,0.4952789996064902,0.000522615,1.002409382
Chet Holmgren,OKC,23.0,0.4951769644722837,0.0,1.001148618
Cameron Payne,NYK,30.0,0.4951671058870321,0.0,0.992221356
Isaiah Stewart,DET,24.0,0.4950534571102565,0.00525848,0.999893768
Joel Embiid,PHI,31.0,0.4941636930387411,0.271630329,0.990871967
Kel'el Ware,MIA,21.0,0.4915574452339806,0.003154499,1.003680877
Cole Anthony,MIL,25.0,0.490045797228767,0.0,0.998640092
Kentavious Caldwell-Pope,MEM,32.0,0.4890268493049474,0.0,0.989487603
Yves Missi,NOP,21.0,0.4884612593816955,0.0,1.003680877
Luke Kennard,ATL,29.0,0.4875448209394691,0.0,0.99354172
Mark Williams,PHX,23.0,0.4849034986570688,0.0,1.001148618
Paul George,PHI,35.0,0.4842613291055579,0.075748167,0.985057235
Haywood Highsmith,MIA,28.0,0.4839684350801846,0.0,0.994838627
Julian Phillips,CHI,21.0,0.4821043974134212,0.0,1.003680877
Grayson Allen,PHX,29.0,0.4818879394885415,0.0,0.99354172
Nicolas Batum,LAC,36.0,0.4818276203179752,0.0,0.983462065
Jake LaRavia,LAL,23.0,0.4811150852173051,0.0,1.001148618
Ryan Dunn,PHX,22.0,0.4802169734993477,0.0,1.002409382
Jonathan Kuminga,GSW,22.0,0.4801534813473344,0.0,1.002409382
Peyton Watson,DEN,22.0,0.4767311799803284,0.0,1.002409382
Ricky Council IV,PHI,23.0,0.4761987289643964,0.0,1.001148618
Kyle Kuzma,MIL,29.0,0.4760450229734816,0.006176113,0.99354172
Nic Claxton,BKN,26.0,0.4750189789306517,0.006176113,0.997382867
Jonathan Isaac,ORL,27.0,0.4736906594108875,0.0,0.996117333
Simone Fontecchio,MIA,29.0,0.4714542155035041,9.29e-06,0.99354172
Brice Sensabaugh,UTA,21.0,0.4705158092807286,0.0,1.003680877
Alex Caruso,OKC,31.0,0.4703901996677687,0.0,0.990871967
Tristan da Silva,ORL,24.0,0.4688891637058623,0.000451888,0.999893768
Steven Adams,HOU,31.0,0.4684898096218954,0.0,0.990871967
Trey Lyles,SAC,29.0,0.4680013895413708,0.0,0.99354172
Bogdan Bogdanović,LAC,32.0,0.4679414132212237,0.0,0.989487603
Dalano Banton,POR,25.0,0.4670932391671415,0.0,0.998640092
Gabe Vincent,LAL,29.0,0.4656797458678191,0.0,0.99354172
Bradley Beal,LAC,32.0,0.4620998277682259,0.0,0.989487603
Ochai Agbaji,TOR,25.0,0.4620321512536798,0.0,0.998640092
Dean Wade,CLE,28.0,0.4611159625797192,0.0,0.994838627
Brandon Miller,CHA,22.0,0.4608267976533856,0.00851513,1.002409382
Cam Thomas,BKN,23.0,0.4602603237510606,0.006343799,1.001148618
Clint Capela,HOU,31.0,0.4602059125478911,0.0,0.990871967
Justin Champagnie,WAS,24.0,0.459844375372021,0.0,0.999893768
Kyshawn George,WAS,21.0,0.4595961041895447,0.000426127,1.003680877
Immanuel Quickley,TOR,26.0,0.4591579001452206,0.012711833,0.997382867
Jalen Suggs,ORL,24.0,0.4590574332355304,0.002280181,0.999893768
Jeremy Sochan,SAS,22.0,0.4587210260513623,0.0,1.002409382
Dejounte Murray,NOP,28.0,0.4576470434250945,0.0,0.994838627
Amir Coffey,MIL,28.0,0.45752027417502,0.0,0.994838627
Gradey Dick,TOR,21.0,0.4564798638076149,0.000426127,1.003680877
Terry Rozier,MIA,31.0,0.4564785227143424,0.0,0.990871967
Terance Mann,BKN,28.0,0.4561088141742284,0.000155922,0.994838627
Chris Boucher,BOS,32.0,0.4549477479151106,0.0,0.989487603
Jose Alvarado,NOP,27.0,0.4543636441074244,0.0,0.996117333
Neemias Queta,BOS,25.0,0.4543226083633256,0.055038885,0.998640092
Bilal Coulibaly,WAS,20.0,0.4523058054915897,0.000603402,1.004968062
Sandro Mamukelashvili,TOR,26.0,0.4520397388797239,0.000166921,0.997382867
Isaiah Collier,UTA,20.0,0.4512715512827693,0.0,1.004968062
Day'Ron Sharpe,BKN,23.0,0.4510378648960778,0.0,1.001148618
Jusuf Nurkić,UTA,30.0,0.4504518819212108,0.0,0.992221356
Zach Collins,CHI,27.0,0.449734425846331,0.0,0.996117333
Aaron Nesmith,IND,25.0,0.4478127288337135,0.003070517,0.998640092
Dereck Lively II,DAL,21.0,0.4474099994230555,0.0,1.003680877
Trayce Jackson-Davis,GSW,25.0,0.4465979353929493,0.0,0.998640092
Brandon Ingram,TOR,27.0,0.4463185961510554,0.42693446,0.996117333
Thomas Bryant,CLE,27.0,0.4459428776922057,0.0,0.996117333
Max Strus,CLE,29.0,0.4448621437264498,0.0,0.99354172
Corey Kispert,ATL,26.0,0.4439980420423853,0.0,0.997382867
Jared Butler,PHI,24.0,0.4434629003631339,0.0,0.999893768
Gary Payton II,GSW,32.0,0.4426595668350809,0.0,0.989487603
Jaylin Williams,OKC,23.0,0.4418201204948503,0.0,1.001148618
Deandre Ayton,LAL,26.0,0.4416656692997301,0.0,0.997382867
Ziaire Williams,BKN,23.0,0.4403689047163376,0.0,1.001148618
Julian Strawther,DEN,23.0,0.4374940103082299,0.0,1.001148618
Patrick Williams,CHI,23.0,0.4337053144267114,0.0,1.001148618
Jarace Walker,IND,21.0,0.4331750986570478,0.0,1.003680877
Nikola Jović,MIA,22.0,0.4326010567371365,0.0,1.002409382
Josh Green,CHA,24.0,0.4324145209694962,0.0,0.999893768
Nick Richards,PHX,27.0,0.4323620792323376,0.0,0.996117333
Javonte Green,DET,31.0,0.4312413921272466,0.0,0.990871967
Jerami Grant,POR,31.0,0.4303672115149121,0.0,0.990871967
Dalen Terry,CHI,22.0,0.4292956298927208,0.0,1.002409382
Oso Ighodaro,PHX,22.0,0.4290801696555868,0.0,1.002409382
Isaac Okoro,CHI,24.0,0.4283766989731113,0.0,0.999893768
Talen Horton-Tucker,CHI,24.0,0.4281623270278417,0.0,0.999893768
Johnny Juzang,MIN,24.0,0.4277141113348416,0.0,0.999893768
Kris Murray,POR,24.0,0.426317789248144,0.0,0.999893768
Jabari Walker,PHI,22.0,0.4263030870035578,0.0,1.002409382
Seth Curry,GSW,34.0,0.4240846841820874,0.0,0.98658762
Jeremiah Robinson-Earl,DAL,24.0,0.4224539902997595,0.0,0.999893768
Jaxson Hayes,LAL,25.0,0.4209617270641065,0.0,0.998640092
Aaron Holiday,HOU,28.0,0.4197408699802414,0.0,0.994838627
Cam Whitmore,WAS,20.0,0.4191688372460137,0.0,1.004968062
Ryan Rollins,MIL,22.0,0.4190993194476586,0.00169031,1.002409382
Khris Middleton,WAS,33.0,0.4179488459634889,0.0,0.988061829
Kyle Anderson,UTA,31.0,0.4161165991875882,0.0,0.990871967
Jaden Ivey,DET,23.0,0.4157131192811704,5.81e-05,1.001148618
Ayo Dosunmu,CHI,25.0,0.4144435526851963,0.00035658,0.998640092
Ben Sheppard,IND,23.0,0.41385418674073,0.0,1.001148618
Jonathan Mogbo,TOR,23.0,0.4135149757917072,0.0,1.001148618
Vít Krejčí,ATL,25.0,0.41348271266933,0.0,0.998640092
Gui Santos,GSW,23.0,0.4130636508736277,0.0,1.001148618
Jordan Clarkson,NYK,33.0,0.4125684595539058,0.010830223,0.988061829
Jay Huff,IND,27.0,0.4117679518622351,0.000695678,0.996117333
Ben Simmons,LAC,28.0,0.4115296456150294,0.0,0.994838627
Jaden Hardy,DAL,22.0,0.4108792140918545,0.0,1.002409382
Marcus Sasser,DET,24.0,0.4100585985972825,0.0,0.999893768
Tyrese Martin,BKN,26.0,0.4099694048582578,0.0,0.997382867
Trendon Watford,PHI,24.0,0.4093382383497395,0.0,0.999893768
Precious Achiuwa,SAC,25.0,0.4076361341269802,0.0,0.998640092
Jordan Hawkins,NOP,23.0,0.4073867410322736,0.0,1.001148618
Adem Bona,PHI,22.0,0.4072560281661531,0.010544791,1.002409382
Andre Jackson Jr.,MIL,23.0,0.4032204762312478,0.0,1.001148618
Tre Jones,CHI,25.0,0.4015622754570973,0.000974292,0.998640092
Jamison Battle,TOR,24.0,0.4001425558335476,0.0,0.999893768
Cody Martin,IND,29.0,0.3999573199446009,0.0,0.99354172
Kelly Olynyk,SAS,34.0,0.3979870437589726,0.0,0.98658762
Pelle Larsson,MIA,24.0,0.3969284436416004,0.0,0.999893768
Moritz Wagner,ORL,28.0,0.3957422839037064,0.0,0.994838627
Tidjane Salaün,CHA,19.0,0.3955336624100986,0.0,1.006276105
Nick Smith Jr.,LAL,21.0,0.3927000251944766,0.0,1.003680877
Ja'Kobe Walter,TOR,20.0,0.3900588137970238,0.0,1.004968062
Alec Burks,MIA,33.0,0.389359516889084,0.0,0.988061829
Blake Wesley,POR,22.0,0.3892521662423472,0.0,1.002409382
Drew Eubanks,SAC,28.0,0.3886288721216233,0.0,0.994838627
Noah Clowney,BKN,20.0,0.3868452899549793,0.001216057,1.004968062
Quinten Post,GSW,25.0,0.3861830088149164,0.0,0.998640092
Jett Howard,ORL,21.0,0.3856951697343478,0.0,1.003680877
Marcus Smart,LAL,31.0,0.3841020896426988,0.0,0.990871967
Reed Sheppard,HOU,21.0,0.383509721139302,0.0,1.003680877
Paul Reed,DET,26.0,0.3831239465482546,0.0,0.997382867
DeAndre Jordan,NOP,36.0,0.3798453680723919,0.0,0.983462065
Shake Milton,LAL,28.0,0.3795278440723085,0.0,0.994838627
Ajay Mitchell,OKC,23.0,0.3774639309057197,0.0,1.001148618
Dwight Powell,DAL,33.0,0.3768012440266551,0.0,0.988061829
Landry Shamet,NYK,28.0,0.3753036989498254,0.0,0.994838627
Josh Okogie,HOU,26.0,0.3748164406569236,0.0,0.997382867
Orlando Robinson,ORL,24.0,0.3736176453857203,0.0,0.999893768
Caleb Houstan,ATL,22.0,0.3731447599225211,0.0,1.002409382
Svi Mykhailiuk,UTA,28.0,0.3721187517941479,0.0,0.994838627
Lindy Waters III,SAS,27.0,0.3715679253552589,0.0,0.996117333
Malcolm Brogdon,WAS,32.0,0.3713226238887302,0.0,0.989487603
Lonzo Ball,CLE,27.0,0.3712105951653278,0.000378541,0.996117333
Jared McCain,PHI,21.0,0.3706415071727803,0.002159712,1.003680877
Jalen Pickett,DEN,25.0,0.3684257627494696,0.0,0.998640092
Karlo Matković,NOP,24.0,0.3678392077152067,0.0,0.999893768
Garrison Mathews,IND,28.0,0.3676899803356221,0.0,0.994838627
Cory Joseph,ORL,33.0,0.3656813666618435,0.0,0.988061829
Jae'Sean Tate,HOU,29.0,0.3645789451373126,0.0,0.99354172
Caleb Martin,DAL,29.0,0.3620827574480382,0.0,0.99354172
Jaylon Tyson,CLE,22.0,0.3610222016688806,0.000231612,1.002409382
Andre Drummond,PHI,31.0,0.3609983743423893,0.000117338,0.990871967
Collin Gillespie,PHX,26.0,0.3597383206369343,0.0,0.997382867
Mouhamed Gueye,ATL,22.0,0.3585762337478336,0.0,1.002409382
Craig Porter Jr.,CLE,25.0,0.3585464269936132,0.0,0.998640092
Jordan Walsh,BOS,21.0,0.3584955302055098,0.000823894,1.003680877
Dillon Jones,OKC,23.0,0.3565059454397093,0.0,1.001148618
Justin Edwards,PHI,21.0,0.3553405668189219,0.0,1.003680877
Luka Garza,BOS,26.0,0.3544666575419412,5.28e-05,0.997382867
Herbert Jones,NOP,26.0,0.3543485355024203,0.0,0.997382867
Rob Dillingham,MIN,20.0,0.3510859572295219,0.0,1.004968062
Jock Landale,MEM,29.0,0.3500948310244198,0.0,0.99354172
Zeke Nnaji,DEN,24.0,0.3498641368031477,0.0,0.999893768
Bruce Brown,DEN,28.0,0.3496025178088847,0.0,0.994838627
Richaun Holmes,WAS,31.0,0.3490012815039238,0.0,0.990871967
Antonio Reeves,CHA,24.0,0.3485769531549147,0.0,0.999893768
KJ Martin,UTA,24.0,0.3480727848032545,0.0,0.999893768
DaQuan Jeffries,CHA,27.0,0.3475550282515525,0.0,0.996117333
Brandon Williams,DAL,25.0,0.347168723794138,0.0,0.998640092
Bol Bol,PHX,25.0,0.3470158523280836,0.0,0.998640092
Jeff Dowtin Jr.,PHI,28.0,0.3427114944543681,0.0,0.994838627
Jordan McLaughlin,SAS,29.0,0.3401540971694082,0.0,0.99354172
Johnny Furphy,IND,20.0,0.3381456718910614,0.000288296,1.004968062
Josh Minott,BOS,22.0,0.3376737260681679,0.0,1.002409382
Malaki Branham,WAS,22.0,0.3375724001553298,0.0,1.002409382
Jarred Vanderbilt,LAL,26.0,0.3369818700690472,0.0,0.997382867
Tristan Vukcevic,WAS,22.0,0.3368028599542674,0.0,1.002409382
Vince Williams Jr.,MEM,24.0,0.3365304933150452,0.0,0.999893768
Olivier-Maxence Prosper,MEM,22.0,0.3351916020834428,0.0,1.002409382
Eric Gordon,PHI,36.0,0.3345747655572587,0.0,0.983462065
Gary Harris,MIL,30.0,0.3340486904493148,0.0,0.992221356
Duop Reath,POR,29.0,0.3328380236193464,0.0,0.99354172
Kai Jones,DAL,24.0,0.3315587536570444,0.0,0.999893768
Jordan Goodwin,PHX,26.0,0.3313692625268933,0.0,0.997382867
John Konchar,MEM,29.0,0.3311305751498829,0.0,0.99354172
Daniel Theis,NOP,33.0,0.3306819680039773,0.0,0.988061829
Pat Connaughton,CHA,32.0,0.3304601612172316,0.0,0.989487603
Tosan Evbuomwan,NYK,24.0,0.3302332890699256,0.0,0.999893768
A.J. Lawson,TOR,24.0,0.3280410544917826,0.0,0.999893768
Anthony Gill,WAS,32.0,0.327371381622611,0.0,0.989487603
De'Anthony Melton,GSW,27.0,0.326139298069039,0.0,0.996117333
Devin Carter,SAC,23.0,0.3249924847057502,0.0,1.001148618
Micah Potter,IND,27.0,0.3234176769667957,0.0,0.996117333
Jaylen Clark,MIN,23.0,0.3214355892785579,0.0,1.001148618
Lonnie Walker IV,PHI,26.0,0.3202176547985692,0.0,0.997382867
Jevon Carter,CHI,29.0,0.3196867097656432,0.0,0.99354172
Jericho Sims,MIL,26.0,0.3182624200211182,0.0,0.997382867
Kevin Love,UTA,36.0,0.3176140248856464,0.0,0.983462065
Rayan Rupert,POR,21.0,0.3175181943533219,0.0,1.003680877
Dominick Barlow,PHI,22.0,0.3171360853314568,0.0,1.002409382
Marvin Bagley III,WAS,26.0,0.3154906473201977,0.0,0.997382867
KJ Simpson,CHA,22.0,0.3151607489281667,0.0,1.002409382
Grant Williams,CHA,26.0,0.3149793690058834,0.0,0.997382867
Ousmane Dieng,OKC,22.0,0.3148755102891577,0.0,1.002409382
Colby Jones,DET,23.0,0.3145705455128617,0.0,1.001148618
Jaden Springer,UTA,22.0,0.3142325736473785,0.0,1.002409382
